Name sim701
COMMENT : UAV simulation (olivieri)
TYPE : TSP
DIMENSION: 701
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1141 5.0 5.0
1142 1853.9376864750272 3838.9216503853186
1143 6172.413257894786 9383.439239631045
1144 7490.771940742037 4176.231182284805
1145 5015.887964894096 736.462940292295
1146 2545.5481386444962 2338.509152047053
1147 6315.130542193976 5000.6831218382595
1148 12098.457823195313 11821.691410966157
1149 3716.7215226019866 8291.548806609653
1150 1704.1748834289097 2363.468778973143
1151 2689.2535468660967 12604.90617338337
1152 939.1398641851488 8896.55781015195
1153 8926.939875911936 8867.897184089783
1154 984.0985198619363 9450.073188149223
1155 8445.043281641098 12698.16793927313
1156 10853.129414653222 4944.467033680758
1157 2031.5892354745515 9655.232889885088
1158 8213.40389653261 9291.322376955339
1159 7130.953008241377 11436.779810076427
1160 3479.1828939792904 3331.3518158311936
1161 5552.295075877787 9297.904546486954
1162 9009.058823702571 7922.282935138396
1163 4619.454375535692 11952.704365720265
1164 6787.211789321208 3922.8737602648634
1165 3508.787308645052 12355.35223873074
1166 10927.454216182208 3910.124190938836
1167 2557.5797630191 6051.727246483986
1168 12703.09853545194 4213.823517107082
1169 268.0328988375447 4242.863476230666
1170 2576.1880406646296 255.88774756979294
1171 9580.466656867957 10307.928809601362
1172 7876.3922464002035 4241.51682940152
1173 10744.260127145968 3297.144065865818
1174 11362.871034197902 10965.018624926699
1175 1776.1829575043344 4823.987914901483
1176 10891.672459832114 10865.217690615109
1177 12063.156423204318 10861.239845691798
1178 4806.739763793542 7493.688981845347
1179 7140.115071759455 176.8510062084988
1180 5474.354574907809 1243.6216467340996
1181 7053.51845113064 8533.333076030363
1182 7588.854896994169 527.9475735213168
1183 11007.202822020516 6318.294473341478
1184 491.7262099834538 3592.428063188947
1185 2179.6380196058462 11973.955734852218
1186 3766.6670570992483 802.7242728304825
1187 6700.29498627403 5449.915495442956
1188 8799.990194901113 1554.036036727205
1189 4777.70259435294 11916.138767185454
1190 2828.7326851765442 8917.723488166313
1191 11882.916378315973 8142.0775101840245
1192 238.09635363590021 8761.390932178694
