Name sim201
COMMENT : UAV simulation (olivieri)
TYPE : TSP
DIMENSION: 201
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 5.0 5.0
2 8315.563648648202 4397.827550280732
3 5724.818482510202 12251.509464408966
4 11343.566645716144 11745.624361280894
5 5625.154609145796 430.2143561135644
6 1515.7624133633983 7974.182083632238
7 5266.620051227657 4485.863079733241
8 6943.717944715869 11375.089194038546
9 1481.3376548766284 11710.750902991927
10 2209.086170932915 12189.140429753801
11 9577.216245481606 10752.630159462466
12 7996.409500105063 3965.40121486264
13 8683.584309576818 11670.985011207622
14 9505.508101119292 12511.449172094714
15 6580.954729458928 4194.423985648581
16 7836.961469265522 1144.171851995491
17 8515.556750352232 5387.103130666805
18 4447.522776620595 1299.1361479151667
19 5605.723200666669 7608.8543227198215
20 1331.8585149455541 7811.425566018009
21 10709.915689439487 12736.702707641603
22 8802.84645767028 341.97355809990694
23 1045.110589702996 12104.711740792747
24 4614.716676769382 7490.808182019153
25 1419.4724852123693 4514.601570928189
26 3701.657249120616 4112.25148250737
27 3674.6799660041384 971.3498737174717
28 5989.059218993554 2226.9999378062507
29 7820.966969745664 3505.9854770656184
30 7575.414086075358 11712.150094970808
31 4391.887720721833 10562.045346186831
32 6079.932018183859 642.6115901596194
33 2746.0087846043743 10942.675607169063
34 5104.2782590737115 3755.982260998457
35 11399.177641146589 7242.1134092331195
36 9566.392008641362 7017.847781016618
37 12983.709798055004 7018.290688901292
38 7130.174217167644 9675.596071437376
39 6099.78551326431 12702.566282759188
40 3076.8977963878847 2506.2192018876653
41 5149.5398744866625 4388.09299416715
42 4742.518880774798 11187.215872033905
43 4225.777733411565 3190.08962927375
44 9079.633731815971 3849.5795254977784
45 10264.935409532078 6829.293370342669
46 12993.648550902839 2907.999428676982
47 8967.86411792179 8454.123285759762
48 9849.79955439756 2205.7764884175267
49 2442.1964854055223 1487.600971894288
50 12950.979329798225 1360.5987960092261
51 10126.511006881481 7461.822936993846
52 6845.897964989508 3952.191253383582
53 12319.198282503416 12385.794690493203
54 7042.928105606781 4854.001076328804
55 4553.884293415983 1181.6887603880787
56 3077.0482679707115 8578.450689052886
57 10138.451730066641 12120.101659907697
58 2905.6281758056225 978.9320841622367
59 3406.160000672109 8986.637822529638
60 11293.359697897049 9031.594347636888
61 6615.043777970189 11920.161092926586
62 4187.467821141952 4706.106755177444
63 7975.728260472819 11477.305773201926
64 12081.395381777824 12126.974869849502
65 3987.9879138495244 3498.356598873053
66 12018.486970271288 9325.600113350143
67 4122.8220200706 8776.353745344706
68 10196.757549075943 1888.175825338782
69 4899.516566777417 1364.2959169647938
70 5101.659588827815 8715.631061659555
71 2576.1059198720104 2594.5676533151873
72 2715.826005968509 5929.225814893543
73 3996.8461185581646 8530.223635518489
74 12633.094899110927 5679.02845163688
75 12621.751922540176 12619.52744448593
76 838.6805828276357 12242.391389731712
77 7400.948779006727 4783.141279949767
78 7508.189035280089 2335.6716001849654
79 8950.536845775063 7027.627394515955
80 3425.237150019458 7004.830810460689
81 11436.85594425423 7949.424698156287
82 520.7558816524541 10809.176161855825
83 6682.488669750971 7170.230522211186
84 5596.63401300666 4267.387423572162
85 5270.032234182259 1827.711285941763
86 4512.172089009526 8696.115878426117
87 11838.617643228972 5734.738504883245
88 11983.89217982699 6638.8072932154555
89 343.34589346045095 8715.844947059997
90 8677.564725934672 1056.055472546915
91 7779.2605121869865 3931.355230387777
92 1455.8877647962695 8328.657057242914
93 1759.1686502642608 2707.656657701902
94 2486.073170073579 2910.6779429917865
95 11378.568567820083 8506.328950480613
96 1408.66224923202 12162.231585006408
97 9001.136625457862 185.36300912435155
98 922.2176674989577 6490.287242874808
99 1954.673939779184 1632.4530119663498
100 3948.105666747091 9430.723434738973
101 5.404518493232868 715.9675643540456
102 10225.061828916825 3977.60383453703
103 5548.043567359451 4689.942235137436
104 12918.814852953245 2549.2121999504157
105 2794.600995933375 9655.682632630856
106 15.755369936375496 1870.8603475697212
107 10359.840253082262 2077.5705311167726
108 12335.207533152932 2942.5899370198763
109 8030.331285928669 6785.680202129172
110 4846.960478099388 1315.2712869443476
111 1791.287203113985 6042.8741862192055
112 8255.163483764474 2393.860566216153
113 12088.835072113694 4934.815722003637
114 9302.299865965746 8599.837160808302
115 9434.835684155232 1806.5451856198988
116 4967.313699744883 10318.276572950346
