Strategy;mapName;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize
FPPWRMobility;1;20;10.0;8.144865;71.0;259200.0;13000.0;5943.5;15.0;4.0;239202.5;236937.5;11092.5;2467.0;77582.0;86821.0;3.1423105043057444;9.381219782265225
FPPWRMobility;1;200;10.0;0.716795;71.0;259200.0;13000.0;36623.0;31.0;4.0;258077.5;255325.0;49372.0;273.0;45939.0;449684.0;0.2765401436995137;0.1593990563304764
FPPWRMobility;1;800;10.0;0.461475;71.0;259200.0;13000.0;119068.0;53.0;4.0;258417.5;256520.0;61988.5;16.0;107456.5;556214.0;0.17803967171663065;0.08296785573349585
FPPWRMobility;2;20;10.0;8.167825;71.0;259200.0;13000.0;6080.5;15.5;4.0;240235.0;225820.0;11963.0;84.0;78546.0;90408.0;3.1511666952446253;9.034404116974239
FPPWRMobility;2;200;10.0;0.733685;71.0;259200.0;13000.0;38039.5;30.0;4.0;258022.5;255300.0;46837.5;82.0;46975.5;445178.0;0.283057630434575;0.1648071957927881
FPPWRMobility;2;800;10.0;0.44207;71.0;259200.0;13000.0;117438.5;47.5;4.0;258580.0;256820.0;62295.5;3.0;106822.5;565668.0;0.17055144598527341;0.0781499657031737
FPPWRMobility;3;20;10.0;7.748315;71.0;259200.0;13000.0;6077.0;8.0;4.0;240047.5;238067.5;10612.5;2373.0;74494.5;90924.0;2.989317945292258;8.521745759312758
FPPWRMobility;3;200;10.0;0.814905;71.0;259200.0;13000.0;36216.0;31.5;4.0;257965.0;255092.5;47333.0;135.0;53699.0;419704.0;0.3143929177859709;0.1941621816568907
FPPWRMobility;3;800;10.0;0.44692999999999994;71.0;259200.0;13000.0;116701.5;54.5;4.0;258577.5;256567.5;63726.0;238.0;107255.0;565555.0;0.17242733979076164;0.07902532286650356
FPPWRMobility;4;20;10.0;6.883970000000001;71.0;259200.0;13000.0;6278.5;0.0;4.0;242142.5;240022.5;11749.0;2706.0;66054.0;100278.0;2.655852587734338;6.864885525646111
FPPWRMobility;4;200;10.0;0.635575;71.0;259200.0;13000.0;36955.5;36.0;4.0;258127.5;255852.5;50675.5;376.0;41942.0;476210.0;0.24520671689243248;0.13346544805551858
FPPWRMobility;4;800;10.0;0.448075;71.0;259200.0;13000.0;116871.0;62.0;4.0;258577.5;256952.5;62875.5;323.0;106969.0;562681.0;0.17286782365731374;0.0796318693753223
FPPWRMobility;5;20;10.0;7.35431;71.0;259200.0;13000.0;6088.5;8.0;4.0;241127.5;239437.5;12873.5;3422.0;69316.5;91679.0;2.8373114747656625;8.021805803501998
FPPWRMobility;5;200;10.0;0.73773;71.0;259200.0;13000.0;38649.0;29.5;4.0;258015.0;256057.5;51049.0;3071.0;45814.5;445206.0;0.28461676657045365;0.16570456349434104
FPPWRMobility;5;800;10.0;0.47258500000000003;71.0;259200.0;13000.0;123593.0;51.0;4.0;258422.5;256840.0;62910.0;650.0;136327.5;545987.0;0.18232497040990173;0.08655633253217845
FPPWRMobility;6;20;10.0;9.283805;71.0;259200.0;13000.0;5764.5;8.0;4.0;236567.5;223710.0;10070.5;2673.0;90342.5;76973.0;3.581715255153559;12.06112005684854
FPPWRMobility;6;200;10.0;0.7474250000000001;71.0;259200.0;13000.0;36310.5;31.0;4.0;258020.0;255580.0;46403.5;921.0;49826.0;437580.0;0.28835832118769966;0.17080871349662174
FPPWRMobility;6;800;10.0;0.4604;71.0;259200.0;13000.0;123155.0;54.5;4.0;258420.0;256797.5;63125.5;276.0;106926.0;554786.0;0.1776233749261753;0.08298691528060304
FPPWRMobility;7;20;10.0;7.197915;71.0;259200.0;13000.0;6185.0;8.0;4.0;241845.0;239320.0;12853.5;2493.0;68249.5;97363.0;2.7769740226337447;7.392866557795738
FPPWRMobility;7;200;10.0;0.77081;71.0;259200.0;13000.0;36691.0;31.0;4.0;257975.0;256245.0;47695.5;886.0;49787.5;431160.0;0.29738010057060726;0.17877567971959696
FPPWRMobility;7;800;10.0;0.4788;71.0;259200.0;13000.0;120677.0;51.5;4.0;258435.0;256355.0;63829.5;7.0;138166.0;546004.0;0.18472228175963934;0.0876916935262352
FPPWRMobility;8;20;10.0;8.121385;71.0;259200.0;13000.0;5852.0;8.0;4.0;239322.5;237485.0;12377.5;3334.0;76840.0;83982.0;3.1332496534922267;9.670385441942145
FPPWRMobility;8;200;10.0;0.68311;71.0;259200.0;13000.0;36574.0;32.0;4.0;258125.0;255552.5;48454.5;1616.0;46346.5;460437.0;0.26354610220431324;0.14836155585098068
FPPWRMobility;8;800;10.0;0.452595;71.0;259200.0;13000.0;117416.5;54.5;4.0;258420.0;256917.5;61004.5;238.0;105824.5;555322.0;0.17461254908860302;0.08150149413091126
FPPWRMobility;9;20;10.0;8.95462;71.0;259200.0;13000.0;5688.0;8.0;4.0;236715.0;235137.5;10838.5;2963.0;85511.5;77026.0;3.4547145002190973;11.625451126331242
FPPWRMobility;9;200;10.0;0.74499;71.0;259200.0;13000.0;36587.0;23.5;4.0;258020.0;255000.0;45749.0;193.0;50817.0;441298.0;0.2874187463086781;0.16881775816615838
FPPWRMobility;9;800;10.0;0.453605;71.0;259200.0;13000.0;120416.0;51.0;4.0;258532.5;256960.0;61524.5;819.0;106745.5;558470.0;0.17500140285041538;0.08122256095909838
FPPWRMobility;10;20;10.0;7.462045;71.0;259200.0;13000.0;6330.5;5.5;4.0;240655.0;239005.0;11498.0;2373.0;70944.0;94157.0;2.878876034760326;7.925110912729554
FPPWRMobility;10;200;10.0;0.6836749999999999;71.0;259200.0;13000.0;37604.0;30.0;4.0;258125.0;255277.5;49711.0;1178.0;46472.0;462767.0;0.2637637858891555;0.14773649223576685
FPPWRMobility;10;800;10.0;0.448965;71.0;259200.0;13000.0;126026.5;51.5;4.0;258562.5;256347.5;64295.5;106.0;106680.5;563612.0;0.17321341976380225;0.07965926630869738
FPPWRMobility;11;20;10.0;8.115020000000001;71.0;259200.0;13000.0;5968.0;8.0;4.0;240055.0;224165.0;12356.0;2978.0;77566.5;88611.0;3.1307937349965704;9.158024806300697
FPPWRMobility;11;200;10.0;0.72825;71.0;259200.0;13000.0;36096.0;31.0;4.0;258095.0;255362.5;49995.5;143.0;46661.5;450064.0;0.28096079699169163;0.1618104060316899
FPPWRMobility;11;800;10.0;0.45329;71.0;259200.0;13000.0;124780.0;53.0;4.0;258560.0;256425.0;64321.5;308.0;106966.5;563134.0;0.1748795371977875;0.08049376532346923
FPPWRMobility;12;20;10.0;8.10971;71.0;259200.0;13000.0;5890.0;15.0;4.0;239477.5;237555.0;11996.0;3490.0;76872.0;82800.0;3.12874713625019;9.794338861304944
FPPWRMobility;12;200;10.0;0.67892;71.0;259200.0;13000.0;36618.5;31.0;4.0;258147.5;255922.5;51905.0;1324.0;46695.5;466687.0;0.2619292891946722;0.1454766722862626
FPPWRMobility;12;800;10.0;0.45296000000000003;71.0;259200.0;13000.0;116109.5;47.0;4.0;258545.0;256990.0;63672.0;610.0;106623.0;560534.0;0.17475302018437514;0.08080862683046887
FPPWRMobility;13;20;10.0;7.350115;71.0;259200.0;13000.0;6030.0;8.0;4.0;241300.0;239055.0;11079.0;3462.0;69759.5;91312.0;2.8356928012117066;8.049452142917406
FPPWRMobility;13;200;10.0;0.7124100000000001;71.0;259200.0;13000.0;36158.0;23.0;4.0;258110.0;255022.5;49028.0;559.0;47194.5;454326.0;0.2748489089172766;0.15680554753933978
FPPWRMobility;13;800;10.0;0.450245;71.0;259200.0;13000.0;124874.5;55.0;4.0;258585.0;256827.5;64032.0;1312.0;106622.5;562112.0;0.17370646400724915;0.08009918925530674
FPPWRMobility;14;20;10.0;8.601659999999999;71.0;259200.0;13000.0;6142.0;9.0;4.0;237975.0;235757.5;9687.5;2684.0;83109.5;80979.0;3.3185412618122245;10.622085911924435
FPPWRMobility;14;200;10.0;0.722205;71.0;259200.0;13000.0;38021.0;31.0;4.0;258147.5;255335.0;49119.0;147.0;46690.5;450030.0;0.2786276744208196;0.16047884187693362
FPPWRMobility;14;800;10.0;0.447625;71.0;259200.0;13000.0;119896.5;46.5;4.0;258572.5;256512.5;63760.5;244.0;106421.0;562970.0;0.1726957233081864;0.0795117528136169
FPPWRMobility;15;20;10.0;6.765524999999999;71.0;259200.0;13000.0;6298.0;0.0;4.0;242585.0;240720.0;12203.5;3071.0;64797.5;100341.0;2.6101576193606153;6.742536499917996
FPPWRMobility;15;200;10.0;0.68557;71.0;259200.0;13000.0;37139.0;31.0;4.0;258112.5;255635.0;48034.0;1970.0;45481.0;454613.0;0.264494979804908;0.15080320792725274
FPPWRMobility;15;800;10.0;0.45188000000000006;71.0;259200.0;13000.0;118916.5;54.5;4.0;258580.0;256777.5;64437.0;177.0;107615.5;565196.0;0.17433625825783894;0.07995095177678513
FPPWRMobility;16;20;10.0;10.555895000000001;71.0;259200.0;13000.0;5657.0;8.0;4.0;234432.5;214432.5;9724.0;973.0;102204.5;69834.0;4.072489634535513;15.115693118990821
FPPWRMobility;16;200;10.0;0.7255699999999999;71.0;259200.0;13000.0;36887.0;31.0;4.0;258082.5;255435.0;50434.5;604.0;46673.0;449893.0;0.27992819489692755;0.16127698834452553
FPPWRMobility;16;800;10.0;0.45416;71.0;259200.0;13000.0;118161.5;59.0;4.0;258597.5;256760.0;64375.0;216.0;107135.0;562087.0;0.17521676085486232;0.08079920797595447
FPPWRMobility;17;20;10.0;6.447675;71.0;259200.0;13000.0;6382.5;8.0;4.0;243592.5;241447.5;14475.5;3244.0;60667.0;105156.0;2.4875291435661495;6.131533664387633
FPPWRMobility;17;200;10.0;0.76929;71.0;259200.0;13000.0;36064.5;31.5;4.0;258017.5;255400.0;46953.5;3175.0;50062.0;431356.0;0.2967940291114157;0.17834227956879917
FPPWRMobility;17;800;10.0;0.45226500000000003;71.0;259200.0;13000.0;116095.0;54.5;4.0;258582.5;256697.5;63734.0;97.0;105880.0;559329.0;0.17448417153087392;0.08085813047562798
FPPWRMobility;18;20;10.0;9.740545000000001;71.0;259200.0;13000.0;5615.5;16.0;4.0;235617.5;225047.5;10322.5;2888.0;93345.0;72523.0;3.7579274072168882;13.430977537479386
FPPWRMobility;18;200;10.0;0.7502199999999999;71.0;259200.0;13000.0;36376.5;23.0;4.0;258022.5;254997.5;49137.5;730.0;46899.5;443996.0;0.2894374368903382;0.16897040433241664
FPPWRMobility;18;800;10.0;0.46914;71.0;259200.0;13000.0;117791.5;54.5;4.0;258427.5;256735.0;63473.5;51.0;137200.0;550040.0;0.18099607663299339;0.08529231158328829
FPPWRMobility;19;20;10.0;7.139564999999999;71.0;259200.0;13000.0;6097.0;8.0;4.0;241627.5;239490.0;10355.0;3235.0;68544.0;94118.0;2.7544614364235622;7.585758349316679
FPPWRMobility;19;200;10.0;0.64872;71.0;259200.0;13000.0;36599.0;23.0;4.0;258142.5;255400.0;51690.5;33.0;42772.0;476655.0;0.25027670015051023;0.1360978499732768
FPPWRMobility;19;800;10.0;0.45238;71.0;259200.0;13000.0;117034.0;54.0;4.0;258560.0;256767.5;62893.0;33.0;106376.5;559125.0;0.1745292897305081;0.08090854799579289
FPPWRMobility;20;20;10.0;8.02932;71.0;259200.0;13000.0;5906.0;7.5;4.0;239567.5;237270.0;11298.0;2855.0;76530.5;86208.0;3.097731862520957;9.313893127846974
FPPWRMobility;20;200;10.0;0.75995;71.0;259200.0;13000.0;36577.0;24.0;4.0;258022.5;255347.5;48693.5;1070.0;50418.0;437569.0;0.293190154773472;0.17367521034918823
FPPWRMobility;20;800;10.0;0.457275;71.0;259200.0;13000.0;115516.0;54.5;4.0;258537.5;256770.0;63534.0;306.0;106744.0;557728.0;0.17641820734620306;0.08198906876494606
