Strategy;nUAV;nPOIs;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
FPPWRMobility;4;20;3.2493749000000007;71.0;259200.0;13000.0;3359.81;8.02;4.0;251357.9;249016.75;11348.17;2515.47;31176.65;90916.14;1.253616898148149;3.7593677406362933;50.5
FPPWRMobility;4;200;0.3721363999999999;71.0;259200.0;13000.0;26566.84;25.47;4.0;258677.05;254682.1;48035.35;985.77;23614.41;444063.91;0.1435710230790847;0.08404180125223146;50.5
FPPWRMobility;4;800;0.2357539;71.0;259200.0;13000.0;104520.91;53.43;4.0;258810.65;252829.75;63398.25;301.54;63624.74;559404.32;0.09095455077231936;0.042147098203201665;50.5
FPPWRMobility;16;20;12.5147726;71.0;259200.0;13000.0;8739.05;11.04;4.0;228630.45;220261.25;11348.07;2515.47;119841.81;90916.14;4.828230083542907;14.493939450659406;50.5
FPPWRMobility;16;200;1.1131599;71.0;259200.0;13000.0;46545.83;29.87;4.0;257412.6;250891.35;47996.68;985.81;73758.49;444063.91;0.42945995543028886;0.25156093951828884;50.5
FPPWRMobility;16;800;0.6798834000000002;71.0;259200.0;13000.0;131205.11;56.22;4.0;258253.0;250097.7;63227.32;301.54;155634.73;559404.32;0.2623007003535331;0.12155910465223303;50.5
TSPConcorde;4;20;6.504579900000001;71.0;259200.0;13000.0;3508.59;187.23;4.0;242878.35;241699.85;5400.08;687.82;64242.42;49983.48;2.509483194373;13.114780518911402;50.5
TSPConcorde;4;200;2.076428299999999;71.0;259200.0;13000.0;28785.83;2097.33;4.0;254403.1;251884.4;14768.48;205.16;194084.68;136194.49;0.801091030628429;1.5259603462016087;50.5
TSPConcorde;4;800;0.7600283;71.0;259200.0;13000.0;210435.16;107451.23;4.0;257588.1;252195.7;30966.94;93.36;267306.96;266807.23;0.29322086305738937;0.28489611988848274;50.5
TSPConcorde;16;20;25.515380899999997;71.0;259200.0;13000.0;7451.67;155.43;4.0;194840.85;190763.75;5471.32;681.83;251642.05;50013.64;9.843896983000878;51.44449730145876;50.5
TSPConcorde;16;200;7.790181900000002;71.0;259200.0;13000.0;38141.77;2004.25;4.0;240854.9;234511.25;14757.53;203.8;726002.49;136209.81;3.005471414299458;5.724154658572916;50.5
TSPConcorde;16;800;2.5594744000000005;71.0;259200.0;13000.0;245819.36;123118.5;4.0;254217.45;243771.65;30963.43;96.88;804007.49;266783.84;0.9874515216573312;0.9595422302409922;50.5
ZigZagOverNSN;4;20;6.600110200000004;71.0;259200.0;13000.0;3419.35;0.49;4.0;250605.6;238474.55;7317.3;495.57;64476.45;52325.58;2.546338716706676;12.840394743526538;50.5
ZigZagOverNSN;4;200;1.7016363636363638;71.0;259200.0;13000.0;26776.262626262625;17.90909090909091;4.0;257049.898989899;251625.30303030304;22094.10101010101;152.03030303030303;154837.77777777778;164060.9090909091;0.6564954670615428;1.0404233442123518;50.464646464646464
ZigZagOverNSN;4;800;0.5667016326530613;71.0;259200.0;13000.0;104838.91836734694;221.01020408163265;4.0;258443.16326530612;256100.76530612246;57331.336734693876;65.71428571428571;177942.7142857143;326604.693877551;0.21863514442270965;0.1737225455567189;50.244897959183675
ZigZagOverNSN;16;20;25.589579500000003;71.0;259200.0;13000.0;8463.81;0.16;4.0;224470.9;180043.25;5263.51;490.62;250668.68;52325.58;9.872522945720926;49.798928556407574;50.5
ZigZagOverNSN;16;200;6.282623131313133;71.0;259200.0;13000.0;39173.16161616162;18.78787878787879;4.0;251053.63636363635;231094.84848484848;17936.555555555555;151.26262626262627;563717.8282828283;164060.9090909091;2.4238513942075643;3.8417200502031577;50.464646464646464
ZigZagOverNSN;16;800;1.852826020408163;71.0;259200.0;13000.0;128911.52040816327;221.5612244897959;4.0;256875.9693877551;247260.05102040817;45950.17346938775;65.53061224489795;538118.0102040817;326604.693877551;0.7148248848400527;0.5679588723899491;50.244897959183675
