Strategy;nUAV;nPOIs;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
DADCA-NSN;2;20;2.9706799999999998;71;2592;13000;125;0;4;2592;2477;-1;0;0;52997;114.60952979728698;5.605372025483855;13
DADCA-NSN;2;100;1.45062;71;2592;13000;265;15;4;2592;2472;-1;0;0;115931;55.96517299192196;1.2313848446111366;13
DADCA-NSN;2;200;0.951;71;2592;13000;395;22;4;2592;2467;-1;0;0;162033;36.689933889651044;0.5924104797841221;13
DADCA-NSN;8;20;2.9417400000000002;71;2592;13000;236;0;4;2592;2477;-1;0;0;52997;113.49320320835234;5.624258030575192;13
DADCA-NSN;8;100;1.48148;71;2592;13000;362;0;4;2592;2467;-1;0;0;115931;57.15592135345229;1.2496377009468569;13
DADCA-NSN;8;200;0.97415;71;2592;13000;546;21;4;2592;2462;-1;0;0;162033;37.582995160798575;0.5989105801175824;13
DADCA-lkh;2;20;2.9031599999999997;71;2592;13000;456;328;4;2592;2477;-1;0;0;50436;112.00476775643959;5.667335479146344;13
DADCA-lkh;2;100;1.34645;71;2592;13000;906;574;4;2592;2472;-1;0;0;98592;51.94639727175714;1.3982705228611807;13
DADCA-lkh;2;200;0.8979600000000001;71;2592;13000;2561;2156;4;2592;2472;-1;0;0;135733;34.643335143270996;0.6696927149665509;13
DADCA-lkh;8;20;2.91281;71;2592;13000;594;317;4;2592;2477;-1;0;0;50436;112.37687661941769;5.686969354059553;13
DADCA-lkh;8;100;1.37731;71;2592;13000;908;550;4;2592;2472;-1;0;0;98592;53.137145633287496;1.3870271386542452;13
DADCA-lkh;8;200;0.9162799999999999;71;2592;13000;2601;2067;4;2592;2472;-1;0;0;135733;35.350341982929294;0.6735417744333503;13
DADCA-lkh-cutted;2;20;2.08333;71;2592;13000;469;344;4;2592;2477;778;158;151;50969;80.37551440329233;4.15193605463868;13
DADCA-lkh-cutted;2;100;1.03588;71;2592;13000;847;537;4;2592;2472;-1;0;0;98463;39.96449188385928;1.0398193656461876;13
DADCA-lkh-cutted;2;200;0.73592;71;2592;13000;2562;2138;4;2592;2472;-1;0;0;135921;28.391906245236907;0.5490615747556856;13
DADCA-lkh-cutted;8;20;1.99653;71;2592;13000;610;329;4;2592;2482;789;158;156;50969;77.02653463648839;3.9570769524482636;13
DADCA-lkh-cutted;8;100;1.0378100000000001;71;2592;13000;957;594;4;2592;2467;-1;0;0;98463;40.03891365645498;1.0382568127133336;13
DADCA-lkh-cutted;8;200;0.7417100000000001;71;2592;13000;2558;2024;4;2592;2467;-1;0;0;135921;28.615171563024003;0.5414183548893609;13
DADCA-parted-nsn;2;20;2.00617;71;2592;13000;125;0;4;2592;2482;742;166;142;55612;77.39864349946646;3.6798066066814905;13
DADCA-parted-nsn;2;100;0.8564799999999999;71;2592;13000;250;0;4;2592;2472;-1;0;0;118007;33.043267032464726;0.7346813745590953;13
DADCA-parted-nsn;2;200;0.52469;71;2592;13000;390;0;4;2592;2472;-1;0;0;165797;20.24272214601416;0.3141190696318559;13
DADCA-parted-nsn;8;20;2.02546;71;2592;13000;281;0;4;2592;2487;758;166;152;55612;78.14286122542303;3.765930571030109;13
DADCA-parted-nsn;8;100;0.8468399999999999;71;2592;13000;375;0;4;2592;2477;-1;0;0;118007;32.671158169486226;0.7082763357271588;13
DADCA-parted-nsn;8;200;0.5111899999999999;71;2592;13000;500;9;4;2592;2467;-1;0;0;165797;19.721769737844692;0.3083217860425305;13
FPPWR;2;20;1.7361099999999998;71;2592;13000;125;15;4;2592;2482;-1;0;0;90408;66.979595336077;1.8907590617348933;13
FPPWR;2;100;0.44173999999999997;71;2592;13000;271;31;4;2592;2477;-1;0;0;328762;17.042585924401624;0.14128683555318036;13
FPPWR;2;200;0.36458;71;2592;13000;406;31;4;2592;2472;-1;0;0;450030;14.065715020576194;0.07899176896930314;13
FPPWR;8;20;1.77469;71;2592;13000;242;15;4;2592;2482;-1;0;0;90408;68.46803078798972;1.842570053800188;13
FPPWR;8;100;0.46103;71;2592;13000;375;16;4;2592;2482;-1;0;0;328762;17.7868036503582;0.13951433163762098;13
FPPWR;8;200;0.35301;71;2592;13000;578;31;4;2592;2472;-1;0;0;450030;13.619184385002415;0.07915392047060674;13
TSPbased;2;20;2.9321;71;2592;13000;515;403;4;2592;2482;-1;0;0;50136;113.12109434537425;5.8177122470670355;13
TSPbased;2;100;1.3561;71;2592;13000;938;655;4;2592;2472;-1;0;0;98583;52.31850613473564;1.3579771034572228;13
TSPbased;2;200;0.8941;71;2592;13000;1605;1017;4;2592;2472;-1;0;0;135733;34.4944915980796;0.6565609501679228;13
TSPbased;8;20;2.91281;71;2592;13000;615;369;4;2592;2477;-1;0;0;50161;112.37687661941769;5.8069190047553;13
TSPbased;8;100;1.33102;71;2592;13000;1065;660;4;2592;2467;-1;0;0;98340;51.351023090992406;1.36465511653857;13
TSPbased;8;200;0.8950600000000001;71;2592;13000;1890;1165;4;2592;2472;-1;0;0;135594;34.53170248437745;0.663277983672784;13
