Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
TSPConcorde;20;4;9.85031;71;259200;13000;3525;172;4;234910;232520;1484;84;95185;55681;3.800273395823809;17.690610157819208;1
DADCA-lkh-cutted;20;4;10.07388;71;259200;13000;3464;47;4;246570;223305;1485;84;98044;55195;3.8865282302621544;18.251437943363538;1
DADCA-lkh;20;4;10.21779;71;259200;13000;3464;47;4;246490;223515;3038;85;98149;55681;3.9420468726185023;18.350578283125586;1
DADCA-parted-nsn;20;4;9.71480;71;259200;13000;3362;16;4;247095;225200;1526;84;94331;56267;3.747992100575369;17.265529572735986;1
DADCA-NSN;20;4;10.46171;71;259200;13000;3689;0;4;245555;223150;2194;84;100722;54408;4.036153204065693;19.228255228896995;1
FPPWR;20;4;5.62741;71;259200;13000;3495;16;4;245690;243835;2849;620;53919;86821;2.1710691610463364;6.481624567134799;1
TSPConcorde;20;8;19.44261;71;259200;13000;4870;156;4;211185;206780;1483;84;188297;55681;7.501007670800948;34.917856868080776;1
DADCA-lkh-cutted;20;8;19.89660;71;259200;13000;4747;47;4;234195;188370;1484;85;193026;55195;7.676159312604784;36.047839366376664;1
DADCA-lkh;20;8;20.14014;71;259200;13000;4789;47;4;234290;189270;3024;85;194618;55681;7.770116800506783;36.17058376630014;1
DADCA-parted-nsn;20;8;19.12915;71;259200;13000;4727;16;4;236250;191735;1540;84;185340;56267;7.380072290333028;33.997098435216394;1
DADCA-NSN;20;8;20.46807;71;259200;13000;5245;0;4;232540;187880;1725;84;195646;54408;7.896633813919369;37.619605289073306;1
FPPWR;20;8;10.96865;71;259200;13000;4823;0;4;232410;229440;2852;620;105044;86821;4.231733622447034;12.633641111462333;1
TSPConcorde;20;12;29.12297;71;259200;13000;6585;171;4;186975;181010;1596;85;281532;55661;11.235715484967994;52.322046921609456;1
DADCA-lkh-cutted;20;12;29.62172;71;259200;13000;6334;46;4;224090;153980;1478;84;287531;55195;11.42813297801402;53.66739863939187;1
DADCA-lkh;20;12;30.10918;71;259200;13000;6240;47;4;221980;153775;3028;85;289616;55681;11.616196797363207;54.074427719986055;1
DADCA-parted-nsn;20;12;28.58893;71;259200;13000;6287;0;4;225325;159640;1531;321;277405;56267;11.029678807536962;50.80940421407896;1
DADCA-NSN;20;12;30.38831;71;259200;13000;7133;0;4;218465;156830;1573;84;288931;54408;11.723885102309099;55.85265068590132;1
FPPWR;20;12;16.28926;71;259200;13000;6586;0;4;219155;215085;2847;620;156670;86821;6.284434954180004;18.761884107801766;1
TSPConcorde;20;16;38.64950;71;259200;13000;7943;172;4;163690;155455;1483;84;374113;55681;14.911071935490016;69.41236410407522;1
DADCA-lkh-cutted;20;16;39.37500;71;259200;13000;8254;47;4;212650;119290;1478;84;382279;55195;15.190972222222225;71.33798351299939;1
DADCA-lkh;20;16;40.05093;71;259200;13000;7994;49;4;210480;118210;3024;85;386149;55681;15.45174611339735;71.92925041922008;1
DADCA-parted-nsn;20;16;37.94811;71;259200;13000;8019;0;4;215560;125515;1535;84;367623;56267;14.640474370332266;67.44292314838401;1
DADCA-NSN;20;16;39.71354;71;259200;13000;9908;0;4;205695;124195;1514;84;373955;54408;15.321582433127572;72.99209981375287;1
FPPWR;20;16;21.67332;71;259200;13000;9070;16;4;206515;200775;2853;620;207743;86821;8.361621049096936;24.96322520963737;1
TSPConcorde;20;4;10.32890;71;259200;13000;3635;156;4;233915;231155;1327;24;100257;53841;3.9849138136335935;19.1840727418478;2
DADCA-lkh-cutted;20;4;10.63416;71;259200;13000;3494;62;4;245285;222150;1389;250;103214;52061;4.102686268766196;20.426351412078102;2
DADCA-lkh;20;4;10.50473;71;259200;13000;3499;47;4;246510;222770;2939;250;101979;53841;4.052749259354521;19.51064445357055;2
