Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;pathTime;globalAvgDelay;nMsgs;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
TSP-based;50;4;5.08935;71;259200;13000;33;4014;125071;78269;1300456;0;0;0;0;0.0;1
TSP-based;50;2;2.65116;71;259200;13000;34;4016;65356;78269;1300336;0;0;0;0;0.0;1
TSP-based;50;8;9.99321;71;259200;13000;33;4013;242748;78269;1302288;0;0;0;0;0.0;1
TSP-based;50;16;19.75058;71;259200;13000;33;4018;480403;78269;1300360;0;0;0;0;0.0;1
TSP-based;50;4;5.42145;71;259200;13000;34;4359;132197;74051;1300376;0;0;0;0;0.0;2
TSP-based;50;2;2.81991;71;259200;13000;32;4371;69051;74051;1300384;0;0;0;0;0.0;2
DADCA-LKH;50;4;5.17199;71;259200;13000;28;6319;122044;76794;1300360;327;380;185244;46311;926220.0;1
TSP-based;50;8;10.65745;71;259200;13000;44;4360;259239;74051;1302288;0;0;0;0;0.0;2
DADCA-LKH;50;2;2.70320;71;259200;13000;29;7153;63387;76794;650144;57;62;30431;15215;304300.0;1
TSP-based;50;16;21.09128;71;259200;13000;36;4362;513504;74051;1300360;0;0;0;0;0.0;2
DADCA-LKH;50;8;10.12207;71;259200;13000;27;5032;242531;76794;650112;1532;1979;861103;107637;2152740.0;1
TSP-based;50;4;4.84776;71;259200;13000;32;4423;118210;81936;1300464;0;0;0;0;0.0;3
TSP-based;50;2;2.53900;71;259200;13000;33;4423;62266;81936;1300224;0;0;0;0;0.0;3
DADCA-LKH;50;16;19.93796;71;259200;13000;27;4570;460078;76794;1300360;6530;9991;3504128;219008;4380160.0;1
TSP-based;50;8;9.52245;71;259200;13000;35;4422;231972;81936;1302288;0;0;0;0;0.0;3
DADCA-LKH-Cut;50;4;5.12616;71;259200;13000;31;5064;126011;76516;1300520;314;430;95744;23936;478720.0;1
DADCA-LKH-Cut;50;2;2.67280;71;259200;13000;30;4953;66083;76516;1300416;54;66;14480;7240;144800.0;1
TSP-based;50;16;18.80108;71;259200;13000;32;4420;457166;81936;1300360;0;0;0;0;0.0;3
DADCA-LKH-Cut;50;8;10.02450;71;259200;13000;31;2673;135441;76516;650248;1515;2423;424474;53059;1061180.0;1
FPPWR;50;2;0.85602;71;259200;13000;45;10120;20020;222426;650176;0;0;0;0;0.0;1
FPPWR;50;4;1.48981;71;259200;13000;52;10136;35189;222426;650176;0;0;0;0;0.0;1
TSP-based;50;4;5.34344;71;259200;13000;40;4336;129487;75836;1300512;0;0;0;0;0.0;4
FPPWR;50;8;2.76829;71;259200;13000;40;10136;64592;222426;650112;0;0;0;0;0.0;1
TSP-based;50;2;2.75201;71;259200;13000;49;4331;66401;75836;1301264;0;0;0;0;0.0;4
DADCA-LKH-Cut;50;16;19.73399;71;259200;13000;59;2383;244947;76516;1300456;6357;14123;1915833;119739;2394780.0;1
FPPWR;50;16;5.34132;71;259200;13000;71;10120;123771;222426;650112;0;0;0;0;0.0;1
DADCA-LKH;50;4;5.51335;71;259200;13000;30;5282;135433;72057;1300224;380;451;175646;43911;878220.0;2
TSP-based;50;8;10.47118;71;259200;13000;37;4336;254064;75836;1302288;0;0;0;0;0.0;4
DADCA-NSN;50;2;2.45810;71;259200;13000;22;7884;58947;84445;0;49;54;23074;11537;230740.0;1
DADCA-NSN;50;4;4.70421;71;259200;13000;27;6086;113224;84445;0;301;377;131228;32807;656140.0;1
