Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
TSPConcorde;20;2;4.42187;71;259200;13000;4434;556;4;248435;247020;1548;84;42784;55681;1.7059702932098755;7.9414432212065105;1
DADCA-lkh;20;2;4.60600;71;259200;13000;4072;369;4;253340;243585;3020;85;44205;55681;1.7770058751524165;8.272120163781295;1
DADCA-parted-nsn;20;2;4.36786;71;259200;13000;3666;4;4;253885;244510;1535;84;42330;56267;1.6851321968830963;7.7627430897701775;1
DADCA-NSN;20;2;4.67622;71;259200;13000;3793;3;4;253395;242755;2455;1151;45237;54408;1.8040954003772274;8.594720037086041;1
FPPWR;20;2;2.39053;71;259200;13000;3529;20;4;253510;252225;2870;620;23076;86821;0.9222718168914814;2.753399004138077;1
TSPConcorde;20;4;7.89988;71;259200;13000;5427;486;4;240170;237475;1637;85;76340;55661;3.0477948531092824;14.192853630476023;1
DADCA-lkh;20;4;8.19551;71;259200;13000;4836;361;4;249070;230100;2995;85;78828;55681;3.161846219612103;14.718674954175698;1
DADCA-parted-nsn;20;4;7.63194;71;259200;13000;4479;5;4;249870;231785;1533;321;74213;56267;2.9444230109739395;13.563801952200137;1
DADCA-NSN;20;4;8.19030;71;259200;13000;4871;1;4;252420;228950;1964;84;78423;54408;3.1598368317520182;15.053479392554829;1
FPPWR;20;4;4.16869;71;259200;13000;4474;33;4;249160;247340;2857;620;40403;86821;1.6082917166780961;4.8014790541800085;1
TSPConcorde;20;8;12.55912;71;259200;13000;6980;484;4;229260;224810;1498;1042;121795;55681;4.845341137498093;22.555493307223394;1
DADCA-lkh;20;8;12.96798;71;259200;13000;7149;382;4;243365;213545;2967;669;124836;55681;5.003078084514557;23.289772804119412;1
DADCA-parted-nsn;20;8;12.28106;71;259200;13000;6504;4;4;245340;216685;1511;84;118941;56267;4.73806215230148;21.826393976514538;1
DADCA-NSN;20;8;13.08700;71;259200;13000;7013;1;4;246325;212990;1893;84;125857;54408;5.048996318206065;24.0534451859839;1
FPPWR;20;8;6.46296;71;259200;13000;7415;16;4;243725;240495;2841;620;62012;86821;2.4934270690443516;7.444008895270683;1
TSPConcorde;20;16;23.42216;71;259200;13000;12356;593;4;202965;195095;1606;85;226104;55661;9.036328839449014;42.08002794030263;1
DADCA-lkh;20;16;24.31385;71;259200;13000;12030;373;4;229705;172000;2943;85;233412;55681;9.380343483272366;43.66633197794934;1
DADCA-parted-nsn;20;16;22.88899;71;259200;13000;11560;3;4;234815;180305;1500;84;222244;56267;8.830627059994667;40.679235323557634;1
DADCA-NSN;20;16;24.32002;71;259200;13000;11881;5;4;234540;176060;1657;84;230535;54408;9.38272497999543;44.6993514706443;1
FPPWR;20;16;12.03106;71;259200;13000;14614;20;4;229895;224335;2841;620;115261;86821;4.641611535017526;13.857312284776066;1
TSPConcorde;200;2;1.30544;71;259200;13000;30511;1547;4;256310;255125;4812;70;123417;138258;0.5036419038637394;0.9442056263035865;1
DADCA-lkh;200;2;1.31862;71;259200;13000;33013;4036;4;257860;254335;9457;84;124401;138258;0.5087286320206511;0.9537419998824862;1
DADCA-parted-nsn;200;2;1.06263;71;259200;13000;30517;10;4;258250;255335;5362;70;100271;165797;0.40996349760897904;0.6409195496917759;1
DADCA-NSN;200;2;0.99553;71;259200;13000;29076;24;4;257970;255610;9524;70;92136;177327;0.3840796051002147;0.5614115935079016;1
FPPWR;200;2;0.37314;71;259200;13000;28657;49;4;258525;257350;14753;147;34727;449684;0.1439577558203793;0.08297793630336484;1
TSPConcorde;200;4;2.05406;71;259200;13000;32608;1540;4;254640;252785;4660;2543;196196;137962;0.7924616400415352;1.4888596649712669;1
DADCA-lkh;200;4;2.06535;71;259200;13000;35123;4052;4;257385;251245;9151;1993;197337;138258;0.7968190348270069;1.4938411797303606;1
DADCA-parted-nsn;200;4;1.63036;71;259200;13000;30867;10;4;257840;253225;5330;70;155261;165797;0.6289979376238358;0.9833487061412344;1
DADCA-NSN;200;4;1.48785;71;259200;13000;32246;32;4;257875;253465;7539;70;140680;177327;0.5740151320301802;0.8390415572486013;1
FPPWR;200;4;0.45146;71;259200;13000;31067;47;4;258345;257110;14407;147;42457;449684;0.17417299549420615;0.1003941444038441;1
TSPConcorde;200;8;2.84510;71;259200;13000;37356;1333;4;252720;250550;4509;70;270935;138258;1.0976467240131094;2.057819662256057;1
DADCA-lkh;200;8;2.86178;71;259200;13000;38218;4056;4;257000;248965;8684;2091;262533;138258;1.104080486254001;2.0698813959194915;1
DADCA-parted-nsn;200;8;2.18466;71;259200;13000;34840;9;4;257255;250940;5044;70;206215;165797;0.8428489011774115;1.3176742352707531;1
DADCA-NSN;200;8;2.07188;71;259200;13000;35290;31;4;257365;251740;6817;70;195571;177327;0.7993382118293703;1.1683977313447629;1
FPPWR;200;8;0.39041;71;259200;13000;36528;44;4;258480;257455;13426;147;35172;449684;0.15062222555631602;0.086819368410255;1
TSPConcorde;200;16;5.11204;71;259200;13000;48630;1335;4;247605;243800;4475;70;487050;138258;1.9722365112025586;3.6974620181378524;1
DADCA-lkh;200;16;5.12951;71;259200;13000;51526;4043;4;255300;240745;8516;1219;470638;138258;1.9789791237997272;3.7101027708262038;1
DADCA-parted-nsn;200;16;3.92431;71;259200;13000;49723;11;4;255860;243640;5076;84;368702;165797;1.5140067729766788;2.3669339949188175;1
DADCA-NSN;200;16;3.54490;71;259200;13000;49036;28;4;255275;246465;7003;70;291256;177327;1.3676303095469438;1.999073893059533;1
FPPWR;200;16;0.63712;71;259200;13000;53768;49;4;258055;256125;13892;147;54064;449684;0.24580395161751184;0.14168256877998564;1
