Strategy;mapName;nPOIs;nUAV;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy
DADCA-LKH;1;16;4.0;8.29102;0.0008500000000000001;4027.0;50.64;7802064.0;561.0;615.0;100897.0;25224.0;504480.0
DADCA-LKH;1;32;4.0;6.60434;0.0027500000000000003;5077.0;62.369;7818624.0;427.0;487.0;157706.0;39426.0;788520.0
DADCA-LKH;1;48;4.0;5.44367;0.0026000000000000003;5733.0;73.369;8452456.0;347.0;400.0;171089.0;42772.0;855440.0
DADCA-LKH;1;50;4.0;5.17199;0.00046666666666666666;6319.0;76.794;1300360.0;327.0;380.0;185244.0;46311.0;926220.0
DADCA-LKH;1;80;4.0;3.92429;0.002116666666666667;7600.0;96.397;9756720.0;247.0;302.0;192956.0;48239.0;964780.0
DADCA-LKH;1;160;4.0;2.76132;0.0111;10683.0;125.531;-11643144.0;171.0;225.0;289158.0;72289.0;1445780.0
DADCA-LKH;1;250;4.0;2.0615200000000002;0.09641666666666666;13853.0;154.677;-13183416.0;131.0;184.0;312269.0;78067.0;1561340.0
DADCA-LKH;1;320;4.0;1.71575;0.06126666666666667;16555.0;175.371;3610600.0;148.0;203.0;318699.0;79674.0;1593480.0
DADCA-LKH;1;500;4.0;1.24885;0.16191666666666668;24399.0;213.68;10754928.0;80.0;144.0;351559.0;87889.0;1757780.0
DADCA-LKH;2;16;4.0;9.94743;0.0022;3290.0;43.049;7152504.0;651.0;704.0;118232.0;29558.0;591160.0
DADCA-LKH;2;32;4.0;7.0050300000000005;0.0015833333333333335;4916.0;59.095;8471008.0;441.0;494.0;180507.0;45126.0;902520.0
DADCA-LKH;2;48;4.0;5.79628;0.0030166666666666666;5318.0;69.364;9102824.0;361.0;414.0;174869.0;43717.0;874340.0
DADCA-LKH;2;50;4.0;5.51335;0.0005;5282.0;72.057;1300224.0;380.0;451.0;175646.0;43911.0;878220.0
DADCA-LKH;2;80;4.0;4.0586199999999995;0.00485;7606.0;93.571;9108664.0;271.0;327.0;215405.0;53851.0;1077020.0
DADCA-LKH;2;160;4.0;2.8066;0.01235;10774.0;123.39;-12252528.0;175.0;230.0;301260.0;75315.0;1506300.0
