Strategy;nUAV;nPOIs;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
DADCA-LKH;2;16;4.8951287500000005;0.0009085833333333332;3997.355;45286.575;6281685.72;105.59;110.88;19431.515;9715.525;194310.5;100.5
DADCA-LKH;2;32;3.4987994000000016;0.0009233333333333335;5901.025;61220.29;6532041.32;74.735;79.975;26630.045;13314.745;266294.9;100.5
DADCA-LKH;2;48;2.8643587000000004;0.0009890833333333344;6873.42;72876.615;6918510.64;61.085;66.385;31682.09;15840.795;316815.9;100.5
DADCA-LKH;2;50;2.8041669000000007;0.0005080833333333328;7000.915;74214.66;224305.04;59.31;64.485;32319.055;16159.28;323185.6;100.5
DADCA-LKH;2;80;2.1895335353535375;0.0010791245791245793;8483.924242424242;91567.62626262626;7218199.191919192;45.95454545454545;51.217171717171716;38914.979797979795;19457.222222222223;389144.44444444444;100.44444444444444
DADCA-LKH;2;160;1.476935228426396;0.001051438240270729;11640.72081218274;126014.8883248731;7641340.954314721;30.253807106598984;35.63451776649746;49145.8730964467;24572.69035532995;491453.807106599;100.35532994923858
DADCA-LKH;2;250;1.1226160714285716;0.0006180272108843538;14510.841836734693;155522.1581632653;651170.5306122449;22.25;27.474489795918366;54441.17346938775;27220.326530612245;544406.5306122449;99.95408163265306
DADCA-LKH;2;320;0.95788275510204;0.0009960034013605469;16620.75;174811.54081632654;-14742514.163265307;18.70408163265306;24.040816326530614;55857.086734693876;27928.26020408163;558565.2040816327;99.95408163265306
DADCA-LKH;2;500;0.7047121938775514;0.0006090136054421767;22007.948979591838;217040.17857142858;991012.775510204;1127.0816326530612;1132.4795918367347;62341.19387755102;31170.326530612245;623406.5306122449;99.95408163265306
DADCA-LKH;4;16;9.534544149999999;0.0012799999999999995;3478.78;45286.575;7556651.48;617.69;672.405;115287.925;28821.59;576431.8;100.5
DADCA-LKH;4;32;6.770752400000001;0.0015498333333333317;4860.835;61220.29;8132492.56;433.21;487.995;156881.345;39219.95;784399.0;100.5
DADCA-LKH;4;48;5.504381400000001;0.0019630000000000003;5908.12;72876.615;8804777.64;350.26;405.18;185368.43;46341.72;926834.4;100.5
DADCA-LKH;4;50;5.384821099999999;0.0012443333333333332;6036.24;74214.66;1304582.44;343.315;398.88;189069.315;47266.925;945338.5;100.5
DADCA-LKH;4;80;4.173373585858586;0.003592255892255892;7578.828282828283;91567.62626262626;9645257.010101011;955.3383838383838;1010.3181818181819;225968.30303030304;56491.69696969697;1129833.9393939395;100.44444444444444
DADCA-LKH;4;160;2.7483522335025374;0.017548730964466994;10851.97461928934;126014.8883248731;-11686519.390862944;170.55329949238578;225.16243654822335;279627.4873096447;69906.52791878172;1398130.5583756345;100.35532994923858
DADCA-LKH;4;250;2.043607448979591;0.04846726190476191;14128.811224489797;155522.1581632653;-12818783.224489795;2285.3061224489797;2341.6326530612246;306886.48979591834;76721.23979591837;1534424.7959183673;99.95408163265306
DADCA-LKH;4;320;1.7212356122448966;0.07732806122448979;16626.51020408163;174811.54081632654;3705437.4693877553;102.61734693877551;157.24489795918367;313468.2755102041;78366.69897959183;1567333.9795918367;99.95408163265306
DADCA-LKH;4;500;1.2226551020408158;0.21276062925170078;22797.382653061224;217040.17857142858;10811505.75510204;77.9438775510204;135.23469387755102;315318.52040816325;78829.22959183673;1576584.5918367347;99.95408163265306
DADCA-LKH;8;16;18.685854499999994;0.0009397499999999999;2941.54;45286.575;6004996.56;2887.33;3352.815;518827.155;64852.96;1297059.2;100.5
DADCA-LKH;8;32;13.259173700000002;0.0009975833333333327;3986.025;61220.29;6275203.96;2710.915;3163.76;713705.65;89212.825;1784256.5;100.5
DADCA-LKH;8;48;10.7718235;0.000958833333333334;4721.055;72876.615;6664986.88;2684.755;3137.385;845406.71;105675.395;2113507.9;100.5
DADCA-LKH;8;50;10.552803050000009;0.0005005833333333329;4815.03;74214.66;185281.92;2230.44;2680.01;861970.8;107745.9;2154918.0;100.5
DADCA-LKH;8;80;8.102608939393939;0.001054882154882155;5925.878787878788;91567.62626262626;6963670.98989899;1396.5959595959596;1845.6161616161617;1026244.2727272727;128280.11111111111;2565602.222222222;100.44444444444444
DADCA-LKH;8;160;5.276558324873096;0.0010303722504230127;8525.41116751269;126014.8883248731;7340613.319796954;4222.593908629442;4675.705583756345;1269153.187817259;158643.71065989847;3172874.2131979694;100.35532994923858
DADCA-LKH;8;250;3.890237653061223;0.000627976190476191;11432.081632653062;155522.1581632653;421695.8775510204;2027.75;2476.3571428571427;1386692.8520408163;173336.1530612245;3466723.06122449;99.95408163265306
DADCA-LKH;8;320;3.2330039285714296;0.0009914965986394584;13729.755102040815;174811.54081632654;-14981335.510204082;8236.204081632653;8691.484693877552;1394547.6734693877;174318.01530612246;3486360.3061224488;99.95408163265306
DADCA-LKH;8;500;2.2535011224489803;0.0006094387755102042;18788.51530612245;217040.17857142858;1041221.387755102;5259.8622448979595;5712.2704081632655;1371736.2959183673;171466.5969387755;3429331.93877551;99.95408163265306
DADCA-LKH;16;16;36.65822284999999;0.0009882500000000002;2621.085;45286.575;6600140.6;13907.72;17476.61;2095703.81;130981.005;2619620.1;100.5
DADCA-LKH;16;32;26.127917999999994;0.0010537499999999998;3555.85;61220.29;6847299.68;10616.305;14095.63;2909753.605;181859.14;3637182.8;100.5
DADCA-LKH;16;48;21.173770399999988;0.0010026666666666678;4221.335;72876.615;7236829.36;15816.95;19364.295;3437347.16;214833.745;4296674.9;100.5
DADCA-LKH;16;50;20.77066240000001;0.0005228333333333328;4331.155;74214.66;835401.88;10255.87;13732.585;3524418.045;220275.685;4405513.7;100.5
DADCA-LKH;16;80;15.929571363636372;0.0011290404040404046;5424.10101010101;91567.62626262626;7547335.757575758;10834.671717171717;14341.752525252525;4181613.5505050505;261350.34848484848;5227006.96969697;100.44444444444444
DADCA-LKH;16;160;10.30604497461929;0.0010642978003384102;7676.868020304569;126014.8883248731;7920107.979695432;23395.46700507614;26789.65989847716;5050833.005076142;315676.61421319796;6313532.284263959;100.35532994923858
DADCA-LKH;16;250;7.563464489795914;0.0006204931972789123;9900.076530612245;155522.1581632653;255583.10204081633;12545.377551020409;15830.295918367347;5569799.204081632;348111.9846938776;6962239.693877551;99.95408163265306
DADCA-LKH;16;320;6.276832448979594;0.0009930272108843565;11464.581632653062;174811.54081632654;-14757388.285714285;17153.882653061224;20431.70918367347;5651113.510204081;353194.1224489796;7063882.448979592;99.95408163265306
DADCA-LKH;16;500;4.313907551020409;0.0006092687074829932;15785.5;217040.17857142858;964774.4489795918;13054.010204081633;16403.464285714286;5633210.9132653065;352075.1887755102;7041503.775510204;99.95408163265306
DADCA-LKH-Cut;2;16;4.566322049999999;0.0009398333333333328;3541.03;46857.9;6310973.88;98.325;109.96;8667.65;4333.585;86671.7;100.5
DADCA-LKH-Cut;2;32;3.3674699499999985;0.0009676666666666673;4094.87;62318.905;6567966.16;70.74;82.445;12569.62;6284.52;125690.4;100.5
DADCA-LKH-Cut;2;48;2.7844360999999997;0.0010822500000000007;4705.955;73830.785;6980409.16;57.42;68.89;15405.69;7702.615;154052.3;100.5
DADCA-LKH-Cut;2;50;2.7248632499999985;0.0005535833333333331;4768.8;75244.52;377131.36;56.12;67.465;15649.69;7824.635;156492.7;100.5
DADCA-LKH-Cut;2;80;2.1467828282828285;0.001125000000000001;5690.186868686868;92370.57070707071;7264245.97979798;43.23232323232323;53.77272727272727;19451.449494949495;9725.494949494949;194509.898989899;100.44444444444444
DADCA-LKH-Cut;2;160;1.4571855837563443;0.0011032148900169206;7480.456852791878;126573.538071066;7716649.055837563;397.02030456852793;407.3756345177665;24860.451776649745;12430.0;248600.0;100.35532994923858
DADCA-LKH-Cut;2;250;1.1107728061224489;0.0007210884353741499;9070.75;156051.36224489796;654488.1632653062;20.403061224489797;30.872448979591837;27750.571428571428;13875.030612244898;277500.612244898;99.95408163265306
DADCA-LKH-Cut;2;320;0.9490233673469386;0.0010323979591836765;10188.887755102041;175263.54081632654;-14599173.591836736;17.403061224489797;27.831632653061224;29428.377551020407;14713.948979591836;294278.97959183675;99.95408163265306
DADCA-LKH-Cut;2;500;0.6989140816326531;0.0006999999999999991;13051.234693877552;217407.2857142857;1249756.4897959183;11.520408163265307;22.346938775510203;29569.69387755102;14784.591836734693;295691.8367346939;99.95408163265306
