Strategy;nUAV;nPOIs;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;mapName
DADCA-LKH;2;16;4.8446549999999995;0.0008500000000000001;3911.5;45432.5;6501844.0;105.0;110.0;19213.0;9606.5;192130.0;100.5
DADCA-LKH;2;32;3.46882;0.0008666666666666667;5916.5;61530.0;6501960.0;73.0;79.0;26358.0;13178.5;263570.0;100.5
DADCA-LKH;2;48;2.85916;0.0009166666666666668;6877.5;72867.0;7151876.0;61.0;66.0;31579.0;15789.5;315790.0;100.5
DADCA-LKH;2;50;2.7907450000000003;0.00048333333333333334;6999.0;74346.5;0.0;59.0;64.0;32181.0;16090.0;321800.0;100.5
DADCA-LKH;2;80;2.17988;0.0009666666666666667;8495.0;91772.5;7152144.0;45.0;50.0;38920.5;19460.0;389200.0;100.5
DADCA-LKH;2;160;1.47358;0.0009666666666666667;11559.0;126042.0;7802256.0;29.0;34.0;49127.0;24563.0;491260.0;100.0
DADCA-LKH;2;250;1.1227;0.0006166666666666667;14457.5;155511.5;650124.0;21.0;27.0;54259.5;27129.5;542590.0;99.5
DADCA-LKH;2;320;0.9577;0.0009333333333333333;16515.5;174876.0;-14758004.0;18.5;24.0;54952.0;27475.5;549510.0;99.5
DADCA-LKH;2;500;0.7045650000000001;0.0006083333333333333;21753.0;216979.0;975360.0;13.0;18.0;62857.0;31428.0;628560.0;99.5
DADCA-LKH;4;16;9.410025000000001;0.00115;3466.5;45432.5;7802384.0;609.0;665.0;114119.0;28529.0;570580.0;100.5
DADCA-LKH;4;32;6.71366;0.0013833333333333334;4853.0;61530.0;8452056.0;431.0;486.0;155859.0;38964.0;779280.0;100.5
DADCA-LKH;4;48;5.4859100000000005;0.001816666666666667;5931.0;72867.0;9102472.0;347.0;402.0;185033.0;46258.0;925160.0;100.5
DADCA-LKH;4;50;5.3524899999999995;0.0010166666666666668;6046.5;74346.5;1300376.0;341.5;396.5;188833.0;47208.0;944160.0;100.5
DADCA-LKH;4;80;4.14958;0.0030166666666666666;7597.5;91772.5;9752980.0;265.0;318.0;226430.0;56607.0;1132140.0;100.5
DADCA-LKH;4;160;2.7450799999999997;0.014483333333333334;10848.0;126042.0;-11590104.0;169.0;225.0;279424.0;69856.0;1397120.0;100.0
DADCA-LKH;4;250;2.04533;0.040150000000000005;14096.0;155511.5;-12747956.0;125.0;178.0;308662.0;77165.0;1543300.0;99.5
DADCA-LKH;4;320;1.721625;0.06771666666666668;16487.5;174876.0;3724108.0;101.0;156.0;313493.5;78373.0;1567460.0;99.5
DADCA-LKH;4;500;1.2231400000000001;0.184475;23200.0;216979.0;10966872.0;70.0;126.0;315392.5;78848.0;1576960.0;99.5
DADCA-LKH;8;16;18.45438;0.0008833333333333334;2957.5;45432.5;5851896.0;2837.5;3312.0;512162.0;64019.5;1280390.0;100.5
DADCA-LKH;8;32;13.135185;0.0009166666666666668;3982.0;61530.0;6501608.0;2004.5;2453.5;712736.5;89091.5;1781830.0;100.5
DADCA-LKH;8;48;10.756115000000001;0.0009166666666666668;4713.0;72867.0;6502156.0;1622.5;2076.5;842957.5;105369.0;2107380.0;100.5
DADCA-LKH;8;50;10.506115;0.00048333333333333334;4799.0;74346.5;0.0;1592.0;2038.0;862439.5;107804.5;2156090.0;100.5
DADCA-LKH;8;80;8.067575;0.00095;5921.5;91772.5;7152064.0;1214.5;1661.5;1025668.0;128208.5;2564170.0;100.5
