;Strategy;mapName;nPOIs;nUAV;SucessTax;pathTime;globalAvgDelay;tourSize;memory;validRVZ;totRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy
0;TSP-based;1;50;4;5.08935;0.00055;4014;78.269;1300456;0;0;0;0;0.0
1;TSP-based;2;50;4;5.42145;0.0005666666666666667;4359;74.051;1300376;0;0;0;0;0.0
2;DADCA-LKH;1;50;4;5.17199;0.00046666666666666666;6319;76.794;1300360;327;380;185244;46311;926220.0
3;TSP-based;3;50;4;4.84776;0.0005333333333333334;4423;81.936;1300464;0;0;0;0;0.0
4;DADCA-LKH-Cut;1;50;4;5.12616;0.0005166666666666667;5064;76.516;1300520;314;430;95744;23936;478720.0
5;FPPWR;1;50;4;1.48981;0.0008666666666666667;10136;222.42600000000002;650176;0;0;0;0;0.0
6;TSP-based;4;50;4;5.34344;0.0006666666666666668;4336;75.836;1300512;0;0;0;0;0.0
7;DADCA-LKH;2;50;4;5.51335;0.0005;5282;72.057;1300224;380;451;175646;43911;878220.0
8;DADCA-NSN;1;50;4;4.70421;0.00045000000000000004;6086;84.44500000000001;0;301;377;131228;32807;656140.0
9;DADCA-Parted-NSN;1;50;4;4.29838;0.00036666666666666667;3953;90.292;0;261;380;61696;15424;308480.0
10;TSP-based;5;50;4;5.11184;0.0007;4340;78.278;1300512;0;0;0;0;0.0
11;FPPWR;2;50;4;1.57666;0.0007666666666666667;12398;218.74200000000002;650112;0;0;0;0;0.0
12;DADCA-LKH-Cut;2;50;4;5.424919999999999;0.0005166666666666667;2555;72.632;1300520;334;436;85505;21376;427520.0
13;DADCA-NSN;2;50;4;5.12195;0.00045000000000000004;6029;79.607;0;313;378;164360;41090;821800.0
14;DADCA-Parted-NSN;2;50;4;4.60694;0.00048333333333333334;3235;86.903;0;284;396;67253;16813;336260.0
15;TSP-based;6;50;4;5.36435;0.0008833333333333334;3613;74.56700000000001;1316776;0;0;0;0;0.0
16;DADCA-LKH;3;50;4;4.9836;0.0005166666666666667;6488;79.33500000000001;650112;319;373;180254;45063;901260.0
17;TSP-based;7;50;4;5.1776599999999995;0.0006000000000000001;4043;77.226;1300432;0;0;0;0;0.0
18;DADCA-LKH-Cut;3;50;4;4.926;0.00046666666666666666;3316;79.47;1300384;312;415;86046;21511;430220.0
19;TSP-based;8;50;4;5.772880000000001;0.0005833333333333334;3667;69.753;1300520;0;0;0;0;0.0
20;FPPWR;1;50;4;1.49433;0.0005333333333333334;10147;222.42600000000002;650176;0;0;0;0;0.0
21;DADCA-LKH;4;50;4;5.63399;0.0005;6026;70.782;1300224;358;413;193525;48381;967620.0
22;TSP-based;9;50;4;5.61262;0.0005333333333333334;3744;71.586;1300400;0;0;0;0;0.0
23;DADCA-NSN;1;50;4;4.707990000000001;0.00036666666666666667;6065;84.44500000000001;0;285;340;131325;32831;656620.0
24;DADCA-LKH-Cut;4;50;4;5.33368;0.0006666666666666668;3011;73.809;1300384;342;444;87298;21824;436480.0
25;DADCA-Parted-NSN;1;50;4;4.28515;0.00035;5960;90.292;0;259;376;61355;15338;306760.0
26;TSP-based;10;50;4;5.30764;0.0009333333333333333;4203;75.524;1300536;0;0;0;0;0.0
27;FPPWR;2;50;4;1.57554;0.0005333333333333334;12394;218.74200000000002;650112;0;0;0;0;0.0
28;DADCA-LKH;5;50;4;5.08985;0.0005166666666666667;6104;78.045;650112;335;389;162788;40697;813940.0
29;TSP-based;11;50;4;5.37863;0.0005333333333333334;4312;74.49;1308584;0;0;0;0;0.0
30;DADCA-NSN;2;50;4;5.1223;0.00038333333333333334;6029;79.607;0;315;370;163985;40996;819920.0
31;DADCA-LKH-Cut;5;50;4;5.14807;0.0008166666666666667;16975;76.407;1300496;331;439;89167;22291;445820.0
32;DADCA-Parted-NSN;2;50;4;4.59888;0.00035;3297;86.903;0;278;388;70214;17553;351060.0
33;TSP-based;12;50;4;5.31566;0.0007;3735;75.44500000000001;1300648;0;0;0;0;0.0
34;FPPWR;3;50;4;1.66474;0.00055;11242;212.555;650112;0;0;0;0;0.0
35;DADCA-LKH;6;50;4;5.56674;0.00048333333333333334;5504;71.70100000000001;1316784;357;411;181529;45382;907640.0
36;TSP-based;13;50;4;5.25621;0.0008500000000000001;4073;76.254;1300424;0;0;0;0;0.0
37;DADCA-NSN;3;50;4;4.47909;0.00038333333333333334;6647;89.631;0;275;343;141500;35375;707500.0
38;DADCA-LKH-Cut;6;50;4;5.4229199999999995;0.0006666666666666668;2608;72.798;1316784;330;432;93118;23279;465580.0
39;DADCA-Parted-NSN;3;50;4;4.24695;0.00036666666666666667;3717;93.691;0;248;368;71024;17756;355120.0
40;TSP-based;14;50;4;5.21061;0.001;3729;76.65;1300376;0;0;0;0;0.0
41;FPPWR;4;50;4;1.72002;0.00055;11228;203.08100000000002;650136;0;0;0;0;0.0
42;DADCA-LKH;7;50;4;5.34008;0.0005666666666666667;6010;74.652;1301264;341;394;186229;46557;931140.0
43;TSP-based;15;50;4;5.597569999999999;0.0007833333333333334;3884;71.998;1300376;0;0;0;0;0.0
44;DADCA-NSN;4;50;4;5.06813;0.00036666666666666667;6342;80.114;0;321;377;164270;41067;821340.0
45;DADCA-LKH-Cut;7;50;4;5.29248;0.0005166666666666667;4312;74.264;1300384;339;440;97070;24267;485340.0
46;DADCA-Parted-NSN;4;50;4;4.3333699999999995;0.00035;3544;90.60300000000001;0;256;358;70563;17640;352800.0
47;TSP-based;16;50;4;5.48283;0.0009666666666666667;3897;73.138;1300472;0;0;0;0;0.0
48;FPPWR;5;50;4;1.80729;0.0005333333333333334;10357;195.737;650136;0;0;0;0;0.0
49;DADCA-LKH;8;50;4;6.07191;0.00045000000000000004;5662;65.924;1300840;393;446;217292;54323;1086460.0
50;TSP-based;17;50;4;5.2988800000000005;0.0006333333333333334;3944;75.706;1300424;0;0;0;0;0.0
51;DADCA-NSN;5;50;4;5.10945;0.00038333333333333334;5812;78.526;0;311;367;151920;37980;759600.0
52;DADCA-LKH-Cut;8;50;4;5.67596;0.0005166666666666667;19981;69.244;1301000;355;465;100418;25104;502080.0
53;DADCA-Parted-NSN;5;50;4;4.6243099999999995;0.00035;7245;85.679;0;280;402;79834;19958;399160.0
54;TSP-based;18;50;4;5.44911;0.0006166666666666667;3915;73.709;1300512;0;0;0;0;0.0
55;FPPWR;6;50;4;1.4925899999999999;0.0005666666666666667;10960;224.32;650136;0;0;0;0;0.0
56;DADCA-LKH;9;50;4;5.66119;0.0005166666666666667;5856;70.666;1300376;355;409;197513;49378;987560.0
57;TSP-based;19;50;4;5.205019999999999;0.0008666666666666667;4163;76.849;1300512;0;0;0;0;0.0
58;DADCA-NSN;6;50;4;4.49506;0.00045000000000000004;6285;87.955;0;293;368;119719;29929;598580.0
59;TSP-based;20;50;4;4.96169;0.0007;4486;80.528;1317816;0;0;0;0;0.0
60;DADCA-LKH-Cut;9;50;4;5.51204;0.0005166666666666667;4737;71.259;1300536;354;464;107772;26943;538860.0
61;DADCA-Parted-NSN;6;50;4;4.9821800000000005;0.00036666666666666667;2929;79.381;0;300;402;81073;20268;405360.0
62;FPPWR;7;50;4;1.41381;0.0006833333333333333;11820;230.053;650136;0;0;0;0;0.0
63;TSP-based;21;50;4;5.38237;0.00055;3698;74.361;1300400;0;0;0;0;0.0
64;DADCA-LKH;10;50;4;5.38657;0.00055;6041;73.758;1300224;366;445;182098;45524;910480.0
65;DADCA-NSN;7;50;4;4.77346;0.00036666666666666667;6749;84.028;0;336;389;158357;39589;791780.0
66;TSP-based;22;50;4;4.83194;0.0007;4428;82.266;1300376;0;0;0;0;0.0
