;;;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;memory;memory;memory;memory;memory;memory;memory;memory;validRVZ;validRVZ;validRVZ;validRVZ;validRVZ;validRVZ;validRVZ;validRVZ;totRVZ;totRVZ;totRVZ;totRVZ;totRVZ;totRVZ;totRVZ;totRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZ;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVs;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;msgsRVZbyUAVsXEnergy;mapName;mapName;mapName;mapName;mapName;mapName;mapName;mapName
;;;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max
Strategy;nUAV;nPOIs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DADCA-LKH;2;16;200.0;4.8951287500000005;0.4722912894957999;4.00427;4.5437875;4.8446549999999995;5.2064325;6.10581;200.0;0.0009085833333333332;0.00018624516826592022;0.0006666666666666668;0.0007833333333333334;0.0008500000000000001;0.0009833333333333335;0.0016666666666666668;200.0;3997.355;612.3382066896197;2817.0;3525.5;3911.5;4515.75;5346.0;200.0;45286.575;4243.858494220778;36214.0;42239.75;45432.5;48367.75;55245.0;200.0;6281685.72;383451.8797785849;5201544.0;5851816.0;6501844.0;6502088.0;7168784.0;200.0;105.59;11.3523689777524;83.0;97.0;105.0;113.0;149.0;200.0;110.88;11.69355790520627;88.0;102.0;110.0;118.0;159.0;200.0;19431.515;3253.1674753829457;9573.0;17492.0;19213.0;21170.25;29342.0;200.0;9715.525;1626.5680179321741;4786.0;8746.0;9606.5;10584.75;14671.0;200.0;194310.5;32531.360358643466;95720.0;174920.0;192130.0;211695.0;293420.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH;2;32;200.0;3.4987994000000016;0.2031860156665617;3.05302;3.36619;3.46882;3.6113825000000004;4.20555;200.0;0.0009233333333333335;0.00019044747330782723;0.0007;0.0008166666666666667;0.0008666666666666667;0.0009375;0.0018666666666666666;200.0;5901.025;361.6832846107685;4401.0;5695.0;5916.5;6093.0;6899.0;200.0;61220.29;3407.7129609196986;50911.0;59225.0;61530.0;63272.0;69524.0;200.0;6532041.32;457380.60308457306;5851176.0;6501596.0;6501960.0;7151884.0;7163328.0;200.0;74.735;5.510590534616141;63.0;71.0;73.0;77.0;103.0;200.0;79.975;5.633208694962843;68.0;76.0;79.0;83.0;109.0;200.0;26630.045;2133.8397393292453;21975.0;24928.5;26358.0;27874.5;33428.0;200.0;13314.745;1066.9308681268008;10987.0;12463.75;13178.5;13937.25;16714.0;200.0;266294.9;21338.61736253599;219740.0;249275.0;263570.0;278745.0;334280.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH;2;48;200.0;2.8643587000000004;0.12911321545969537;2.5190099999999997;2.78664;2.85916;2.941955;3.30544;200.0;0.0009890833333333344;0.00020802303524789396;0.0007;0.0008666666666666667;0.0009166666666666668;0.0010333333333333334;0.0018000000000000002;200.0;6873.42;339.9968128730314;5983.0;6675.5;6877.5;7068.25;7939.0;200.0;72876.615;3226.4136906620424;63056.0;70883.5;72867.0;74856.5;82712.0;200.0;6918510.64;380814.0028945276;5851816.0;6501890.0;7151876.0;7152144.0;7819024.0;200.0;61.085;5.861703921584718;53.0;58.75;61.0;63.0;117.0;200.0;66.385;6.013951534999811;58.0;64.0;66.0;68.0;122.0;200.0;31682.09;2133.7862146779717;26921.0;30222.0;31579.0;32953.0;37875.0;200.0;15840.795;1066.8649808724908;13460.0;15111.0;15789.5;16476.0;18937.0;200.0;316815.9;21337.299617449786;269200.0;302220.0;315790.0;329520.0;378740.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH;2;50;200.0;2.8041669000000007;0.12261971569767605;2.5129599999999996;2.72927;2.7907450000000003;2.8733;3.26269;200.0;0.0005080833333333328;0.00010146852344790442;0.00038333333333333334;0.00043333333333333337;0.00048333333333333334;0.00055;0.0009666666666666667;200.0;7000.915;341.3705420947306;6068.0;6797.25;6999.0;7231.25;7903.0;200.0;74214.66;3161.3443270499424;63903.0;72438.25;74346.5;76198.25;82727.0;200.0;224305.04;383379.8817491193;0.0;0.0;0.0;650144.0;1300544.0;200.0;59.31;3.9167081861016166;53.0;57.0;59.0;61.0;89.0;200.0;64.485;3.974766514428372;58.0;62.0;64.0;66.0;94.0;200.0;32319.055;2163.7534208653565;27025.0;30829.25;32181.0;33694.0;38193.0;200.0;16159.28;1081.8521674243684;13512.0;15414.25;16090.0;16847.0;19096.0;200.0;323185.6;21637.043348487383;270240.0;308285.0;321800.0;336940.0;381920.0;200.0;100.5;57.879184513951124;1.0;50.75;100.5;150.25;200.0
DADCA-LKH;2;80;198.0;2.1895335353535375;0.07182699949512969;2.0093099999999997;2.1431750000000003;2.17988;2.22978;2.43193;198.0;0.0010791245791245793;0.0002499051532923939;0.0007333333333333333;0.0008833333333333334;0.0009666666666666667;0.0012666666666666668;0.001966666666666667;198.0;8483.924242424242;328.62920848306356;7565.0;8287.5;8495.0;8695.0;9735.0;198.0;91567.62626262626;2923.4518071533853;82173.0;89716.25;91772.5;93569.25;99523.0;198.0;7218199.191919192;458693.9756951678;6501608.0;7151884.0;7152144.0;7802230.0;7818632.0;198.0;45.95454545454545;2.579291711192421;41.0;45.0;45.0;47.0;53.0;198.0;51.217171717171716;2.9390264075320336;46.0;50.0;50.0;52.0;65.0;198.0;38914.979797979795;2192.256158750535;31989.0;37365.0;38920.5;40283.75;45291.0;198.0;19457.222222222223;1096.109910154171;15994.0;18682.0;19460.0;20141.5;22645.0;198.0;389144.44444444444;21922.19820308341;319880.0;373640.0;389200.0;402830.0;452900.0;198.0;100.44444444444444;57.86501397282797;1.0;51.25;100.5;149.75;200.0
DADCA-LKH;2;160;197.0;1.476935228426396;0.03276290992741398;1.38285;1.45515;1.47358;1.5003;1.56141;197.0;0.001051438240270729;0.0002062086658743876;0.0007833333333333334;0.0009000000000000001;0.0009666666666666667;0.0012000000000000001;0.0017000000000000001;197.0;11640.72081218274;475.50960657193264;10906.0;11353.0;11559.0;11877.0;14749.0;197.0;126014.8883248731;2726.918178598537;119240.0;124121.0;126042.0;128018.0;134082.0;197.0;7641340.954314721;462023.9117191978;6501792.0;7152224.0;7802256.0;7802712.0;8469136.0;197.0;30.253807106598984;2.608179485370674;27.0;29.0;29.0;31.0;49.0;197.0;35.63451776649746;3.4372548366658457;32.0;34.0;34.0;36.0;62.0;197.0;49145.8730964467;2483.9354861025363;42690.0;47727.0;49127.0;50680.0;61180.0;197.0;24572.69035532995;1241.994750292224;21345.0;23863.0;24563.0;25340.0;30590.0;197.0;491453.807106599;24839.89500584448;426900.0;477260.0;491260.0;506800.0;611800.0;197.0;100.35532994923858;57.99881802558625;1.0;51.0;100.0;150.0;200.0
DADCA-LKH;2;250;196.0;1.1226160714285716;0.01963395291456313;1.07073;1.1107875;1.1227;1.1333575;1.18424;196.0;0.0006180272108843538;9.428614595182444e-05;0.00043333333333333337;0.00055;0.0006166666666666667;0.0006708333333333334;0.0009166666666666668;196.0;14510.841836734693;455.6673218362597;13582.0;14288.0;14457.5;14628.25;17826.0;196.0;155522.1581632653;2621.759074867668;147536.0;154140.5;155511.5;157183.25;162851.0;196.0;651170.5306122449;3464.5521150694717;650112.0;650112.0;650124.0;650248.0;666536.0;196.0;22.25;1.7697602329274105;21.0;21.0;21.0;23.0;35.0;196.0;27.474489795918366;2.0391959815518925;26.0;26.0;27.0;28.0;44.0;196.0;54441.17346938775;2030.2721506368284;49674.0;53104.25;54259.5;55361.25;62794.0;196.0;27220.326530612245;1015.1566232626645;24837.0;26552.0;27129.5;27680.25;31397.0;196.0;544406.5306122449;20303.132465253293;496740.0;531040.0;542590.0;553605.0;627940.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
DADCA-LKH;2;320;196.0;0.95788275510204;0.01476735886186498;0.9232600000000001;0.947915;0.9577;0.9670325000000002;1.00911;196.0;0.0009960034013605469;0.00013916585849520566;0.0008500000000000001;0.0009000000000000001;0.0009333333333333333;0.0010416666666666669;0.0014;196.0;16620.75;608.2032080708653;15664.0;16369.0;16515.5;16711.5;20902.0;196.0;174811.54081632654;2589.651681036412;166543.0;173188.0;174876.0;176513.25;181066.0;196.0;-14742514.163265307;454145.1484789733;-15798640.0;-15111990.0;-14758004.0;-14376826.0;-13918048.0;196.0;18.70408163265306;3.8436339207030166;17.0;17.0;18.5;19.0;63.0;196.0;24.040816326530614;4.135942189118717;22.0;22.0;24.0;24.0;69.0;196.0;55857.086734693876;3294.7242828696335;50711.0;53792.75;54952.0;56448.5;71981.0;196.0;27928.26020408163;1647.382984023202;25355.0;26896.0;27475.5;28223.75;35990.0;196.0;558565.2040816327;32947.65968046403;507100.0;537920.0;549510.0;564475.0;719800.0;196.0;99.95408163265306;57.87256498658614;1.0;50.75;99.5;149.25;200.0
