Strategy;nUAV;nPOIs;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;2;20;3.72129;10.0;3750000.0;3000.0;34.0;4.0;3665850.0;3420205.0;378.0
KingstonImprovedOverNSNMobility;4;20;8.146435;10.0;3750000.0;3000.0;40.0;4.0;3610227.5;3077150.0;378.0
KingstonImprovedOverNSNMobility;8;20;16.1346;10.0;3750000.0;3000.0;53.5;4.0;3464247.5;2686280.0;378.0
KingstonImprovedOverNSNMobility;16;20;31.938785;10.0;3750000.0;3000.0;76.5;4.0;3210410.0;1582802.5;378.0
TSPbasedMobility;2;20;3.432035;10.0;3750000.0;3000.0;47.0;4.0;3614225.0;3600547.5;705.0
TSPbasedMobility;4;20;6.88568;10.0;3750000.0;3000.0;53.0;4.0;3482617.5;3471105.0;483.0
TSPbasedMobility;8;20;13.581165;10.0;3750000.0;3000.0;60.5;4.0;3222607.5;3164987.5;509.5
TSPbasedMobility;16;20;26.462845;10.0;3750000.0;3000.0;77.0;4.0;2722090.0;2289280.0;905.0
ZigZagOverNSNMobility;2;20;3.84912;10.0;3750000.0;3000.0;33.0;4.0;3661765.0;3542890.0;378.0
ZigZagOverNSNMobility;4;20;7.69892;10.0;3750000.0;3000.0;38.0;4.0;3586955.0;3334195.0;378.0
ZigZagOverNSNMobility;8;20;15.56327;10.0;3750000.0;3000.0;47.0;4.0;3393305.0;2925870.0;378.0
ZigZagOverNSNMobility;16;20;29.63137;10.0;3750000.0;3000.0;61.0;4.0;3149610.0;2180440.0;378.0
