Strategy;nUAV;nPOIs;;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
FPPWRMobility;2;20;count;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
FPPWRMobility;2;20;mean;2.30661266667;71.0;259200.0;12649.0;3392.33333333;1.0;253756.0;252376.5;3085.56666667;683.5;22124.6;90161.9333333;0.889897105449;2.65647913235;15.5
FPPWRMobility;2;20;std;0.349350499128;0.0;0.0;0.0;116.537498282;0.0;860.697792291;1294.1733815;328.911232479;172.715582429;3339.65863009;12832.8279973;0.134780480898;0.750015492912;8.80340843083
FPPWRMobility;2;20;min;1.69039;71.0;259200.0;12649.0;3222.0;1.0;251740.0;248330.0;2585.0;63.0;16182.0;69834.0;0.652157993256;1.38526188345;1.0
FPPWRMobility;2;20;25%;2.06725;71.0;259200.0;12649.0;3290.75;1.0;253106.25;251920.0;2812.75;621.5;19814.75;81059.75;0.797550228743;2.14175455243;8.25
FPPWRMobility;2;20;50%;2.29302;71.0;259200.0;12649.0;3385.5;1.0;253997.5;252735.0;3090.5;709.5;21835.5;89509.5;0.884651610844;2.5619525526;15.5
FPPWRMobility;2;20;75%;2.5617975;71.0;259200.0;12649.0;3462.0;1.0;254198.75;253348.75;3353.75;801.75;24801.75;96561.5;0.988349048235;3.16042426215;22.75
FPPWRMobility;2;20;max;3.14207;71.0;259200.0;12649.0;3643.0;1.0;255330.0;254120.0;3738.0;876.0;30077.0;122027.0;1.21221904292;4.49934381427;30.0
FPPWRMobility;2;800;count;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0
FPPWRMobility;2;800;mean;0.224748333333;71.0;259200.0;12649.0;109682.566667;1.0;258951.666667;258125.833333;26463.9666667;113.466666667;69791.9666667;559671.0;0.0867084041332;0.0401640440876;15.5
FPPWRMobility;2;800;std;0.00261364731723;0.0;0.0;0.0;4997.17243969;0.0;11.167481528;58.162722588;2870.80050693;97.1673754435;2860.36899577;5244.94371292;0.0010084397188;0.000809733372033;8.80340843083
FPPWRMobility;2;800;min;0.22006;71.0;259200.0;12649.0;99991.0;1.0;258935.0;257910.0;16380.0;4.0;63993.0;545987.0;0.0849003581771;0.0389029834452;1.0
FPPWRMobility;2;800;25%;0.22374;71.0;259200.0;12649.0;107739.0;1.0;258945.0;258096.25;26103.75;36.75;70442.25;557909.5;0.0863190232172;0.0397288878871;8.25
FPPWRMobility;2;800;50%;0.2242;71.0;259200.0;12649.0;109854.5;1.0;258950.0;258135.0;27593.5;90.5;70942.5;560271.5;0.0864976354714;0.0400642404009;15.5
FPPWRMobility;2;800;75%;0.2253825;71.0;259200.0;12649.0;112829.25;1.0;258960.0;258168.75;27764.75;162.0;71123.5;563099.25;0.0869525385564;0.0402579674894;22.75
FPPWRMobility;2;800;max;0.23313;71.0;259200.0;12649.0;118930.0;1.0;258975.0;258205.0;28145.0;395.0;73183.0;566479.0;0.0899433635426;0.0426980751611;30.0
