Strategy;nUAV;nPOIs;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;nMsgs;tourSize;mapa
FPPWRMobility;1;20;0.7233555;71.0;360000.0;30000.0;4080.32;1.0;357627.25;357019.95;6174.39;9618.52;205170.24;50.5
FPPWRMobility;2;20;1.2483209;71.0;360000.0;30000.0;4425.02;1.0;355852.7;354914.55;6178.75;16554.56;205170.24;50.5
FPPWRMobility;2;40;0.5596409;71.0;360000.0;30000.0;7277.67;1.0;358231.95;357521.9;11160.71;14484.59;402511.52;50.5
FPPWRMobility;3;60;0.3904209;71.0;360000.0;30000.0;10965.92;1.0;358821.7;358154.1;16121.28;14758.83;596145.33;50.5
FPPWRMobility;4;40;0.9071568;71.0;360000.0;30000.0;8512.85;1.0;357107.4;356000.5;11158.43;23242.04;402511.52;50.5
FPPWRMobility;4;80;0.3023827;71.0;360000.0;30000.0;15228.59;1.0;359115.5;358490.65;20913.49;15011.72;781613.8;50.5
FPPWRMobility;5;20;2.8173087;71.0;360000.0;30000.0;5808.44;1.0;350516.4;348598.95;6173.43;37279.51;205170.24;50.5
FPPWRMobility;5;100;0.2428349;71.0;360000.0;30000.0;19608.33;1.0;359329.0;358738.1;25832.64;14725.1;976427.19;50.5
FPPWRMobility;6;60;0.6316473;71.0;360000.0;30000.0;13910.85;1.0;358072.2;357023.7;16113.11;23576.96;596145.33;50.5
FPPWRMobility;8;80;0.4916419;71.0;360000.0;30000.0;20536.7;1.0;358547.75;357544.85;20913.58;23825.3;781613.8;50.5
FPPWRMobility;10;20;5.4346239;71.0;360000.0;30000.0;9497.81;1.0;341589.3;338128.7;6175.65;71838.67;205170.24;50.5
FPPWRMobility;10;40;1.970112;71.0;360000.0;30000.0;14870.4;1.0;353628.0;351372.8;11158.89;50289.49;402511.52;50.5
FPPWRMobility;10;100;0.3948621;71.0;360000.0;30000.0;28545.45;1.0;358891.6;357934.2;25829.21;23381.94;976427.19;50.5
FPPWRMobility;15;60;1.3671385;71.0;360000.0;30000.0;30048.93;1.0;355739.6;353566.55;16120.31;50807.77;596145.33;50.5
FPPWRMobility;20;40;3.7433922;71.0;360000.0;30000.0;34024.26;1.0;347812.25;343614.65;11160.83;95329.49;402511.52;50.5
FPPWRMobility;20;80;1.0643309;71.0;360000.0;30000.0;57070.7;1.0;356798.7;354684.65;20915.74;51602.54;781613.8;50.5
FPPWRMobility;25;100;0.8543524;71.0;360000.0;30000.0;96159.65;1.0;357534.55;355570.45;25822.9;50097.3;976427.19;50.5
FPPWRMobility;30;60;2.5982818;71.0;360000.0;30000.0;96271.04;1.0;351845.5;347773.8;16119.54;96355.1;596145.33;50.5
FPPWRMobility;40;80;2.0230987;71.0;360000.0;30000.0;207159.66;1.0;353867.7;349903.3;20921.04;97210.34;781613.8;50.5
FPPWRMobility;50;100;1.6238068;71.0;360000.0;30000.0;367491.87;1.0;355254.8;351577.15;25823.55;94698.55;976427.19;50.5
ZigZagOverNSN;1;20;1.6441993;71.0;360000.0;30000.0;4273.51;1.0;357078.6;352053.75;5180.75;21964.99;97941.5;50.5
ZigZagOverNSN;2;20;3.0551316;71.0;360000.0;30000.0;4804.9;1.0;354525.9;345320.9;4011.89;40519.12;97941.5;50.5
ZigZagOverNSN;2;40;2.0236;71.0;360000.0;30000.0;7854.69;1.0;356342.05;350264.25;6045.7;53318.15;140227.51;50.5
ZigZagOverNSN;3;60;2.28783132353;71.0;360000.0;30000.0;11365.25;1.0;355890.588235;348907.279412;7585.60294118;88801.1470588;171100.191176;34.5
ZigZagOverNSN;4;40;3.8197107;71.0;360000.0;30000.0;9079.14;1.0;353062.05;341822.7;4981.33;99137.32;140227.51;50.5
ZigZagOverNSN;5;20;7.2563451;71.0;360000.0;30000.0;6521.63;1.0;346882.85;325604.95;3270.38;94142.37;97941.5;50.5
ZigZagOverNSN;6;60;4.34630147059;71.0;360000.0;30000.0;13672.5588235;1.0;352110.0;339253.823529;5600.60294118;166093.529412;171100.191176;34.5
ZigZagOverNSN;10;20;14.1522419;71.0;360000.0;30000.0;10723.66;1.0;334260.85;293563.65;2824.99;178081.14;97941.5;50.5
ZigZagOverNSN;10;40;9.156204;71.0;360000.0;30000.0;15526.43;1.0;343272.35;315597.55;3931.42;225755.94;140227.51;50.5
ZigZagOverNSN;15;60;10.4687595522;71.0;360000.0;30000.0;30383.0298507;1.0;340765.149254;310456.268657;4607.10447761;372479.238806;171279.791045;34.0
ZigZagOverNSN;20;40;17.9445632;71.0;360000.0;30000.0;31986.72;1.0;327054.3;277440.7;3559.69;415511.75;140227.51;50.5
ZigZagOverNSN;30;60;20.5375067164;71.0;360000.0;30000.0;75477.7313433;1.0;322210.746269;264504.328358;4123.1641791;658439.298507;171279.791045;34.0
