Strategy;nUAV;nPOIs;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;nMsgs;tourSize;mapa
FPPWRMobility;1;20;0.699305;71.0;360000.0;30000.0;4073.0;1.0;357725.0;357117.5;6134.0;9355.5;205948.0;50.5
FPPWRMobility;2;20;1.209135;71.0;360000.0;30000.0;4411.0;1.0;355980.0;355142.5;6104.5;16036.0;205948.0;50.5
FPPWRMobility;2;40;0.54861;71.0;360000.0;30000.0;7282.0;1.0;358257.5;357517.5;11197.5;14336.0;401820.0;50.5
FPPWRMobility;3;60;0.38272;71.0;360000.0;30000.0;10971.5;1.0;358857.5;358180.0;16099.0;14816.0;595527.5;50.5
FPPWRMobility;4;40;0.884445;71.0;360000.0;30000.0;8507.0;1.0;357157.5;355980.0;11189.5;22527.5;401820.0;50.5
FPPWRMobility;4;80;0.29478;71.0;360000.0;30000.0;15193.0;1.0;359135.0;358515.0;20837.5;14090.5;781821.5;50.5
FPPWRMobility;5;20;2.70809;71.0;360000.0;30000.0;5792.0;1.0;350920.0;349247.5;6123.5;35752.5;205948.0;50.5
FPPWRMobility;5;100;0.240435;71.0;360000.0;30000.0;19551.5;1.0;359312.5;358767.5;25839.0;14990.0;978710.5;50.5
FPPWRMobility;6;60;0.612455;71.0;360000.0;30000.0;13883.5;1.0;358117.5;357092.5;16049.5;23460.0;595527.5;50.5
FPPWRMobility;8;80;0.47722;71.0;360000.0;30000.0;20443.0;1.0;358600.0;357570.0;20893.0;23027.5;781821.5;50.5
FPPWRMobility;10;20;5.19545;71.0;360000.0;30000.0;9509.5;1.0;342380.0;339465.0;6121.0;68669.0;205948.0;50.5
FPPWRMobility;10;40;1.90281;71.0;360000.0;30000.0;14861.5;1.0;353912.5;351557.5;11215.0;48161.0;401820.0;50.5
FPPWRMobility;10;100;0.389685;71.0;360000.0;30000.0;28515.0;1.0;358857.5;357992.5;25780.5;24848.0;978710.5;50.5
FPPWRMobility;15;60;1.32816;71.0;360000.0;30000.0;30122.0;1.0;355822.5;353815.0;16119.0;49700.0;595527.5;50.5
FPPWRMobility;20;40;3.593335;71.0;360000.0;30000.0;33904.5;1.0;348350.0;343832.5;11198.5;91023.5;401820.0;50.5
FPPWRMobility;20;80;1.038065;71.0;360000.0;30000.0;57229.0;1.0;356855.0;354870.0;20906.5;48683.0;781821.5;50.5
FPPWRMobility;25;100;0.844625;71.0;360000.0;30000.0;95901.0;1.0;357542.5;355637.5;25882.5;49001.0;978710.5;50.5
FPPWRMobility;30;60;2.530495;71.0;360000.0;30000.0;96852.5;1.0;352057.5;348150.0;16110.0;93795.0;595527.5;50.5
FPPWRMobility;40;80;1.96916;71.0;360000.0;30000.0;207929.5;1.0;354040.0;350032.5;20919.0;93825.5;781821.5;50.5
FPPWRMobility;50;100;1.603095;71.0;360000.0;30000.0;366687.5;1.0;355270.0;351757.5;25854.0;93304.0;978710.5;50.5
ZigZagOverNSN;1;20;1.628645;71.0;360000.0;30000.0;4262.5;1.0;357105.0;352185.0;5179.5;21805.5;97977.5;50.5
ZigZagOverNSN;2;20;3.033785;71.0;360000.0;30000.0;4801.0;1.0;354515.0;345495.0;3987.0;39951.5;97977.5;50.5
ZigZagOverNSN;2;40;2.012815;71.0;360000.0;30000.0;7830.0;1.0;356367.5;350350.0;6024.0;52667.5;140375.5;50.5
ZigZagOverNSN;3;60;2.263055;71.0;360000.0;30000.0;11348.0;1.0;355907.5;349022.5;7682.0;89202.0;172953.5;34.5
ZigZagOverNSN;4;40;3.80443;71.0;360000.0;30000.0;9059.5;1.0;353182.5;342007.5;4930.0;99153.0;140375.5;50.5
ZigZagOverNSN;5;20;7.15236;71.0;360000.0;30000.0;6546.5;1.0;346997.5;326077.5;3276.5;93671.5;97977.5;50.5
ZigZagOverNSN;6;60;4.269295;71.0;360000.0;30000.0;13686.5;1.0;352222.5;339485.0;5484.0;163708.5;172953.5;34.5
ZigZagOverNSN;10;20;13.995975;71.0;360000.0;30000.0;10709.5;1.0;334525.0;294875.0;2789.5;177323.0;97977.5;50.5
ZigZagOverNSN;10;40;9.15118;71.0;360000.0;30000.0;15517.5;1.0;343585.0;316700.0;3938.0;224041.0;140375.5;50.5
ZigZagOverNSN;15;60;10.27294;71.0;360000.0;30000.0;30493.0;1.0;341160.0;311125.0;4633.0;368026.0;173483.0;34.0
ZigZagOverNSN;20;40;17.872775;71.0;360000.0;30000.0;31873.0;1.0;327620.0;277637.5;3554.0;412297.5;140375.5;50.5
ZigZagOverNSN;30;60;20.1953;71.0;360000.0;30000.0;74096.0;1.0;322735.0;265640.0;4141.0;658535.0;173483.0;34.0
