Strategy;nUAV;nPOIs;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;2;20;10.0;3750000.0;3000.0;41.5;4.0;3700350.0;3518155.0;286.0
KingstonImprovedOverNSNMobility;4;20;10.0;3750000.0;3000.0;51.5;4.0;3657482.5;3308250.0;242.5
KingstonImprovedOverNSNMobility;8;20;10.0;3750000.0;3000.0;66.0;4.0;3556652.5;2920455.0;295.0
KingstonImprovedOverNSNMobility;16;20;10.0;3750000.0;3000.0;92.0;4.0;3342200.0;2144542.5;267.5
TSPbasedMobility;2;20;10.0;3750000.0;3000.0;65.0;4.0;3619442.5;3609400.0;0.0
TSPbasedMobility;4;20;10.0;3750000.0;3000.0;74.0;4.0;3488582.5;3472535.0;0.0
TSPbasedMobility;8;20;10.0;3750000.0;3000.0;75.5;4.0;3238572.5;3209357.5;0.0
TSPbasedMobility;16;20;10.0;3750000.0;3000.0;101.0;4.0;2722665.0;2660305.0;0.0
ZigZagOverNSNMobility;2;20;10.0;3750000.0;3000.0;41.0;4.0;3683752.5;3589420.0;222.0
ZigZagOverNSNMobility;4;20;10.0;3750000.0;3000.0;49.0;4.0;3617170.0;3410072.5;283.0
ZigZagOverNSNMobility;8;20;10.0;3750000.0;3000.0;60.0;4.0;3474080.0;3074027.5;294.5
ZigZagOverNSNMobility;16;20;10.0;3750000.0;3000.0;80.0;4.0;3206067.5;2527060.0;240.0
