Strategy;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;memory;mapName
TSP-based;50;2;0.00000;71;2;13000;5028;4965;4;2;2;-1;0;0;73315;0.0;0.0;-1;1
FPPWR;50;2;0.00000;71;2;13000;185;123;4;2;2;-1;0;0;198001;0.0;0.0;-1;1
DADCA-NSN;50;2;0.00000;71;2;13000;95;32;4;2;2;-1;0;0;90810;0.0;0.0;-1;1
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;95;34;4;2;2;-1;0;0;88973;0.0;0.0;-1;1
DADCA-LKH;50;2;0.00000;71;2;13000;408;333;4;2;2;-1;0;0;73315;0.0;0.0;-1;1
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;414;346;4;2;2;-1;0;0;74636;0.0;0.0;-1;1
TSP-based;50;2;0.00000;71;2;13000;3242;3172;4;2;2;-1;0;0;73838;0.0;0.0;-1;2
FPPWR;50;2;0.00000;71;2;13000;186;117;4;2;2;-1;0;0;193223;0.0;0.0;-1;2
DADCA-NSN;50;2;0.00000;71;2;13000;102;32;4;2;2;-1;0;0;78112;0.0;0.0;-1;2
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;86;30;4;2;2;-1;0;0;87248;0.0;0.0;-1;2
DADCA-LKH;50;2;0.00000;71;2;13000;321;252;4;2;2;-1;0;0;73838;0.0;0.0;-1;2
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;325;259;4;2;2;-1;0;0;77235;0.0;0.0;-1;2
TSP-based;50;2;0.00000;71;2;13000;4310;4251;4;2;2;-1;0;0;76929;0.0;0.0;-1;3
FPPWR;50;2;0.00000;71;2;13000;165;109;4;2;2;-1;0;0;173304;0.0;0.0;-1;3
DADCA-NSN;50;2;0.00000;71;2;13000;102;34;4;2;2;-1;0;0;79088;0.0;0.0;-1;3
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;95;36;4;2;2;-1;0;0;85005;0.0;0.0;-1;3
DADCA-LKH;50;2;0.00000;71;2;13000;336;261;4;2;2;-1;0;0;76929;0.0;0.0;-1;3
DADCA-LKH-Cutted;50;2;0.00000;71;2;13000;342;279;4;2;2;-1;0;0;78783;0.0;0.0;-1;3
TSP-based;50;2;0.00000;71;2;13000;2495;2422;4;2;2;-1;0;0;74065;0.0;0.0;-1;4
FPPWR;50;2;0.00000;71;2;13000;181;112;4;2;2;-1;0;0;194878;0.0;0.0;-1;4
DADCA-NSN;50;2;0.00000;71;2;13000;91;32;4;2;2;-1;0;0;78100;0.0;0.0;-1;4
DADCA-Parted-NSN;50;2;0.00000;71;2;13000;90;32;4;2;2;-1;0;0;93646;0.0;0.0;-1;4
DADCA-LKH;50;2;0.00000;71;2;13000;164;99;4;2;2;-1;0;0;74065;0.0;0.0;-1;4
