;;;nUAV;nUAV;nUAV;nUAV;nUAV;nUAV;nUAV;nUAV;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;SucessTax;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;simumationTimeMS;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;pathTime;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;globalAvgDelay;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;tourSize;memory;memory;memory;memory;memory;memory;memory;memory
;;;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max
Strategy;mapName;nPOIs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DADCA-LKH;1;50;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0068000000000000005;;0.0068000000000000005;0.0068000000000000005;0.0068000000000000005;0.0068000000000000005;0.0068000000000000005;1.0;0.00555;;0.00555;0.00555;0.00555;0.00555;0.00555;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;73.315;;73.315;73.315;73.315;73.315;73.315;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;1;100;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0061333333333333335;;0.0061333333333333335;0.0061333333333333335;0.0061333333333333335;0.0061333333333333335;0.0061333333333333335;1.0;0.00495;;0.00495;0.00495;0.00495;0.00495;0.00495;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;100.17;;100.17;100.17;100.17;100.17;100.17;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;1;200;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.09406666666666667;;0.09406666666666667;0.09406666666666667;0.09406666666666667;0.09406666666666667;0.09406666666666667;1.0;0.09240000000000001;;0.09240000000000001;0.09240000000000001;0.09240000000000001;0.09240000000000001;0.09240000000000001;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;139.148;;139.148;139.148;139.148;139.148;139.148;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;1;300;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.19290000000000002;;0.19290000000000002;0.19290000000000002;0.19290000000000002;0.19290000000000002;0.19290000000000002;1.0;0.19145;;0.19145;0.19145;0.19145;0.19145;0.19145;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;169.663;;169.663;169.663;169.663;169.663;169.663;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;1;400;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.38893333333333335;;0.38893333333333335;0.38893333333333335;0.38893333333333335;0.38893333333333335;0.38893333333333335;1.0;0.38730000000000003;;0.38730000000000003;0.38730000000000003;0.38730000000000003;0.38730000000000003;0.38730000000000003;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;194.862;;194.862;194.862;194.862;194.862;194.862;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;1;500;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.61745;;0.61745;0.61745;0.61745;0.61745;0.61745;1.0;0.6154666666666667;;0.6154666666666667;0.6154666666666667;0.6154666666666667;0.6154666666666667;0.6154666666666667;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;217.9;;217.9;217.9;217.9;217.9;217.9;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;2;50;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.005350000000000001;;0.005350000000000001;0.005350000000000001;0.005350000000000001;0.005350000000000001;0.005350000000000001;1.0;0.004200000000000001;;0.004200000000000001;0.004200000000000001;0.004200000000000001;0.004200000000000001;0.004200000000000001;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;73.83800000000001;;73.83800000000001;73.83800000000001;73.83800000000001;73.83800000000001;73.83800000000001;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
DADCA-LKH;2;100;1.0;2.0;;2.0;2.0;2.0;2.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.023816666666666667;;0.023816666666666667;0.023816666666666667;0.023816666666666667;0.023816666666666667;0.023816666666666667;1.0;0.02265;;0.02265;0.02265;0.02265;0.02265;0.02265;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;103.654;;103.654;103.654;103.654;103.654;103.654;1.0;-1.0;;-1.0;-1.0;-1.0;-1.0;-1.0
