Strategy;nUAV;nPOIs;SucessTax;simumationTimeMS;pathTime;globalAvgDelay;tourSize;memory;mapName
DADCA-LKH;2;50;0.0;0.0053518333333333334;0.004285166666666663;-1.0;74183.76;-1.0;50.5
DADCA-LKH;2;100;0.0;0.019018166666666666;0.017801499999999998;-1.0;101583.81;-1.0;50.5
DADCA-LKH;2;200;0.0;0.12480150000000002;0.12340566666666669;-1.0;140106.99;-1.0;50.5
DADCA-LKH;2;300;0.0;0.30732766666666667;0.30580666666666667;-1.0;169715.27;-1.0;50.5
DADCA-LKH;2;400;0.0;0.6341751666666668;0.6324611666666664;-1.0;194726.21;-1.0;50.5
DADCA-LKH;2;500;0.0;0.9610676666666665;0.9590803333333333;-1.0;216998.57;-1.0;50.5
DADCA-LKH-Cutted;2;50;0.0;0.005402166666666667;0.004349666666666665;-1.0;75534.64;-1.0;50.5
DADCA-LKH-Cutted;2;100;0.0;0.019123499999999998;0.017895166666666663;-1.0;102583.6;-1.0;50.5
DADCA-LKH-Cutted;2;200;0.0;0.12464783333333339;0.12324916666666667;-1.0;140701.47;-1.0;50.5
DADCA-LKH-Cutted;2;300;0.0;0.30794350000000004;0.3064016666666667;-1.0;170214.18;-1.0;50.5
DADCA-LKH-Cutted;2;400;0.0;0.6342636666666666;0.6325495000000001;-1.0;195132.48;-1.0;50.5
DADCA-LKH-Cutted;2;500;0.0;0.9618246666666669;0.9597611666666666;-1.0;217375.67;-1.0;50.5
DADCA-NSN;2;50;0.0;0.0015619999999999992;0.0005418333333333325;-1.0;83349.73;-1.0;50.5
DADCA-NSN;2;100;0.0;0.0022746666666666666;0.0010873333333333334;-1.0;119544.89;-1.0;50.5
DADCA-NSN;2;200;0.0;0.003273166666666667;0.001878666666666666;-1.0;168051.27;-1.0;50.5
DADCA-NSN;2;300;0.0;0.004687166666666665;0.0029271666666666695;-1.0;205646.15;-1.0;50.5
DADCA-NSN;2;400;0.0;0.006673000000000001;0.004733166666666664;-1.0;237615.46;-1.0;50.5
DADCA-NSN;2;500;0.0;0.008659999999999996;0.006798666666666674;-1.0;265115.56;-1.0;50.5
DADCA-Parted-NSN;2;50;0.0;0.0015658333333333338;0.0005428333333333328;-1.0;86550.33;-1.0;50.5
DADCA-Parted-NSN;2;100;0.0;0.0021493333333333312;0.0009725000000000002;-1.0;124713.39;-1.0;50.5
DADCA-Parted-NSN;2;200;0.0;0.002316166666666668;0.0009393333333333334;-1.0;174714.03;-1.0;50.5
DADCA-Parted-NSN;2;300;0.0;0.0028610000000000007;0.0013061666666666677;-1.0;213366.69;-1.0;50.5
DADCA-Parted-NSN;2;400;0.0;0.003461500000000001;0.0017380000000000006;-1.0;245340.74;-1.0;50.5
DADCA-Parted-NSN;2;500;0.0;0.004139666666666668;0.0022605000000000004;-1.0;272213.39;-1.0;50.5
FPPWR;2;50;0.0;0.0028823333333333344;0.0018803333333333317;-1.0;206897.64;-1.0;50.5
FPPWR;2;100;0.0;0.003491666666666668;0.0023008333333333327;-1.0;344314.73;-1.0;50.5
FPPWR;2;200;0.0;0.003995500000000001;0.002419499999999999;-1.0;469428.62;-1.0;50.5
FPPWR;2;300;0.0;0.004190333333333332;0.0027019999999999995;-1.0;513967.81;-1.0;50.5
FPPWR;2;400;0.0;0.004759333333333332;0.003040333333333335;-1.0;539037.72;-1.0;50.5
FPPWR;2;500;0.0;0.005223499999999999;0.0033808333333333346;-1.0;554472.44;-1.0;50.5
TSP-based;2;50;0.0;0.060282833333333334;0.05922783333333334;-1.0;74057.89;-1.0;50.5
TSP-based;2;100;0.0;0.30056416666666674;0.29930733333333337;-1.0;101596.51;-1.0;50.5
TSP-based;2;200;0.0;2.7642046666666675;2.7627609999999994;-1.0;140155.03;-1.0;50.5
TSP-based;2;300;0.0;5.351831833333335;5.350269833333333;-1.0;169730.91;-1.0;50.5
TSP-based;2;400;0.0;12.475565000000001;12.473806166666668;-1.0;194668.19;-1.0;50.5
TSP-based;2;500;0.0;24.087933000000003;24.086044333333337;-1.0;216921.93;-1.0;50.5
