Strategy;mapName;nPOIs;nUAV;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize
DADCA-NSN;1;50;4;0.0;71;2;13000;16;66;4;2;2;-1;0;0;85388;0.0;0.0
DADCA-NSN;1;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;259467;0.0;0.0
DADCA-NSN;1;1000;4;0.0;71;2;13000;390;380;4;2;2;-1;0;0;366534;0.0;0.0
DADCA-NSN;2;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;72800;0.0;0.0
DADCA-NSN;2;500;4;0.0;71;2;13000;159;145;4;2;2;-1;0;0;263194;0.0;0.0
DADCA-NSN;2;1000;4;0.0;71;2;13000;390;380;4;2;2;-1;0;0;356589;0.0;0.0
DADCA-NSN;3;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;77023;0.0;0.0
DADCA-NSN;3;500;4;0.0;71;2;13000;141;143;4;2;2;-1;0;0;260965;0.0;0.0
DADCA-NSN;3;1000;4;0.0;71;2;13000;390;380;4;2;2;-1;0;0;367382;0.0;0.0
DADCA-NSN;4;50;4;0.0;71;2;13000;32;50;4;2;2;-1;0;0;78386;0.0;0.0
DADCA-NSN;4;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;249856;0.0;0.0
DADCA-NSN;4;1000;4;0.0;71;2;13000;390;380;4;2;2;-1;0;0;372541;0.0;0.0
DADCA-NSN;5;50;4;0.0;71;2;13000;16;66;4;2;2;-1;0;0;82273;0.0;0.0
DADCA-NSN;5;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;259441;0.0;0.0
DADCA-NSN;5;1000;4;0.0;71;2;13000;400;380;4;2;2;-1;0;0;356389;0.0;0.0
DADCA-NSN;6;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;84659;0.0;0.0
DADCA-NSN;6;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;257532;0.0;0.0
DADCA-NSN;6;1000;4;0.0;71;2;13000;398;378;4;2;2;-1;0;0;361815;0.0;0.0
DADCA-NSN;7;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;76433;0.0;0.0
DADCA-NSN;7;500;4;0.0;71;2;13000;137;140;4;2;2;-1;0;0;244864;0.0;0.0
DADCA-NSN;7;1000;4;0.0;71;2;13000;390;370;4;2;2;-1;0;0;361277;0.0;0.0
DADCA-NSN;8;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;82163;0.0;0.0
DADCA-NSN;8;500;4;0.0;71;2;13000;141;143;4;2;2;-1;0;0;258661;0.0;0.0
DADCA-NSN;8;1000;4;0.0;71;2;13000;390;380;4;2;2;-1;0;0;366747;0.0;0.0
DADCA-NSN;9;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;74459;0.0;0.0
DADCA-NSN;9;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;247938;0.0;0.0
DADCA-NSN;9;1000;4;0.0;71;2;13000;390;370;4;2;2;-1;0;0;367887;0.0;0.0
DADCA-NSN;10;50;4;0.0;71;2;13000;32;50;4;2;2;-1;0;0;75300;0.0;0.0
DADCA-NSN;10;500;4;0.0;71;2;13000;124;144;4;2;2;-1;0;0;257716;0.0;0.0
DADCA-NSN;10;1000;4;0.0;71;2;13000;390;370;4;2;2;-1;0;0;363598;0.0;0.0
DADCA-NSN;11;50;4;0.0;71;2;13000;15;65;4;2;2;-1;0;0;89930;0.0;0.0
DADCA-NSN;11;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;253918;0.0;0.0
DADCA-NSN;11;1000;4;0.0;71;2;13000;390;380;4;2;2;-1;0;0;370200;0.0;0.0
DADCA-NSN;12;50;4;0.0;71;2;13000;32;50;4;2;2;-1;0;0;100075;0.0;0.0
DADCA-NSN;12;500;4;0.0;71;2;13000;125;128;4;2;2;-1;0;0;265301;0.0;0.0
DADCA-NSN;12;1000;4;0.0;71;2;13000;390;380;4;2;2;-1;0;0;372788;0.0;0.0
DADCA-NSN;13;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;74221;0.0;0.0
DADCA-NSN;13;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;251894;0.0;0.0
DADCA-NSN;13;1000;4;0.0;71;2;13000;390;380;4;2;2;-1;0;0;369280;0.0;0.0
DADCA-NSN;14;50;4;0.0;71;2;13000;15;50;4;2;2;-1;0;0;90010;0.0;0.0
DADCA-NSN;14;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;254895;0.0;0.0
DADCA-NSN;14;1000;4;0.0;71;2;13000;412;402;4;2;2;-1;0;0;370727;0.0;0.0
DADCA-NSN;15;50;4;0.0;71;2;13000;16;66;4;2;2;-1;0;0;86756;0.0;0.0
DADCA-NSN;15;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;263529;0.0;0.0
DADCA-NSN;15;1000;4;0.0;71;2;13000;402;382;4;2;2;-1;0;0;365360;0.0;0.0
DADCA-NSN;16;50;4;0.0;71;2;13000;15;65;4;2;2;-1;0;0;78165;0.0;0.0
DADCA-NSN;16;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;251904;0.0;0.0
DADCA-NSN;16;1000;4;0.0;71;2;13000;394;384;4;2;2;-1;0;0;364140;0.0;0.0
DADCA-NSN;17;50;4;0.0;71;2;13000;1;51;4;2;2;-1;0;0;82427;0.0;0.0
DADCA-NSN;17;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;259189;0.0;0.0
DADCA-NSN;17;1000;4;0.0;71;2;13000;390;380;4;2;2;-1;0;0;364441;0.0;0.0
DADCA-NSN;18;50;4;0.0;71;2;13000;32;50;4;2;2;-1;0;0;72884;0.0;0.0
DADCA-NSN;18;500;4;0.0;71;2;13000;124;128;4;2;2;-1;0;0;256934;0.0;0.0
DADCA-NSN;18;1000;4;0.0;71;2;13000;380;380;4;2;2;-1;0;0;367184;0.0;0.0
DADCA-NSN;19;50;4;0.0;71;2;13000;15;50;4;2;2;-1;0;0;85341;0.0;0.0
DADCA-NSN;19;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;261041;0.0;0.0
DADCA-NSN;19;1000;4;0.0;71;2;13000;403;391;4;2;2;-1;0;0;363494;0.0;0.0
DADCA-NSN;20;50;4;0.0;71;2;13000;26;52;4;2;2;-1;0;0;82440;0.0;0.0
DADCA-NSN;20;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;252577;0.0;0.0
DADCA-NSN;20;1000;4;0.0;71;2;13000;399;386;4;2;2;-1;0;0;369185;0.0;0.0
DADCA-NSN;21;50;4;0.0;71;2;13000;41;65;4;2;2;-1;0;0;73957;0.0;0.0
DADCA-NSN;21;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;257783;0.0;0.0
DADCA-NSN;21;1000;4;0.0;71;2;13000;431;413;4;2;2;-1;0;0;360436;0.0;0.0
DADCA-NSN;22;50;4;0.0;71;2;13000;16;66;4;2;2;-1;0;0;78959;0.0;0.0
DADCA-NSN;22;500;4;0.0;71;2;13000;124;144;4;2;2;-1;0;0;249626;0.0;0.0
DADCA-NSN;22;1000;4;0.0;71;2;13000;407;388;4;2;2;-1;0;0;375005;0.0;0.0
DADCA-NSN;23;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;82783;0.0;0.0
DADCA-NSN;23;500;4;0.0;71;2;13000;131;145;4;2;2;-1;0;0;261243;0.0;0.0
DADCA-NSN;23;1000;4;0.0;71;2;13000;432;402;4;2;2;-1;0;0;352930;0.0;0.0
DADCA-NSN;24;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;75424;0.0;0.0
DADCA-NSN;24;500;4;0.0;71;2;13000;128;144;4;2;2;-1;0;0;252072;0.0;0.0
DADCA-NSN;24;1000;4;0.0;71;2;13000;405;378;4;2;2;-1;0;0;362498;0.0;0.0
DADCA-NSN;25;50;4;0.0;71;2;13000;47;50;4;2;2;-1;0;0;90155;0.0;0.0
DADCA-NSN;25;500;4;0.0;71;2;13000;124;144;4;2;2;-1;0;0;265068;0.0;0.0
DADCA-NSN;25;1000;4;0.0;71;2;13000;389;389;4;2;2;-1;0;0;375721;0.0;0.0
DADCA-NSN;26;50;4;0.0;71;2;13000;15;50;4;2;2;-1;0;0;75648;0.0;0.0
DADCA-NSN;26;500;4;0.0;71;2;13000;124;144;4;2;2;-1;0;0;270917;0.0;0.0
DADCA-NSN;26;1000;4;0.0;71;2;13000;418;379;4;2;2;-1;0;0;365536;0.0;0.0
DADCA-NSN;27;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;86829;0.0;0.0
DADCA-NSN;27;500;4;0.0;71;2;13000;124;144;4;2;2;-1;0;0;259376;0.0;0.0
DADCA-NSN;27;1000;4;0.0;71;2;13000;421;393;4;2;2;-1;0;0;377319;0.0;0.0
DADCA-NSN;28;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;86014;0.0;0.0
DADCA-NSN;28;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;266306;0.0;0.0
DADCA-NSN;28;1000;4;0.0;71;2;13000;406;378;4;2;2;-1;0;0;354715;0.0;0.0
DADCA-NSN;29;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;80056;0.0;0.0
DADCA-NSN;29;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;271881;0.0;0.0
DADCA-NSN;29;1000;4;0.0;71;2;13000;404;387;4;2;2;-1;0;0;363580;0.0;0.0
DADCA-NSN;30;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;76561;0.0;0.0
DADCA-NSN;30;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;254850;0.0;0.0
DADCA-NSN;31;50;4;0.0;71;2;13000;15;50;4;2;2;-1;0;0;78246;0.0;0.0
DADCA-NSN;31;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;259854;0.0;0.0
DADCA-NSN;32;50;4;0.0;71;2;13000;31;50;4;2;2;-1;0;0;84699;0.0;0.0
DADCA-NSN;32;500;4;0.0;71;2;13000;125;144;4;2;2;-1;0;0;261874;0.0;0.0
DADCA-NSN;33;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;88680;0.0;0.0
DADCA-NSN;33;500;4;0.0;71;2;13000;125;128;4;2;2;-1;0;0;255284;0.0;0.0
DADCA-NSN;34;50;4;0.0;71;2;13000;17;50;4;2;2;-1;0;0;85920;0.0;0.0
DADCA-NSN;34;500;4;0.0;71;2;13000;125;143;4;2;2;-1;0;0;250427;0.0;0.0
DADCA-NSN;35;50;4;0.0;71;2;13000;16;50;4;2;2;-1;0;0;79563;0.0;0.0
DADCA-NSN;35;500;4;0.0;71;2;13000;125;128;4;2;2;-1;0;0;266800;0.0;0.0
