Strategy;nUAV;nPOIs;SucessTax;V2V_range;ctRounds;dimX;simumationTimeMS;pathTime;TSP_threads;maxData;minData;globalAvgDelay;GSglobalAvgDelay;nMsgs;tourSize;throughput;TaxPerPathSize;mapName
DADCA-lkh;4;20;3.667926999999999;71.0;259200.0;13000.0;4800.3;398.03333333333336;4.0;255950.83333333334;247146.16666666666;51537.63333333333;5702.533333333334;33925.76666666667;49888.166666666664;1.4150952757455673;7.422661877663929;15.5
DADCA-lkh;4;200;1.0821563333333333;71.0;259200.0;13000.0;34371.9;3026.633333333333;4.0;259200.0;251426.16666666666;52823.13333333333;15715.6;61553.433333333334;136189.63333333333;0.41749845401171104;0.7954209151911757;15.5
DADCA-lkh;8;20;5.901798333333332;71.0;259200.0;13000.0;6260.5;394.93333333333334;4.0;258232.66666666666;240542.5;48886.566666666666;15385.2;49143.36666666667;49888.166666666664;2.2769279307492507;11.970002398495007;15.5
DADCA-lkh;8;200;1.5706656666666665;71.0;259200.0;13000.0;38252.96666666667;3043.8;4.0;259200.0;247588.16666666666;48847.86666666667;16779.233333333334;121462.76666666666;136189.63333333333;0.6059665076223771;1.154611091957821;15.5
DADCA-lkh;12;20;8.387544;71.0;259200.0;13000.0;8184.066666666667;391.46666666666664;4.0;258816.5;232323.0;41832.333333333336;14356.466666666667;69258.0;49888.166666666664;3.235935574956815;17.022325326098276;15.5
DADCA-lkh;12;200;2.1927346666666665;71.0;259200.0;13000.0;43429.03333333333;3033.3333333333335;4.0;259200.0;243062.83333333334;46110.96666666667;21678.2;163328.36666666667;136189.63333333333;0.8459622119976635;1.6119289139058186;15.5
DADCA-lkh;16;20;11.080317999999998;71.0;259200.0;13000.0;11011.333333333334;390.93333333333334;4.0;258884.5;222134.83333333334;36592.4;9686.233333333334;93826.26666666666;49888.166666666664;4.274813905876898;22.472384803448513;15.5
DADCA-lkh;16;200;2.820889333333333;71.0;259200.0;13000.0;49518.166666666664;3142.9333333333334;4.0;259200.0;238251.0;44792.3;14816.233333333334;224127.9;136189.63333333333;1.088306295407204;2.0737263256191096;15.5
DADCA-lkh;20;200;3.5341053333333337;71.0;259200.0;13000.0;54662.166666666664;2906.5;4.0;259200.0;232750.83333333334;43803.1;17457.733333333334;280056.4666666667;136189.63333333333;1.3634666594427933;2.5980492379037776;15.5
DADCA-lkh;24;200;4.419039;71.0;259200.0;13000.0;63938.566666666666;2921.366666666667;4.0;259200.0;226610.33333333334;43114.166666666664;14961.1;352623.8333333333;136189.63333333333;1.7048764171890083;3.248519481682178;15.5
