Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
TSPbasedMobility;20;2;3.34149;10;3750000;3000;188;4;3630800;3550750;840
TSPbasedMobility;20;8;11.73773;10;3750000;3000;232;4;3352705;3076835;1535
TSPbasedMobility;20;16;26.52654;10;3750000;3000;271;4;2807175;2187385;534
TSPbasedMobility;20;4;6.18447;10;3750000;3000;282;4;3525830;3514980;865
KingstonImprovedOverNSNMobility;20;2;3.83675;10;3750000;3000;53;4;3684630;3480755;59
KingstonImprovedOverNSNMobility;20;4;7.45557;10;3750000;3000;56;4;3641905;3336230;169
KingstonImprovedOverNSNMobility;20;8;14.10874;10;3750000;3000;71;4;3562690;2995035;516
KingstonImprovedOverNSNMobility;20;16;26.94849;10;3750000;3000;143;4;3391155;2241910;325
TSPbasedMobility;20;8;11.69448;10;3750000;3000;154;4;3322735;3305910;981
TSPbasedMobility;20;4;5.73991;10;3750000;3000;200;4;3538590;3529715;2146
TSPbasedMobility;20;16;25.91202;10;3750000;3000;204;4;2803130;2765525;592
TSPbasedMobility;20;2;3.20321;10;3750000;3000;217;4;3633160;3627420;201
KingstonImprovedOverNSNMobility;20;2;3.33589;10;3750000;3000;62;4;3702050;3554315;326
KingstonImprovedOverNSNMobility;20;4;6.90291;10;3750000;3000;68;4;3655480;3380410;11
KingstonImprovedOverNSNMobility;20;8;12.18259;10;3750000;3000;79;4;3578835;3084945;304
KingstonImprovedOverNSNMobility;20;16;21.52174;10;3750000;3000;155;4;3431355;2566475;484
TSPbasedMobility;20;8;11.97571;10;3750000;3000;175;4;3310445;3293405;2630
TSPbasedMobility;20;4;5.86599;10;3750000;3000;195;4;3534135;3525240;2442
KingstonImprovedOverNSNMobility;20;2;3.82657;10;3750000;3000;112;4;3685605;3495395;427
KingstonImprovedOverNSNMobility;20;4;8.53381;10;3750000;3000;131;4;3620145;3241260;290
KingstonImprovedOverNSNMobility;20;8;13.58900;10;3750000;3000;152;4;3570650;3016625;72
KingstonImprovedOverNSNMobility;20;16;30.77669;10;3750000;3000;273;4;3345465;1953840;234
TSPbasedMobility;20;2;3.39821;10;3750000;3000;171;4;3628385;3559830;662
TSPbasedMobility;20;4;6.94499;10;3750000;3000;187;4;3493530;3482765;976
TSPbasedMobility;20;16;25.62859;10;3750000;3000;530;4;2811825;2773265;737
TSPbasedMobility;20;8;12.81937;10;3750000;3000;204;4;3278885;3260240;730
TSPbasedMobility;20;2;3.56988;10;3750000;3000;535;4;3619680;3613430;265
KingstonImprovedOverNSNMobility;20;2;3.41044;10;3750000;3000;75;4;3692735;3523420;186
KingstonImprovedOverNSNMobility;20;4;6.60489;10;3750000;3000;86;4;3663375;3387300;293
KingstonImprovedOverNSNMobility;20;8;16.68910;10;3750000;3000;106;4;3499870;2879650;370
KingstonImprovedOverNSNMobility;20;16;25.45679;10;3750000;3000;197;4;3381855;2353810;567
TSPbasedMobility;20;8;13.98399;10;3750000;3000;163;4;3234760;3214980;840
TSPbasedMobility;20;2;3.41595;10;3750000;3000;168;4;3625150;3619455;955
TSPbasedMobility;20;4;6.59735;10;3750000;3000;174;4;3509260;3498655;912
TSPbasedMobility;20;16;28.76938;10;3750000;3000;535;4;2697830;2657510;1198
KingstonImprovedOverNSNMobility;20;4;7.05465;10;3750000;3000;64;4;3742085;3094045;667
KingstonImprovedOverNSNMobility;20;2;3.56242;10;3750000;3000;64;4;3696540;3539250;525
TSPbasedMobility;20;16;22.85913;10;3750000;3000;234;4;2913545;2881365;2682
KingstonImprovedOverNSNMobility;20;8;16.39618;10;3750000;3000;76;4;3520330;2599105;280
KingstonImprovedOverNSNMobility;20;16;28.23652;10;3750000;3000;155;4;3375755;1418830;320
TSPbasedMobility;20;4;6.23216;10;3750000;3000;130;4;3522825;3512585;304
TSPbasedMobility;20;8;13.27173;10;3750000;3000;147;4;3261725;3240805;599
TSPbasedMobility;20;16;30.42992;10;3750000;3000;199;4;2628370;2584835;546
KingstonImprovedOverNSNMobility;20;2;3.06310;10;3750000;3000;79;4;3709125;3579155;593
KingstonImprovedOverNSNMobility;20;4;9.06127;10;3750000;3000;89;4;3622790;3227145;485
KingstonImprovedOverNSNMobility;20;8;14.37819;10;3750000;3000;105;4;3551765;2948085;200
KingstonImprovedOverNSNMobility;20;16;30.88285;10;3750000;3000;192;4;3359675;1620670;960
TSPbasedMobility;20;2;3.75063;10;3750000;3000;374;4;3612455;3605755;286
TSPbasedMobility;20;8;11.54487;10;3750000;3000;144;4;3333410;3187270;1162
TSPbasedMobility;20;4;6.58556;10;3750000;3000;158;4;3508800;3499710;1075
KingstonImprovedOverNSNMobility;20;2;3.19714;10;3750000;3000;84;4;3709100;3533850;117
KingstonImprovedOverNSNMobility;20;4;7.67631;10;3750000;3000;97;4;3646185;3316775;101
TSPbasedMobility;20;16;26.76489;10;3750000;3000;250;4;2764225;2724845;667
KingstonImprovedOverNSNMobility;20;8;13.59426;10;3750000;3000;114;4;3562040;3036810;438
KingstonImprovedOverNSNMobility;20;16;24.78406;10;3750000;3000;221;4;3399935;1690195;128
TSPbasedMobility;20;2;3.10930;10;3750000;3000;221;4;3635200;3630460;582
TSPbasedMobility;20;2;2.91424;10;3750000;3000;533;4;3643260;3638500;751
TSPbasedMobility;20;4;6.48161;10;3750000;3000;277;4;3511425;3500965;654
TSPbasedMobility;20;16;27.51455;10;3750000;3000;293;4;2735370;2697045;744
TSPbasedMobility;20;8;11.73135;10;3750000;3000;298;4;3318705;3301300;679
KingstonImprovedOverNSNMobility;20;2;3.28379;10;3750000;3000;39;4;3696875;3536715;419
KingstonImprovedOverNSNMobility;20;8;16.27029;10;3750000;3000;58;4;3535810;2878125;318
KingstonImprovedOverNSNMobility;20;16;26.52239;10;3750000;3000;138;4;3344520;2290880;219
TSPbasedMobility;20;8;12.19338;10;3750000;3000;169;4;3301230;3284215;491
KingstonImprovedOverNSNMobility;20;4;9.13157;10;3750000;3000;287;4;3609885;3185555;1256
TSPbasedMobility;20;16;26.23938;10;3750000;3000;240;4;2784280;2744330;1057
KingstonImprovedOverNSNMobility;20;2;3.63133;10;3750000;3000;119;4;3688875;3504825;627
KingstonImprovedOverNSNMobility;20;4;7.01125;10;3750000;3000;131;4;3643875;3318835;158
KingstonImprovedOverNSNMobility;20;8;12.98441;10;3750000;3000;150;4;3581660;3032235;172
TSPbasedMobility;20;4;6.34127;10;3750000;3000;348;4;3517230;3507485;325
KingstonImprovedOverNSNMobility;20;16;28.27555;10;3750000;3000;182;4;3348145;2205540;232
TSPbasedMobility;20;2;3.25629;10;3750000;3000;396;4;3630030;3624545;333
TSPbasedMobility;20;8;12.49331;10;3750000;3000;257;4;3291135;3271715;446
TSPbasedMobility;20;4;7.07127;10;3750000;3000;276;4;3508250;3347510;637
TSPbasedMobility;20;16;24.24475;10;3750000;3000;279;4;2855940;2823325;885
KingstonImprovedOverNSNMobility;20;2;3.29554;10;3750000;3000;79;4;3694250;3530005;527
KingstonImprovedOverNSNMobility;20;4;6.21816;10;3750000;3000;85;4;3670060;3419815;118
KingstonImprovedOverNSNMobility;20;8;11.21589;10;3750000;3000;98;4;3606130;3127905;175
KingstonImprovedOverNSNMobility;20;16;24.74881;10;3750000;3000;232;4;3424500;2365875;234
