Strategy;nUAV;nPOIs;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;2;20;10.0;3750000.0;3000.0;39.0;4.0;3697972.5;3537585.0;441.5
KingstonImprovedOverNSNMobility;4;20;10.0;3750000.0;3000.0;49.0;4.0;3658490.0;3357500.0;363.0
KingstonImprovedOverNSNMobility;8;20;10.0;3750000.0;3000.0;62.0;4.0;3546705.0;2938322.5;389.0
KingstonImprovedOverNSNMobility;16;20;10.0;3750000.0;3000.0;89.0;4.0;3357122.5;2184805.0;432.5
TSPbasedMobility;2;20;10.0;3750000.0;3000.0;86.0;4.0;3631730.0;3622355.0;588.0
TSPbasedMobility;4;20;10.0;3750000.0;3000.0;106.5;4.0;3508907.5;3487690.0;586.0
TSPbasedMobility;8;20;10.0;3750000.0;3000.0;89.0;4.0;3281980.0;3232365.0;688.5
TSPbasedMobility;16;20;10.0;3750000.0;3000.0;109.0;4.0;2766905.0;2728885.0;560.0
ZigZagOverNSNMobility;2;20;10.0;3750000.0;3000.0;39.0;4.0;3682485.0;3577290.0;420.5
ZigZagOverNSNMobility;4;20;10.0;3750000.0;3000.0;47.0;4.0;3614955.0;3408547.5;473.5
ZigZagOverNSNMobility;8;20;10.0;3750000.0;3000.0;57.0;4.0;3480165.0;3134715.0;403.0
ZigZagOverNSNMobility;16;20;10.0;3750000.0;3000.0;77.0;4.0;3187902.5;2546647.5;456.5
