Strategy;nUAV;nPOIs;;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;nMsgs;tourSize;mapa
FPPWRMobility;5;100;count;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
FPPWRMobility;5;100;mean;0.167546;71.0;86400.0;30000.0;5622.3;1.0;86346.0;86155.0;25388.4;1568.7;963648.4;5.5
FPPWRMobility;5;100;std;0.00936653523039;0.0;0.0;0.0;107.417203257;0.0;7.37864787373;19.0029237517;1202.21149923;23.6645538963;47172.9630337;3.0276503541
FPPWRMobility;5;100;min;0.14815;71.0;86400.0;30000.0;5452.0;1.0;86340.0;86120.0;23078.0;1543.0;905335.0;1.0
FPPWRMobility;5;100;25%;0.1631075;71.0;86400.0;30000.0;5547.0;1.0;86341.25;86142.5;24614.5;1547.75;929403.5;3.25
FPPWRMobility;5;100;50%;0.168895;71.0;86400.0;30000.0;5659.5;1.0;86345.0;86157.5;25545.5;1567.0;961115.5;5.5
FPPWRMobility;5;100;75%;0.17416;71.0;86400.0;30000.0;5703.25;1.0;86345.0;86168.75;26259.5;1583.0;983617.75;7.75
FPPWRMobility;5;100;max;0.17934;71.0;86400.0;30000.0;5724.0;1.0;86365.0;86180.0;26880.0;1614.0;1067801.0;10.0
FPPWRMobility;10;100;count;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
FPPWRMobility;10;100;mean;0.168576;71.0;86400.0;30000.0;8846.4;1.0;86345.5;86153.0;25215.2;1591.1;963648.4;5.5
FPPWRMobility;10;100;std;0.00914902812082;0.0;0.0;0.0;94.1962490407;0.0;4.97214463006;16.0208197876;1234.46900866;42.5504928813;47172.9630337;3.0276503541
FPPWRMobility;10;100;min;0.14971;71.0;86400.0;30000.0;8698.0;1.0;86335.0;86120.0;22968.0;1543.0;905335.0;1.0
FPPWRMobility;10;100;25%;0.164485;71.0;86400.0;30000.0;8783.75;1.0;86345.0;86150.0;24273.5;1557.0;929403.5;3.25
FPPWRMobility;10;100;50%;0.168575;71.0;86400.0;30000.0;8849.0;1.0;86345.0;86155.0;25513.5;1586.5;961115.5;5.5
FPPWRMobility;10;100;75%;0.175495;71.0;86400.0;30000.0;8885.25;1.0;86350.0;86163.75;25950.75;1607.75;983617.75;7.75
FPPWRMobility;10;100;max;0.17934;71.0;86400.0;30000.0;9029.0;1.0;86350.0;86175.0;26879.0;1673.0;1067801.0;10.0
FPPWRMobility;25;100;count;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
FPPWRMobility;25;100;mean;0.278228;71.0;86400.0;30000.0;31913.4;1.0;86304.5;85960.5;25261.2;2053.4;963648.4;5.5
FPPWRMobility;25;100;std;0.0273725064009;0.0;0.0;0.0;957.391850579;0.0;39.2605258356;52.0923325559;1162.04836388;756.717208297;47172.9630337;3.0276503541
FPPWRMobility;25;100;min;0.22054;71.0;86400.0;30000.0;30974.0;1.0;86260.0;85880.0;23100.0;1558.0;905335.0;1.0
FPPWRMobility;25;100;25%;0.262355;71.0;86400.0;30000.0;31402.25;1.0;86271.25;85926.25;24561.75;1571.5;929403.5;3.25
FPPWRMobility;25;100;50%;0.28293;71.0;86400.0;30000.0;31584.0;1.0;86297.5;85952.5;25380.0;1592.5;961115.5;5.5
FPPWRMobility;25;100;75%;0.29855;71.0;86400.0;30000.0;31790.0;1.0;86340.0;86001.25;25897.0;2724.5;983617.75;7.75
FPPWRMobility;25;100;max;0.31105;71.0;86400.0;30000.0;33875.0;1.0;86355.0;86050.0;26834.0;3191.0;1067801.0;10.0
FPPWRMobility;50;100;count;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
FPPWRMobility;50;100;mean;0.464855;71.0;86400.0;30000.0;121254.1;1.0;86235.5;85642.0;25345.8;3662.0;963648.4;5.5
FPPWRMobility;50;100;std;0.0488853098248;0.0;0.0;0.0;1711.3687472;0.0;40.4454364958;85.9974159819;1432.10791027;789.298844967;47172.9630337;3.0276503541
FPPWRMobility;50;100;min;0.36725;71.0;86400.0;30000.0;118841.0;1.0;86185.0;85475.0;22711.0;3105.0;905335.0;1.0
FPPWRMobility;50;100;25%;0.442275;71.0;86400.0;30000.0;120607.25;1.0;86197.5;85588.75;24435.0;3169.25;929403.5;3.25
FPPWRMobility;50;100;50%;0.465045;71.0;86400.0;30000.0;120876.0;1.0;86247.5;85657.5;25560.0;3190.5;961115.5;5.5
FPPWRMobility;50;100;75%;0.506325;71.0;86400.0;30000.0;121717.5;1.0;86250.0;85706.25;26232.75;4396.25;983617.75;7.75
FPPWRMobility;50;100;max;0.5276;71.0;86400.0;30000.0;125401.0;1.0;86305.0;85750.0;27378.0;4837.0;1067801.0;10.0
ZigZagOverNSN;5;100;count;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
ZigZagOverNSN;5;100;mean;1.01092;71.0;86400.0;30000.0;5632.4;1.0;85956.0;85142.5;11103.3;13033.7;222792.4;5.5
ZigZagOverNSN;5;100;std;0.0646009766008;0.0;0.0;0.0;113.154957666;0.0;102.545382907;120.882174037;465.742191442;1434.37024896;10111.8348945;3.0276503541
ZigZagOverNSN;5;100;min;0.92824;71.0;86400.0;30000.0;5445.0;1.0;85830.0;84960.0;10427.0;11271.0;203782.0;1.0
ZigZagOverNSN;5;100;25%;0.9796;71.0;86400.0;30000.0;5588.0;1.0;85873.75;85066.25;10801.75;12667.0;218574.0;3.25
ZigZagOverNSN;5;100;50%;1.00671;71.0;86400.0;30000.0;5626.5;1.0;85945.0;85127.5;10924.0;12746.5;222624.5;5.5
ZigZagOverNSN;5;100;75%;1.023305;71.0;86400.0;30000.0;5682.0;1.0;85993.75;85240.0;11534.0;12862.5;226753.0;7.75
ZigZagOverNSN;5;100;max;1.14931;71.0;86400.0;30000.0;5857.0;1.0;86150.0;85330.0;11721.0;16870.0;238125.0;10.0
ZigZagOverNSN;10;100;count;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
ZigZagOverNSN;10;100;mean;1.65868;71.0;86400.0;30000.0;8105.4;1.0;85636.0;84414.5;9426.4;21224.9;222792.4;5.5
ZigZagOverNSN;10;100;std;0.121248657999;0.0;0.0;0.0;121.083258775;0.0;89.4986033411;177.677141655;584.004984758;2926.54318077;10111.8348945;3.0276503541
ZigZagOverNSN;10;100;min;1.49172;71.0;86400.0;30000.0;7888.0;1.0;85480.0;84245.0;8658.0;15897.0;203782.0;1.0
ZigZagOverNSN;10;100;25%;1.6067125;71.0;86400.0;30000.0;8041.0;1.0;85582.5;84277.5;9090.0;19091.75;218574.0;3.25
