Strategy;nUAV;nPOIs;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;1;20;1,76884;10,0;3750000,0;3000,0;34,0;4,0;3717095,0;3670165,0;303,0
KingstonImprovedOverNSNMobility;2;20;3,85035;10,0;3750000,0;3000,0;38,0;4,0;3690430,0;3510435,0;309,0
KingstonImprovedOverNSNMobility;2;40;2,51872;10,0;3750000,0;3000,0;68,0;4,0;3710732,5;3580490,0;256,5
KingstonImprovedOverNSNMobility;3;60;3,06223;10,0;3750000,0;3000,0;110,0;4,0;3717125,0;3537630,0;276,0
KingstonImprovedOverNSNMobility;4;40;4,84885;10,0;3750000,0;3000,0;75,0;4,0;3678985,0;3447405,0;336,0
KingstonImprovedOverNSNMobility;4;80;3,34477;10,0;3750000,0;3000,0;145,5;4,0;3704285,0;3478262,5;133,5
KingstonImprovedOverNSNMobility;5;20;8,81135;10,0;3750000,0;3000,0;47,0;4,0;3627435,0;3270440,0;375,0
KingstonImprovedOverNSNMobility;5;100;3,87586;10,0;3750000,0;3000,0;275,0;4,0;3709905,0;3384330,0;174,0
KingstonImprovedOverNSNMobility;6;60;5,58508;10,0;3750000,0;3000,0;117,5;4,0;3671060,0;3333087,5;192,0
KingstonImprovedOverNSNMobility;8;80;6,07315;10,0;3750000,0;3000,0;165,0;4,0;3683112,5;3241542,5;178,5
KingstonImprovedOverNSNMobility;10;20;18,48717;10,0;3750000,0;3000,0;61,0;4,0;3489320,0;2760120,0;453,0
KingstonImprovedOverNSNMobility;10;40;12,05952;10,0;3750000,0;3000,0;95,0;4,0;3567665,0;2927665,0;268,5
KingstonImprovedOverNSNMobility;10;100;7,022745;10,0;3750000,0;3000,0;319,5;4,0;3681610,0;3135162,5;135,5
KingstonImprovedOverNSNMobility;15;60;14,781585;10,0;3750000,0;3000,0;163,0;4,0;3525450,0;2675522,5;150,0
KingstonImprovedOverNSNMobility;20;40;23,208545;10,0;3750000,0;3000,0;133,5;4,0;3396715,0;2154617,5;244,0
KingstonImprovedOverNSNMobility;20;80;15,96545;10,0;3750000,0;3000,0;231,0;4,0;3531980,0;2235210,0;231,0
KingstonImprovedOverNSNMobility;25;100;17,3226;10,0;3750000,0;3000,0;430,0;4,0;3539880,0;1774960,0;251,0
KingstonImprovedOverNSNMobility;30;60;28,663275;10,0;3750000,0;3000,0;232,5;4,0;3285607,5;1532287,5;220,5
KingstonImprovedOverNSNMobility;40;80;36,70422;10,0;3750000,0;3000,0;305,0;4,0;3141380,0;371580,0;90,0
KingstonImprovedOverNSNMobility;50;100;41,34138;10,0;3750000,0;3000,0;533,0;4,0;3202035,0;-424100,0;161,0
