Strategy;nUAV;nPOIs;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;2;20;3.72619;10.0;3750000.0;3000.0;34.0;4.0;3697700.0;3521140.0;350.5
KingstonImprovedOverNSNMobility;4;20;7.260775;10.0;3750000.0;3000.0;42.0;4.0;3657390.0;3313730.0;350.5
KingstonImprovedOverNSNMobility;8;20;14.031675;10.0;3750000.0;3000.0;54.0;4.0;3558302.5;2960652.5;350.5
KingstonImprovedOverNSNMobility;16;20;27.57437;10.0;3750000.0;3000.0;77.0;4.0;3365470.0;2186742.5;350.5
TSPbasedMobility;2;20;3.293805;10.0;3750000.0;3000.0;80.0;4.0;3629565.0;3623470.0;554.5
TSPbasedMobility;4;20;6.605975;10.0;3750000.0;3000.0;86.0;4.0;3507570.0;3494750.0;547.0
TSPbasedMobility;8;20;13.272835;10.0;3750000.0;3000.0;94.5;4.0;3266737.5;3239347.5;557.0
TSPbasedMobility;16;20;26.5119;10.0;3750000.0;3000.0;112.0;4.0;2774895.0;2721022.5;536.0
ZigZagOverNSNMobility;2;20;3.620395;10.0;3750000.0;3000.0;34.0;4.0;3682065.0;3583617.5;350.5
ZigZagOverNSNMobility;4;20;7.217485;10.0;3750000.0;3000.0;39.0;4.0;3613505.0;3417857.5;350.5
ZigZagOverNSNMobility;8;20;14.309185;10.0;3750000.0;3000.0;47.0;4.0;3479472.5;3099742.5;350.5
ZigZagOverNSNMobility;16;20;28.294005;10.0;3750000.0;3000.0;63.0;4.0;3203640.0;2523665.0;350.0
