Strategy;nUAV;nPOIs;;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KIMPOverNSN;1;20;count;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0
KIMPOverNSN;1;20;mean;0.0;10.0;3.0;3000.0;20.0425;4.0;3.0;3.0;0.0
KIMPOverNSN;1;20;std;0.0;0.0;0.0;0.0;6.71964118791;0.0;0.0;0.0;0.0
KIMPOverNSN;1;20;min;0.0;10.0;3.0;3000.0;11.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;20;25%;0.0;10.0;3.0;3000.0;13.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;20;50%;0.0;10.0;3.0;3000.0;19.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;20;75%;0.0;10.0;3.0;3000.0;25.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;20;max;0.0;10.0;3.0;3000.0;43.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;40;count;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0
KIMPOverNSN;1;40;mean;0.0;10.0;3.0;3000.0;26.47;4.0;3.0;3.0;0.0
KIMPOverNSN;1;40;std;0.0;0.0;0.0;0.0;8.92542761695;0.0;0.0;0.0;0.0
KIMPOverNSN;1;40;min;0.0;10.0;3.0;3000.0;13.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;40;25%;0.0;10.0;3.0;3000.0;18.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;40;50%;0.0;10.0;3.0;3000.0;27.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;40;75%;0.0;10.0;3.0;3000.0;34.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;40;max;0.0;10.0;3.0;3000.0;60.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;60;count;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0
KIMPOverNSN;1;60;mean;0.0;10.0;3.0;3000.0;28.6375;4.0;3.0;3.0;0.0
KIMPOverNSN;1;60;std;0.0;0.0;0.0;0.0;10.0637613237;0.0;0.0;0.0;0.0
KIMPOverNSN;1;60;min;0.0;10.0;3.0;3000.0;15.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;60;25%;0.0;10.0;3.0;3000.0;19.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;60;50%;0.0;10.0;3.0;3000.0;27.5;4.0;3.0;3.0;0.0
KIMPOverNSN;1;60;75%;0.0;10.0;3.0;3000.0;37.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;60;max;0.0;10.0;3.0;3000.0;69.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;80;count;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0
KIMPOverNSN;1;80;mean;0.0;10.0;3.0;3000.0;29.885;4.0;3.0;3.0;0.0
KIMPOverNSN;1;80;std;0.0;0.0;0.0;0.0;9.32303988416;0.0;0.0;0.0;0.0
KIMPOverNSN;1;80;min;0.0;10.0;3.0;3000.0;16.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;80;25%;0.0;10.0;3.0;3000.0;22.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;80;50%;0.0;10.0;3.0;3000.0;28.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;80;75%;0.0;10.0;3.0;3000.0;37.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;80;max;0.0;10.0;3.0;3000.0;56.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;100;count;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0
KIMPOverNSN;1;100;mean;0.0;10.0;3.0;3000.0;33.2825;4.0;3.0;3.0;0.0
KIMPOverNSN;1;100;std;0.0;0.0;0.0;0.0;10.5211420399;0.0;0.0;0.0;0.0
KIMPOverNSN;1;100;min;0.0;10.0;3.0;3000.0;18.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;100;25%;0.0;10.0;3.0;3000.0;24.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;100;50%;0.0;10.0;3.0;3000.0;33.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;100;75%;0.0;10.0;3.0;3000.0;41.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;100;max;0.0;10.0;3.0;3000.0;70.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;200;count;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0;400.0
KIMPOverNSN;1;200;mean;0.0;10.0;3.0;3000.0;55.6;4.0;3.0;3.0;0.0
KIMPOverNSN;1;200;std;0.0;0.0;0.0;0.0;13.5154232885;0.0;0.0;0.0;0.0
KIMPOverNSN;1;200;min;0.0;10.0;3.0;3000.0;31.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;200;25%;0.0;10.0;3.0;3000.0;45.75;4.0;3.0;3.0;0.0
KIMPOverNSN;1;200;50%;0.0;10.0;3.0;3000.0;56.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;200;75%;0.0;10.0;3.0;3000.0;65.0;4.0;3.0;3.0;0.0
KIMPOverNSN;1;200;max;0.0;10.0;3.0;3000.0;103.0;4.0;3.0;3.0;0.0
