Strategy;nUAV;nPOIs;;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;nMsgs;tourSize;Unnamed: 14
TSPbased;10;100;count;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;0.0
TSPbased;10;100;mean;0.328732333333;71.0;360000.0;30000.0;1827967.83333;4.0;359143.5;358006.666667;29189.4666667;19059.1333333;1124637.76667;
TSPbased;10;100;std;0.0508398995281;0.0;0.0;0.0;730.285540911;0.0;149.407738802;340.970555239;2314.40280125;3472.62392826;91776.5340858;
TSPbased;10;100;min;0.26236;71.0;360000.0;30000.0;1826679.0;4.0;358815.0;357340.0;25567.0;14521.0;943535.0;
TSPbased;10;100;25%;0.29238;71.0;360000.0;30000.0;1827430.25;4.0;359100.0;357771.25;27764.25;16459.0;1058787.5;
TSPbased;10;100;50%;0.31312;71.0;360000.0;30000.0;1828033.5;4.0;359147.5;358052.5;28717.5;19604.5;1143623.0;
TSPbased;10;100;75%;0.36784;71.0;360000.0;30000.0;1828522.5;4.0;359243.75;358245.0;31355.0;19952.5;1182311.75;
TSPbased;10;100;max;0.44107;71.0;360000.0;30000.0;1829450.0;4.0;359365.0;358615.0;34207.0;26923.0;1266283.0;
ZigZagOverNSN;10;100;count;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;30.0;0.0
ZigZagOverNSN;10;100;mean;4.949295;71.0;360000.0;30000.0;21922.1;4.0;350944.833333;336133.333333;6554.0;320157.366667;221379.366667;
ZigZagOverNSN;10;100;std;0.337696573015;0.0;0.0;0.0;470.169620896;0.0;693.115758025;1742.54141262;286.763268941;21322.9785887;11926.2229951;
ZigZagOverNSN;10;100;min;4.27718;71.0;360000.0;30000.0;20894.0;4.0;349690.0;332435.0;5828.0;274851.0;201103.0;
ZigZagOverNSN;10;100;25%;4.76542;71.0;360000.0;30000.0;21640.25;4.0;350450.0;334777.5;6330.0;305324.25;212088.5;
ZigZagOverNSN;10;100;50%;5.015395;71.0;360000.0;30000.0;22024.0;4.0;350750.0;336090.0;6578.5;324783.5;218167.5;
ZigZagOverNSN;10;100;75%;5.2079925;71.0;360000.0;30000.0;22294.5;4.0;351360.0;337078.75;6736.0;334164.25;228183.0;
ZigZagOverNSN;10;100;max;5.55379;71.0;360000.0;30000.0;22659.0;4.0;352260.0;339175.0;7051.0;363380.0;246800.0;
