Strategy;nUAV;nPOIs;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;nMsgs;tourSize;mapa
FPPWRMobility;1;20;0.7312361;71.0;36000.0;30000.0;1109.62;1.0;35811.45;35654.85;6167.49;828.95;205170.24;50.5
FPPWRMobility;2;20;0.7292983;71.0;36000.0;30000.0;1225.39;1.0;35813.0;35653.15;6181.69;829.91;205170.24;50.5
FPPWRMobility;2;40;0.390288;71.0;36000.0;30000.0;1531.88;1.0;35936.9;35777.65;11144.25;670.82;402511.52;50.5
FPPWRMobility;3;60;0.263928;71.0;36000.0;30000.0;1904.44;1.0;35950.8;35812.6;14841.27;873.45;596145.33;50.5
FPPWRMobility;4;40;0.39033;71.0;36000.0;30000.0;1797.81;1.0;35935.2;35776.45;11166.72;673.76;402511.52;50.5
FPPWRMobility;4;80;0.2083214;71.0;36000.0;30000.0;2295.94;1.0;35992.85;35865.95;1243.12;87.84;781613.8;50.5
FPPWRMobility;5;20;0.7551738;71.0;36000.0;30000.0;1602.85;1.0;35810.35;35633.65;6175.88;834.81;205170.24;50.5
FPPWRMobility;5;100;0.1680234;71.0;36000.0;30000.0;2808.16;1.0;36000.0;35867.4;-1.0;0.0;976427.19;50.5
FPPWRMobility;6;60;0.2653542;71.0;36000.0;30000.0;2339.99;1.0;35950.8;35807.95;14808.65;880.04;596145.33;50.5
FPPWRMobility;8;80;0.2084513;71.0;36000.0;30000.0;3150.14;1.0;35992.3;35865.15;1234.48;88.87;781613.8;50.5
FPPWRMobility;10;20;1.0862289;71.0;36000.0;30000.0;2693.28;1.0;35723.1;35483.3;6170.93;1116.74;205170.24;50.5
FPPWRMobility;10;40;0.398267;71.0;36000.0;30000.0;3170.08;1.0;35935.55;35768.85;11163.43;675.51;402511.52;50.5
FPPWRMobility;10;100;0.1677913;71.0;36000.0;30000.0;4195.94;1.0;36000.0;35867.75;-1.0;0.0;976427.19;50.5
FPPWRMobility;15;60;0.2677127;71.0;36000.0;30000.0;5770.58;1.0;35951.05;35802.25;14804.88;874.39;596145.33;50.5
FPPWRMobility;20;40;0.5739134;71.0;36000.0;30000.0;8371.32;1.0;35920.7;35667.55;11164.44;734.56;402511.52;50.5
FPPWRMobility;20;80;0.2110595;71.0;36000.0;30000.0;9577.0;1.0;35992.5;35853.8;1237.42;87.91;781613.8;50.5
FPPWRMobility;25;100;0.1686458;71.0;36000.0;30000.0;14436.13;1.0;36000.0;35863.5;-1.0;0.0;976427.19;50.5
FPPWRMobility;30;60;0.3910184;71.0;36000.0;30000.0;18743.73;1.0;35946.85;35709.2;14846.5;875.53;596145.33;50.5
FPPWRMobility;40;80;0.3062623;71.0;36000.0;30000.0;34139.1;1.0;35992.2;35757.35;1239.19;87.62;781613.8;50.5
FPPWRMobility;50;100;0.2448153;71.0;36000.0;30000.0;53704.83;1.0;36000.0;35764.25;-1.0;0.0;976427.19;50.5
ZigZagOverNSN;1;20;1.6404236;71.0;36000.0;30000.0;993.68;1.0;35713.85;35181.75;5142.99;1894.29;97941.5;50.5
ZigZagOverNSN;2;20;1.6320483;71.0;36000.0;30000.0;1100.49;1.0;35718.2;35189.65;5127.02;1891.05;97941.5;50.5
ZigZagOverNSN;2;40;1.125663;71.0;36000.0;30000.0;1391.3;1.0;35815.55;35421.65;7436.83;2467.35;140227.51;50.5
ZigZagOverNSN;3;60;0.8948677;71.0;36000.0;30000.0;1794.13;1.0;35854.45;35527.1;9180.25;2544.68;171826.33;50.5
ZigZagOverNSN;4;40;1.1577076;71.0;36000.0;30000.0;1679.86;1.0;35785.95;35384.15;7348.72;2477.78;140227.51;50.5
ZigZagOverNSN;4;80;0.7547151;71.0;36000.0;30000.0;2318.17;1.0;35873.0;35564.3;10698.8;2478.06;198601.13;50.5
ZigZagOverNSN;5;20;2.3946809;71.0;36000.0;30000.0;1451.26;1.0;35590.35;34828.5;4732.1;2664.13;97941.5;50.5
ZigZagOverNSN;5;100;0.6839739;71.0;36000.0;30000.0;2901.2;1.0;35917.75;35630.5;12123.2;3101.23;223806.49;50.5
ZigZagOverNSN;6;60;1.0933591;71.0;36000.0;30000.0;2288.52;1.0;35857.85;35449.15;8919.99;2690.01;171826.33;50.5
ZigZagOverNSN;8;80;0.9961109;71.0;36000.0;30000.0;3139.5;1.0;35859.9;35433.8;10597.22;2473.66;198601.13;50.5
ZigZagOverNSN;10;20;4.2314444;71.0;36000.0;30000.0;2369.95;1.0;35386.3;30320.9;4613.77;4413.16;97941.5;50.5
ZigZagOverNSN;10;40;2.0883956;71.0;36000.0;30000.0;2869.95;1.0;35669.15;34132.0;6798.55;4270.55;140227.51;50.5
ZigZagOverNSN;10;100;0.9468;71.0;36000.0;30000.0;4201.61;1.0;35869.95;35111.15;11292.01;3134.45;223806.49;50.5
ZigZagOverNSN;15;60;1.887049;71.0;36000.0;30000.0;5208.45;1.0;35680.25;35058.5;7111.28;6048.05;171826.33;50.5
ZigZagOverNSN;20;40;3.4436874;71.0;36000.0;30000.0;6586.0;1.0;35379.2;34356.15;5209.9;6795.75;140227.51;50.5
ZigZagOverNSN;20;80;1.7755103;71.0;36000.0;30000.0;7772.55;1.0;35683.65;35054.6;8548.84;6187.24;198601.13;50.5
ZigZagOverNSN;25;100;1.7044623;71.0;36000.0;30000.0;11673.98;1.0;35716.1;35130.05;9625.67;7804.23;223806.49;50.5
ZigZagOverNSN;30;60;3.3062041;71.0;36000.0;30000.0;14255.15;1.0;35450.65;34383.65;6128.46;9862.98;171826.33;50.5
ZigZagOverNSN;40;80;3.1777376;71.0;36000.0;30000.0;26478.59;1.0;35457.9;34461.35;7371.7;11632.52;198601.13;50.5
ZigZagOverNSN;50;100;3.070051;71.0;36000.0;30000.0;44740.81;1.0;35473.2;34492.4;8466.07;12919.99;223806.49;50.5
