Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData
TSPbasedMobility;20;2;3.06597;10;3750000;3000;427;4;3638400;3632645
TSPbasedMobility;20;2;3.70311;10;3750000;3000;178;4;3613930;3607080
TSPbasedMobility;20;2;3.69099;10;3750000;3000;80;4;3614510;3608675
TSPbasedMobility;20;2;3.26111;10;3750000;3000;97;4;3630590;3624900
TSPbasedMobility;20;2;3.43929;10;3750000;3000;118;4;3623505;3618070
TSPbasedMobility;20;4;6.22035;10;3750000;3000;1403;4;3522940;3513195
TSPbasedMobility;20;4;7.50607;10;3750000;3000;64;4;3475395;3463940
TSPbasedMobility;20;4;6.21296;10;3750000;3000;85;4;3529150;3383755
TSPbasedMobility;20;4;6.61444;10;3750000;3000;49;4;3506760;3496060
TSPbasedMobility;20;4;6.82680;10;3750000;3000;82;4;3499480;3489150
TSPbasedMobility;20;8;13.39081;10;3750000;3000;54;4;3258245;3238440
TSPbasedMobility;20;8;11.57921;10;3750000;3000;2554;4;3324515;3308050
TSPbasedMobility;20;8;13.74312;10;3750000;3000;114;4;3244615;3224000
TSPbasedMobility;20;8;13.59043;10;3750000;3000;63;4;3251200;3230645
TSPbasedMobility;20;8;13.62253;10;3750000;3000;135;4;3247400;3227560
TSPbasedMobility;20;16;23.71522;10;3750000;3000;78;4;2877170;2841330
TSPbasedMobility;20;16;21.34688;10;3750000;3000;116;4;2963750;2932130
TSPbasedMobility;20;16;29.08866;10;3750000;3000;82;4;2681120;2639160
TSPbasedMobility;20;16;28.66877;10;3750000;3000;71;4;2694845;2654175
TSPbasedMobility;20;16;26.35224;10;3750000;3000;75;4;2783590;2745375
NotSoNaiveOrderedMobility;20;2;2.51838;10;3750000;3000;35;4;3658085;3653970
NotSoNaiveOrderedMobility;20;4;5.77187;10;3750000;3000;38;4;3545400;3417045
NotSoNaiveOrderedMobility;20;8;10.64646;10;3750000;3000;47;4;3358770;3342855
NotSoNaiveOrderedMobility;20;16;23.30195;10;3750000;3000;69;4;2926135;2410585
ZigZagOverNSNMobility;20;2;3.25096;10;3750000;3000;39;4;3631950;3626195
ZigZagOverNSNMobility;20;4;5.63191;10;3750000;3000;43;4;3549340;3431225
ZigZagOverNSNMobility;20;8;12.97159;10;3750000;3000;52;4;3276470;3258130
ZigZagOverNSNMobility;20;16;27.58219;10;3750000;3000;74;4;2739970;2700995
NotSoNaiveOrderedMobility;20;2;2.91427;10;3750000;3000;40;4;3642710;3637730
NotSoNaiveOrderedMobility;20;4;5.22877;10;3750000;3000;43;4;3563065;3466790
NotSoNaiveOrderedMobility;20;8;10.67621;10;3750000;3000;52;4;3367295;3157635
NotSoNaiveOrderedMobility;20;16;22.01355;10;3750000;3000;73;4;2937930;2905390
ZigZagOverNSNMobility;20;2;2.56754;10;3750000;3000;41;4;3656170;3651525
ZigZagOverNSNMobility;20;4;6.02412;10;3750000;3000;45;4;3536260;3400630
ZigZagOverNSNMobility;20;8;10.20204;10;3750000;3000;49;4;3385785;3185690
ZigZagOverNSNMobility;20;16;25.17006;10;3750000;3000;77;4;2826450;2788395
NotSoNaiveOrderedMobility;20;2;2.17817;10;3750000;3000;39;4;3670170;3666625
NotSoNaiveOrderedMobility;20;4;6.13541;10;3750000;3000;42;4;3526120;3515600
NotSoNaiveOrderedMobility;20;8;11.43033;10;3750000;3000;53;4;3348220;3139425
NotSoNaiveOrderedMobility;20;16;26.67547;10;3750000;3000;73;4;2769935;2730205
ZigZagOverNSNMobility;20;2;2.51698;10;3750000;3000;40;4;3658020;3653695
ZigZagOverNSNMobility;20;4;5.40424;10;3750000;3000;42;4;3556910;3456510
ZigZagOverNSNMobility;20;8;12.34117;10;3750000;3000;51;4;3322500;3041695
ZigZagOverNSNMobility;20;16;19.33334;10;3750000;3000;74;4;3043260;3014355
NotSoNaiveOrderedMobility;20;2;2.93335;10;3750000;3000;40;4;3642700;3637525
NotSoNaiveOrderedMobility;20;4;5.84877;10;3750000;3000;46;4;3536215;3526755
NotSoNaiveOrderedMobility;20;8;13.92529;10;3750000;3000;50;4;3238095;3216955
NotSoNaiveOrderedMobility;20;16;24.81067;10;3750000;3000;71;4;2861465;2305920
ZigZagOverNSNMobility;20;2;2.81863;10;3750000;3000;40;4;3646600;3642340
ZigZagOverNSNMobility;20;4;5.93738;10;3750000;3000;44;4;3531760;3521770
ZigZagOverNSNMobility;20;8;10.73100;10;3750000;3000;51;4;3353795;3338750
ZigZagOverNSNMobility;20;16;29.01321;10;3750000;3000;70;4;2674175;2636520
NotSoNaiveOrderedMobility;20;2;3.50002;10;3750000;3000;38;4;3622300;3615755
NotSoNaiveOrderedMobility;20;4;5.57414;10;3750000;3000;44;4;3545050;3536525
NotSoNaiveOrderedMobility;20;8;11.20145;10;3750000;3000;49;4;3338050;3321040
NotSoNaiveOrderedMobility;20;16;24.16348;10;3750000;3000;73;4;2892525;2329490
ZigZagOverNSNMobility;20;2;3.75765;10;3750000;3000;40;4;3612365;3606105
ZigZagOverNSNMobility;20;4;5.85663;10;3750000;3000;43;4;3533600;3524910
ZigZagOverNSNMobility;20;8;12.52381;10;3750000;3000;51;4;3286905;3267945
ZigZagOverNSNMobility;20;16;21.01762;10;3750000;3000;72;4;2978355;2948075
NotSoNaiveOrderedMobility;20;2;2.49673;10;3750000;3000;40;4;3658780;3654395
NotSoNaiveOrderedMobility;20;4;6.90006;10;3750000;3000;42;4;3496700;3485690
NotSoNaiveOrderedMobility;20;8;11.05019;10;3750000;3000;50;4;3355615;3109230
NotSoNaiveOrderedMobility;20;16;23.93007;10;3750000;3000;70;4;2870570;2835405
ZigZagOverNSNMobility;20;2;3.45033;10;3750000;3000;40;4;3622865;3616655
ZigZagOverNSNMobility;20;4;5.22941;10;3750000;3000;44;4;3557515;3550100
ZigZagOverNSNMobility;20;8;12.94119;10;3750000;3000;52;4;3272960;3254370
ZigZagOverNSNMobility;20;16;23.34042;10;3750000;3000;73;4;2889550;2852030
NotSoNaiveOrderedMobility;20;2;3.23265;10;3750000;3000;36;4;3631420;3625920
NotSoNaiveOrderedMobility;20;4;5.25270;10;3750000;3000;44;4;3556735;3548290
NotSoNaiveOrderedMobility;20;8;10.19948;10;3750000;3000;52;4;3387730;3149175
NotSoNaiveOrderedMobility;20;16;27.29847;10;3750000;3000;74;4;2743750;2706805
ZigZagOverNSNMobility;20;2;3.42667;10;3750000;3000;40;4;3624650;3618565
ZigZagOverNSNMobility;20;4;6.59777;10;3750000;3000;44;4;3509655;3474470
ZigZagOverNSNMobility;20;8;10.85530;10;3750000;3000;52;4;3372350;3112190
ZigZagOverNSNMobility;20;16;27.35815;10;3750000;3000;74;4;2786075;2301130
NotSoNaiveOrderedMobility;20;2;3.14104;10;3750000;3000;41;4;3635195;3630275
NotSoNaiveOrderedMobility;20;4;7.44273;10;3750000;3000;46;4;3477890;3465425
NotSoNaiveOrderedMobility;20;8;8.17456;10;3750000;3000;49;4;3456045;3363255
NotSoNaiveOrderedMobility;20;16;21.72971;10;3750000;3000;74;4;2971005;2539700
ZigZagOverNSNMobility;20;2;2.76857;10;3750000;3000;39;4;3654225;3587185
