Strategy,nPOIs,nUAV,SucessTax,V2V_range,nRounds,dimX,simumationTimeMS,TSP_threads,maxData,minData
TSPbasedMobility,10,2,4.30671,10,3750000,3000,29segs,2_TSP_thread,3591880,3584800
AntiTSPbasedMobility,10,2,1.59628,10,3750000,3000,34segs,2_TSP_thread,3694800,3661530
TSPbasedMobility,10,2,3.78785,10,3750000,3000,30segs,2_TSP_thread,3609970,3603635
AntiTSPbasedMobility,10,2,1.63433,10,3750000,3000,30segs,2_TSP_thread,3690065,3687235
TSPbasedMobility,10,4,8.43192,10,3750000,3000,34segs,2_TSP_thread,3442880,3429255
AntiTSPbasedMobility,10,4,4.13741,10,3750000,3000,36segs,2_TSP_thread,3613935,3529220
TSPbasedMobility,10,4,8.00371,10,3750000,3000,33segs,2_TSP_thread,3455205,3443005
AntiTSPbasedMobility,10,4,2.80515,10,3750000,3000,35segs,2_TSP_thread,3654865,3567875
TSPbasedMobility,10,8,17.57175,10,3750000,3000,44segs,2_TSP_thread,3100630,3076735
AntiTSPbasedMobility,10,8,6.05047,10,3750000,3000,46segs,2_TSP_thread,3541050,3402760
TSPbasedMobility,10,8,15.95681,10,3750000,3000,44segs,2_TSP_thread,3162065,3140620
AntiTSPbasedMobility,10,8,7.83049,10,3750000,3000,49segs,2_TSP_thread,3504815,3189630
TSPbasedMobility,10,16,29.72473,10,3750000,3000,66segs,2_TSP_thread,2659800,2618420
AntiTSPbasedMobility,10,16,21.27731,10,3750000,3000,73segs,2_TSP_thread,3089530,2172120
TSPbasedMobility,10,16,27.63169,10,3750000,3000,65segs,2_TSP_thread,2729725,2691410
AntiTSPbasedMobility,10,16,14.05493,10,3750000,3000,64segs,2_TSP_thread,3286850,2980280
NotSoNaiveOrderedMobility,10,2,3.56761,10,3750000,3000,34segs,2_TSP_thread,3618880,3612785
NotSoNaiveOrderedMobility,10,4,7.67453,10,3750000,3000,40segs,2_TSP_thread,3468850,3457255
NotSoNaiveOrderedMobility,10,8,15.06071,10,3750000,3000,52segs,2_TSP_thread,3194405,3172495
NotSoNaiveOrderedMobility,10,16,29.53327,10,3750000,3000,92segs,2_TSP_thread,2662500,2623705
ZigZagOverNSNMobility,10,2,3.85128,10,3750000,3000,44segs,2_TSP_thread,3616210,3536785
ZigZagOverNSNMobility,10,4,6.88333,10,3750000,3000,49segs,2_TSP_thread,3496790,3485760
ZigZagOverNSNMobility,10,8,13.61808,10,3750000,3000,60segs,2_TSP_thread,3246125,3229195
ZigZagOverNSNMobility,10,16,25.39537,10,3750000,3000,96segs,2_TSP_thread,2812450,2773255
NotSoNaiveOrderedMobility,10,2,3.30732,10,3750000,3000,41segs,2_TSP_thread,3628335,3623545
NotSoNaiveOrderedMobility,10,4,5.79372,10,3750000,3000,48segs,2_TSP_thread,3544820,3465820
NotSoNaiveOrderedMobility,10,8,16.61592,10,3750000,3000,61segs,2_TSP_thread,3138585,3113925
NotSoNaiveOrderedMobility,10,16,29.23124,10,3750000,3000,91segs,2_TSP_thread,2670900,2629175
ZigZagOverNSNMobility,10,2,3.00559,10,3750000,3000,39segs,2_TSP_thread,3640355,3635000
ZigZagOverNSNMobility,10,4,7.41149,10,3750000,3000,47segs,2_TSP_thread,3477215,3466835
ZigZagOverNSNMobility,10,8,13.76937,10,3750000,3000,57segs,2_TSP_thread,3243760,3224825
ZigZagOverNSNMobility,10,16,23.46843,10,3750000,3000,94segs,2_TSP_thread,2882680,2850705
NotSoNaiveOrderedMobility,10,2,4.09317,10,3750000,3000,42segs,2_TSP_thread,3599280,3592030
NotSoNaiveOrderedMobility,10,4,8.09713,10,3750000,3000,49segs,2_TSP_thread,3452805,3440450
NotSoNaiveOrderedMobility,10,8,13.56656,10,3750000,3000,60segs,2_TSP_thread,3247130,3227850
NotSoNaiveOrderedMobility,10,16,24.95747,10,3750000,3000,93segs,2_TSP_thread,2828670,2792455
ZigZagOverNSNMobility,10,2,3.59367,10,3750000,3000,40segs,2_TSP_thread,3618060,3613095
ZigZagOverNSNMobility,10,4,7.24363,10,3750000,3000,47segs,2_TSP_thread,3482815,3473685
ZigZagOverNSNMobility,10,8,17.45404,10,3750000,3000,56segs,2_TSP_thread,3105810,3080485
ZigZagOverNSNMobility,10,16,36.56695,10,3750000,3000,97segs,2_TSP_thread,2833010,2065810
NotSoNaiveOrderedMobility,10,2,3.10987,10,3750000,3000,41segs,2_TSP_thread,3635165,3630725
