Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KingstonImprovedOverNSNMobility;200;50;25,25508;10;375000;3000;84;4;339055;179135;53
KingstonImprovedOverNSNMobility;200;10;4,64861;10;375000;3000;45;4;371140;306320;86
KingstonImprovedOverNSNMobility;200;20;9,11611;10;375000;3000;54;4;367315;246005;10
KingstonImprovedOverNSNMobility;200;100;55,94819;10;375000;3000;179;4;290940;-284475;32
KingstonImprovedOverNSNMobility;200;50;23,30518;10;375000;3000;89;4;347200;93710;109
KingstonImprovedOverNSNMobility;200;10;4,62789;10;375000;3000;46;4;368780;321470;33
KingstonImprovedOverNSNMobility;200;20;8,38351;10;375000;3000;57;4;366145;250175;146
KingstonImprovedOverNSNMobility;200;100;59,88916;10;375000;3000;193;4;281260;-272795;22
KingstonImprovedOverNSNMobility;200;50;29,03255;10;375000;3000;89;4;338175;-8660;115
KingstonImprovedOverNSNMobility;200;10;4,51789;10;375000;3000;47;4;371085;303810;171
KingstonImprovedOverNSNMobility;200;20;7,89213;10;375000;3000;57;4;369150;283430;15
KingstonImprovedOverNSNMobility;200;100;52,82077;10;375000;3000;188;4;285295;-31795;84
KingstonImprovedOverNSNMobility;200;50;28,55567;10;375000;3000;88;4;343950;89735;40
KingstonImprovedOverNSNMobility;200;10;4,51579;10;375000;3000;47;4;371390;310260;56
KingstonImprovedOverNSNMobility;200;20;8,91846;10;375000;3000;56;4;365420;268860;161
KingstonImprovedOverNSNMobility;200;100;55,22399;10;375000;3000;181;4;288870;-264520;31
KingstonImprovedOverNSNMobility;200;50;22,32517;10;375000;3000;83;4;342715;159090;75
KingstonImprovedOverNSNMobility;200;10;4,06725;10;375000;3000;46;4;370445;333960;146
KingstonImprovedOverNSNMobility;200;20;8,57293;10;375000;3000;53;4;366445;288110;151
KingstonImprovedOverNSNMobility;200;100;57,93959;10;375000;3000;181;4;280795;-105760;34
KingstonImprovedOverNSNMobility;200;50;29,74620;10;375000;3000;85;4;339710;38735;34
KingstonImprovedOverNSNMobility;200;10;4,61145;10;375000;3000;44;4;371460;309780;177
KingstonImprovedOverNSNMobility;200;20;8,92869;10;375000;3000;55;4;363080;273500;99
KingstonImprovedOverNSNMobility;200;100;58,52143;10;375000;3000;176;4;279030;-101860;141
KingstonImprovedOverNSNMobility;200;50;28,00151;10;375000;3000;86;4;345490;-62195;284
KingstonImprovedOverNSNMobility;200;10;4,44621;10;375000;3000;47;4;370890;326635;5
KingstonImprovedOverNSNMobility;200;20;10,56235;10;375000;3000;57;4;366980;204610;261
KingstonImprovedOverNSNMobility;200;100;57,81449;10;375000;3000;181;4;280490;-334320;122
KingstonImprovedOverNSNMobility;200;50;28,89725;10;375000;3000;88;4;341420;92305;174
KingstonImprovedOverNSNMobility;200;10;4,58696;10;375000;3000;46;4;371665;308080;168
KingstonImprovedOverNSNMobility;200;20;9,57886;10;375000;3000;55;4;367960;216365;113
