Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
ZigZagOverNSNMobility;20;16;36.10425;10;3750000;3000;64;4;3027740;2171085;464
KingstonImprovedOverNSNMobility;20;16;37.46781;10;3750000;3000;81;4;3161870;1662600;464
TSPbasedMobility;20;16;27.00696;10;3750000;3000;86;4;2754340;2716370;464
ZigZagOverNSNMobility;20;8;18.27369;10;3750000;3000;48;4;3392970;2935950;464
KingstonImprovedOverNSNMobility;20;8;18.61926;10;3750000;3000;55;4;3488955;2738985;464
TSPbasedMobility;20;8;12.94833;10;3750000;3000;64;4;3273450;3253185;1715
ZigZagOverNSNMobility;20;4;9.19654;10;3750000;3000;38;4;3572300;3335000;464
KingstonImprovedOverNSNMobility;20;4;9.50705;10;3750000;3000;44;4;3609860;3187755;464
TSPbasedMobility;20;4;6.86553;10;3750000;3000;56;4;3497170;3485740;464
ZigZagOverNSNMobility;20;2;4.61768;10;3750000;3000;33;4;3660930;3543150;464
KingstonImprovedOverNSNMobility;20;2;4.78805;10;3750000;3000;34;4;3664390;3418295;464
TSPbasedMobility;20;2;3.10461;10;3750000;3000;53;4;3635495;3630780;2665
ZigZagOverNSNMobility;20;16;30.86414;10;3750000;3000;63;4;3154165;2468810;377
KingstonImprovedOverNSNMobility;20;16;32.31581;10;3750000;3000;79;4;3267785;1920925;378
TSPbasedMobility;20;16;28.74098;10;3750000;3000;104;4;2688725;2648445;378
ZigZagOverNSNMobility;20;8;15.63177;10;3750000;3000;48;4;3454955;3064030;378
KingstonImprovedOverNSNMobility;20;8;16.13359;10;3750000;3000;55;4;3505495;2844680;378
TSPbasedMobility;20;8;13.71028;10;3750000;3000;86;4;3243990;3224215;865
ZigZagOverNSNMobility;20;4;7.89285;10;3750000;3000;41;4;3602865;3393370;378
KingstonImprovedOverNSNMobility;20;4;8.21594;10;3750000;3000;42;4;3632040;3263525;378
TSPbasedMobility;20;4;7.15689;10;3750000;3000;81;4;3486935;3475265;378
KingstonImprovedOverNSNMobility;20;2;3.85213;10;3750000;3000;35;4;3746550;3470040;378
ZigZagOverNSNMobility;20;2;3.94339;10;3750000;3000;36;4;3676340;3572345;378
TSPbasedMobility;20;2;3.17286;10;3750000;3000;68;4;3632880;3627675;865
