Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;msgAVGDelayOnGS
KIMPOverNSN;20;1;0.00000;10;3;3000;24;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;28;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;12;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;12;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;34;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;31;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;17;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;18;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;22;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;19;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;17;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;18;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;34;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;33;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;20;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;17;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;59;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;33;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;22;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;20;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;64;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;56;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;54;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;65;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;24;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;30;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;20;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;14;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;34;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;26;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;32;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;18;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;27;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;30;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;26;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;21;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;32;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;25;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;29;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;28;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;42;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;42;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;26;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;21;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;66;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;64;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;64;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;56;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;20;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;18;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;21;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;18;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;34;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;36;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;20;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;16;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;38;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;22;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;20;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;32;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;34;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;21;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;21;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;18;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;47;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;48;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;32;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;33;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;78;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;63;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;76;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;52;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;33;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;24;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;12;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;14;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;19;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;25;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;15;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;14;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;28;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;20;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;27;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;35;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;23;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;37;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;18;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;19;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;38;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;49;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;23;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;20;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;52;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;58;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;55;4;3;3;0
KIMPOverNSN;200;1;0.00000;10;3;3000;35;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;26;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;38;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;36;4;3;3;0
KIMPOverNSN;20;1;0.00000;10;3;3000;12;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;39;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;38;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;34;4;3;3;0
KIMPOverNSN;40;1;0.00000;10;3;3000;37;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;16;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;39;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;47;4;3;3;0
KIMPOverNSN;60;1;0.00000;10;3;3000;17;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;27;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;47;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;26;4;3;3;0
KIMPOverNSN;80;1;0.00000;10;3;3000;18;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;27;4;3;3;0
KIMPOverNSN;100;1;0.00000;10;3;3000;36;4;3;3;0
