Strategy;nPOIs;nUAV;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;nMsgs;tourSize
TSPbased;100;10;0.27238;71;360000;30000;1827257;1;359395;358515;32885;14538;1228878
TSPbased;100;10;0.26625;71;360000;30000;1828016;1;359325;358555;33577;15040;1263045
TSPbased;100;10;0.33168;71;360000;30000;1826877;1;359165;358175;29351;19736;1112227
TSPbased;100;10;0.35837;71;360000;30000;1826924;1;359195;357835;28953;19675;1070360
TSPbased;100;10;0.28143;71;360000;30000;1826792;1;359345;358565;31519;14488;1197467
TSPbased;100;10;0.39792;71;360000;30000;1827040;1;358805;357885;27893;24592;1005247
TSPbased;100;10;0.30147;71;360000;30000;1827119;1;359130;358465;30189;17952;1164005
TSPbased;100;10;0.30586;71;360000;30000;1826167;1;359140;358185;28830;19587;1140740
TSPbased;100;10;0.31367;71;360000;30000;1827400;1;359160;357020;27205;19692;1141950
TSPbased;100;10;0.38187;71;360000;30000;1826413;1;359010;357830;26928;19740;1026830
TSPbased;100;10;0.36382;71;360000;30000;1826453;1;359140;357820;25416;19935;1056612
TSPbased;100;10;0.31742;71;360000;30000;1826431;1;359175;358170;28414;20492;1163125
TSPbased;100;10;0.26117;71;360000;30000;1827528;1;359335;358605;32279;14600;1263986
TSPbased;100;10;0.44503;71;360000;30000;1825653;1;358810;357315;24674;26821;943913
TSPbased;100;10;0.29032;71;360000;30000;1827745;1;359330;358345;31149;16352;1183631
TSPbased;100;10;0.26239;71;360000;30000;1827383;1;359350;358415;32020;14747;1265752
TSPbased;100;10;0.28383;71;360000;30000;1827290;1;359295;358390;30134;14811;1211380
TSPbased;100;10;0.36914;71;360000;30000;1825899;1;359075;357820;27765;20026;1051075
TSPbased;100;10;0.30315;71;360000;30000;1827285;1;359160;358135;31641;17860;1151399
TSPbased;100;10;0.37696;71;360000;30000;1826600;1;359005;358025;27751;19567;1021424
TSPbased;100;10;0.31876;71;360000;30000;1827549;1;359160;357900;26819;19374;1111475
TSPbased;100;10;0.30518;71;360000;30000;1826643;1;359120;358255;28324;19493;1151767
TSPbased;100;10;0.30349;71;360000;30000;1827921;1;359160;358050;29000;18282;1161822
TSPbased;100;10;0.29596;71;360000;30000;1826773;1;359135;358270;30513;19387;1169627
TSPbased;100;10;0.42826;71;360000;30000;1825890;1;358845;357580;26761;25849;948901
TSPbased;100;10;0.32785;71;360000;30000;1826831;1;359150;358020;31227;19811;1130089
TSPbased;100;10;0.27054;71;360000;30000;1827216;1;359385;357910;30483;14849;1242328
TSPbased;100;10;0.37060;71;360000;30000;1827292;1;359085;357610;25758;19969;1058833
TSPbased;100;10;0.34653;71;360000;30000;1826018;1;359145;357775;27663;19999;1087240
TSPbased;100;10;0.39360;71;360000;30000;1826850;1;358935;357575;27094;22923;1006828
