Strategy;nUAV;nPOIs;;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;nMsgs;tourSize;mapa
FPPWRMobility;1;20;count;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
FPPWRMobility;1;20;mean;0.7312361;71.0;36000.0;30000.0;1109.62;1.0;35811.45;35654.85;6167.49;828.95;205170.24;50.5
FPPWRMobility;1;20;std;0.125937653814;0.0;0.0;0.0;98.7928942768;0.0;43.8390939872;56.820001991;962.51496638;204.242397828;35880.8436215;29.0114919759
FPPWRMobility;1;20;min;0.48472;71.0;36000.0;30000.0;885.0;1.0;35610.0;35430.0;3748.0;571.0;110016.0;1.0
FPPWRMobility;1;20;25%;0.6607625;71.0;36000.0;30000.0;1056.5;1.0;35790.0;35625.0;5557.25;625.75;180575.75;25.75
FPPWRMobility;1;20;50%;0.70729;71.0;36000.0;30000.0;1104.0;1.0;35810.0;35665.0;6127.5;909.0;205948.0;50.5
FPPWRMobility;1;20;75%;0.791665;71.0;36000.0;30000.0;1173.0;1.0;35850.0;35700.0;6724.75;950.75;227541.25;75.25
FPPWRMobility;1;20;max;1.30417;71.0;36000.0;30000.0;1341.0;1.0;35885.0;35745.0;9423.0;1590.0;300462.0;100.0
FPPWRMobility;2;20;count;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
FPPWRMobility;2;20;mean;0.7292983;71.0;36000.0;30000.0;1225.39;1.0;35813.0;35653.15;6181.69;829.91;205170.24;50.5
FPPWRMobility;2;20;std;0.124580290212;0.0;0.0;0.0;105.482144116;0.0;46.5257613011;56.8786365249;959.20083208;199.113443884;35880.8436215;29.0114919759
FPPWRMobility;2;20;min;0.4625;71.0;36000.0;30000.0;938.0;1.0;35610.0;35440.0;3656.0;590.0;110016.0;1.0
FPPWRMobility;2;20;25%;0.6555525;71.0;36000.0;30000.0;1160.0;1.0;35790.0;35615.0;5533.0;624.75;180575.75;25.75
FPPWRMobility;2;20;50%;0.705555;71.0;36000.0;30000.0;1232.5;1.0;35805.0;35665.0;6111.5;905.0;205948.0;50.5
FPPWRMobility;2;20;75%;0.8149275;71.0;36000.0;30000.0;1293.75;1.0;35850.0;35700.0;6714.25;949.5;227541.25;75.25
FPPWRMobility;2;20;max;1.26597;71.0;36000.0;30000.0;1464.0;1.0;35905.0;35745.0;9097.0;1525.0;300462.0;100.0
FPPWRMobility;2;40;count;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
FPPWRMobility;2;40;mean;0.390288;71.0;36000.0;30000.0;1531.88;1.0;35936.9;35777.65;11144.25;670.82;402511.52;50.5
FPPWRMobility;2;40;std;0.0472794897339;0.0;0.0;0.0;133.429683369;0.0;18.8800038521;21.0273391065;1469.34601253;169.413985804;49405.0859099;29.0114919759
FPPWRMobility;2;40;min;0.27326;71.0;36000.0;30000.0;1237.0;1.0;35870.0;35680.0;7897.0;567.0;265853.0;1.0
FPPWRMobility;2;40;25%;0.3554725;71.0;36000.0;30000.0;1441.75;1.0;35935.0;35770.0;10078.75;610.0;367070.0;25.75
FPPWRMobility;2;40;50%;0.386285;71.0;36000.0;30000.0;1532.5;1.0;35940.0;35780.0;11171.0;622.0;401820.0;50.5
FPPWRMobility;2;40;75%;0.42292;71.0;36000.0;30000.0;1624.0;1.0;35946.25;35790.0;12360.25;641.0;441603.75;75.25
FPPWRMobility;2;40;max;0.53229;71.0;36000.0;30000.0;1893.0;1.0;35960.0;35820.0;14791.0;1279.0;515554.0;100.0
FPPWRMobility;3;60;count;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
FPPWRMobility;3;60;mean;0.263928;71.0;36000.0;30000.0;1904.44;1.0;35950.8;35812.6;14841.27;873.45;596145.33;50.5
FPPWRMobility;3;60;std;0.0309735634098;0.0;0.0;0.0;105.921384989;0.0;10.2917050054;33.661115654;4382.80263144;242.42980344;61221.0277692;29.0114919759
FPPWRMobility;3;60;min;0.22222;71.0;36000.0;30000.0;1664.0;1.0;35935.0;35745.0;-1.0;0.0;409695.0;1.0
FPPWRMobility;3;60;25%;0.2420725;71.0;36000.0;30000.0;1823.0;1.0;35945.0;35788.75;14682.5;915.0;557006.0;25.75
