Strategy;nUAV;nPOIs;;SucessTax;V2V_range;nRounds;dimX;simumationTimeMS;TSP_threads;maxData;minData;globalAvgDelay;nMsgs;tourSize;Unnamed: 14
TSPbased;2;20;count;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0
TSPbased;2;20;mean;1.4913262;71.0;36000.0;30000.0;135913.62;4.0;35560.7;35357.7;2883.36;1846.11;97114.37;
TSPbased;2;20;std;0.145840098855;0.0;0.0;0.0;407431.956021;0.0;52.9771248519;61.5761825922;465.971636541;214.32750805;9790.97615118;
TSPbased;2;20;min;1.09306;71.0;36000.0;30000.0;5215.0;4.0;35340.0;35135.0;1717.0;1239.0;71733.0;
TSPbased;2;20;25%;1.405555;71.0;36000.0;30000.0;21491.0;4.0;35538.75;35325.0;2610.0;1818.25;91580.75;
TSPbased;2;20;50%;1.503125;71.0;36000.0;30000.0;52990.5;4.0;35565.0;35355.0;2838.5;1865.5;97468.0;
TSPbased;2;20;75%;1.5708325;71.0;36000.0;30000.0;98537.0;4.0;35590.0;35390.0;3098.25;1906.0;101793.5;
TSPbased;2;20;max;2.08819;71.0;36000.0;30000.0;3602090.0;4.0;35745.0;35545.0;4525.0;2544.0;140007.0;
TSPbased;4;20;count;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0
TSPbased;4;20;mean;1.9758682;71.0;36000.0;30000.0;136298.23;4.0;35419.4;35140.4;2905.81;2358.04;97131.3;
TSPbased;4;20;std;0.275108058463;0.0;0.0;0.0;402290.266386;0.0;97.7894047265;115.934237716;493.333245188;386.983227784;9547.29900722;
TSPbased;4;20;min;1.23958;71.0;36000.0;30000.0;5645.0;4.0;35090.0;34705.0;1702.0;1190.0;71733.0;
TSPbased;4;20;25%;1.8413225;71.0;36000.0;30000.0;21532.0;4.0;35365.0;35083.75;2619.25;2164.25;91769.5;
TSPbased;4;20;50%;1.95486;71.0;36000.0;30000.0;54913.5;4.0;35420.0;35142.5;2837.0;2451.5;96907.0;
TSPbased;4;20;75%;2.116495;71.0;36000.0;30000.0;95382.5;4.0;35475.0;35195.0;3101.0;2512.25;102245.0;
TSPbased;4;20;max;3.04792;71.0;36000.0;30000.0;3602220.0;4.0;35750.0;35435.0;4936.0;3734.0;123898.0;
TSPbased;8;20;count;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0
TSPbased;8;20;mean;3.0497085;71.0;36000.0;30000.0;136094.34;4.0;35090.15;34685.8;2842.47;3613.21;96577.13;
TSPbased;8;20;std;0.478388811669;0.0;0.0;0.0;399242.591545;0.0;159.888621272;199.46230752;414.109716955;650.451891015;8474.08997487;
TSPbased;8;20;min;2.00278;71.0;36000.0;30000.0;6284.0;4.0;34365.0;33880.0;1727.0;1855.0;71733.0;
TSPbased;8;20;25%;2.73212;71.0;36000.0;30000.0;22025.5;4.0;35045.0;34585.0;2559.5;3135.0;92691.25;
TSPbased;8;20;50%;3.01736;71.0;36000.0;30000.0;52168.0;4.0;35105.0;34690.0;2811.0;3701.0;96169.0;
TSPbased;8;20;75%;3.24375;71.0;36000.0;30000.0;108533.25;4.0;35181.25;34830.0;3079.0;3777.25;101600.25;
TSPbased;8;20;max;5.13889;71.0;36000.0;30000.0;3602610.0;4.0;35430.0;35180.0;4201.0;6333.0;121000.0;
TSPbased;16;20;count;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0
TSPbased;16;20;mean;5.2326109;71.0;36000.0;30000.0;143003.9;4.0;34436.2;33760.3;2880.95;6093.15;97669.32;
TSPbased;16;20;std;0.927022508143;0.0;0.0;0.0;413840.077138;0.0;297.441208859;416.450744053;448.463986257;1215.6961374;11749.2577757;
TSPbased;16;20;min;1.97014;71.0;36000.0;30000.0;8203.0;4.0;33290.0;32320.0;2103.0;1848.0;74015.0;
TSPbased;16;20;25%;4.7633675;71.0;36000.0;30000.0;24663.0;4.0;34333.75;33561.25;2582.0;5340.75;91047.75;
TSPbased;16;20;50%;5.18368;71.0;36000.0;30000.0;54234.5;4.0;34427.5;33745.0;2824.5;6399.0;96836.0;
TSPbased;16;20;75%;5.7619775;71.0;36000.0;30000.0;100780.0;4.0;34587.5;34057.5;3070.75;6545.5;102156.0;
TSPbased;16;20;max;8.37569;71.0;36000.0;30000.0;3604361.0;4.0;35515.0;35145.0;4444.0;10065.0;170285.0;
ZigZagOverNSN;2;20;count;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0
ZigZagOverNSN;2;20;mean;1.6445624;71.0;36000.0;30000.0;1110.94;4.0;35710.5;35176.75;5156.66;1899.2;97941.5;
ZigZagOverNSN;2;20;std;0.156898129616;0.0;0.0;0.0;111.475215346;0.0;49.4949237271;97.5;483.64688304;229.159553609;9613.3299358;
