[lac2];[Thu Aug 23 10:13:46 -03 2018]; Testes = 1 ; 0% ; Size= 50 ; Map=1.txt 
[lac2];[Thu Aug 23 10:14:27 -03 2018]; Testes = 2 ; 0% ; Size= 50 ; Map=1.txt 
[lac2];[Thu Aug 23 10:22:30 -03 2018]; Testes = 15 ; 5% ; Size= 50 ; Map=3.txt 
[lac2];[Thu Aug 23 10:23:07 -03 2018]; Testes = 16 ; 5% ; Size= 50 ; Map=3.txt 
[lac2];[Thu Aug 23 10:23:44 -03 2018]; Testes = 17 ; 5% ; Size= 50 ; Map=3.txt 
[lac2];[Thu Aug 23 10:31:48 -03 2018]; Testes = 30 ; 10% ; Size= 50 ; Map=5.txt 
[lac2];[Thu Aug 23 10:32:31 -03 2018]; Testes = 31 ; 10% ; Size= 50 ; Map=6.txt 
[lac2];[Thu Aug 23 10:33:15 -03 2018]; Testes = 32 ; 10% ; Size= 50 ; Map=6.txt 
[lac2];[Thu Aug 23 10:41:11 -03 2018]; Testes = 45 ; 15% ; Size= 50 ; Map=8.txt 
[lac2];[Thu Aug 23 10:41:48 -03 2018]; Testes = 46 ; 15% ; Size= 50 ; Map=8.txt 
[lac2];[Thu Aug 23 10:42:29 -03 2018]; Testes = 47 ; 15% ; Size= 50 ; Map=8.txt 
[lac2];[Thu Aug 23 10:50:27 -03 2018]; Testes = 60 ; 20% ; Size= 50 ; Map=10.txt 
[lac2];[Thu Aug 23 10:51:05 -03 2018]; Testes = 61 ; 20% ; Size= 50 ; Map=11.txt 
[lac2];[Thu Aug 23 10:51:47 -03 2018]; Testes = 62 ; 20% ; Size= 50 ; Map=11.txt 
[lac2];[Thu Aug 23 10:59:48 -03 2018]; Testes = 75 ; 25% ; Size= 50 ; Map=13.txt 
[lac2];[Thu Aug 23 11:00:34 -03 2018]; Testes = 76 ; 25% ; Size= 50 ; Map=13.txt 
[lac2];[Thu Aug 23 11:01:12 -03 2018]; Testes = 77 ; 25% ; Size= 50 ; Map=13.txt 
[lac2];[Thu Aug 23 11:09:08 -03 2018]; Testes = 90 ; 30% ; Size= 50 ; Map=15.txt 
[lac2];[Thu Aug 23 11:09:45 -03 2018]; Testes = 91 ; 30% ; Size= 50 ; Map=16.txt 
[lac2];[Thu Aug 23 11:10:27 -03 2018]; Testes = 92 ; 30% ; Size= 50 ; Map=16.txt 
[lac2];[Thu Aug 23 11:18:28 -03 2018]; Testes = 105 ; 35% ; Size= 50 ; Map=18.txt 
[lac2];[Thu Aug 23 11:19:05 -03 2018]; Testes = 106 ; 35% ; Size= 50 ; Map=18.txt 
[lac2];[Thu Aug 23 11:19:43 -03 2018]; Testes = 107 ; 35% ; Size= 50 ; Map=18.txt 
[lac2];[Thu Aug 23 11:27:43 -03 2018]; Testes = 120 ; 40% ; Size= 50 ; Map=20.txt 
[lac2];[Thu Aug 23 11:28:18 -03 2018]; Testes = 121 ; 40% ; Size= 50 ; Map=21.txt 
[lac2];[Thu Aug 23 11:28:59 -03 2018]; Testes = 122 ; 40% ; Size= 50 ; Map=21.txt 
[lac2];[Thu Aug 23 11:36:54 -03 2018]; Testes = 135 ; 45% ; Size= 50 ; Map=23.txt 
[lac2];[Thu Aug 23 11:37:33 -03 2018]; Testes = 136 ; 45% ; Size= 50 ; Map=23.txt 
[lac2];[Thu Aug 23 11:38:13 -03 2018]; Testes = 137 ; 45% ; Size= 50 ; Map=23.txt 
[lac2];[Thu Aug 23 11:46:06 -03 2018]; Testes = 150 ; 50% ; Size= 50 ; Map=25.txt 
[lac2];[Thu Aug 23 11:46:44 -03 2018]; Testes = 151 ; 50% ; Size= 50 ; Map=26.txt 
[lac2];[Thu Aug 23 11:47:32 -03 2018]; Testes = 152 ; 50% ; Size= 50 ; Map=26.txt 
[lac2];[Thu Aug 23 11:55:27 -03 2018]; Testes = 165 ; 55% ; Size= 50 ; Map=28.txt 
[lac2];[Thu Aug 23 11:56:18 -03 2018]; Testes = 166 ; 55% ; Size= 50 ; Map=28.txt 
[lac2];[Thu Aug 23 11:56:57 -03 2018]; Testes = 167 ; 55% ; Size= 50 ; Map=28.txt 
[lac2];[Thu Aug 23 12:04:43 -03 2018]; Testes = 180 ; 60% ; Size= 50 ; Map=30.txt 
[lac2];[Thu Aug 23 12:05:19 -03 2018]; Testes = 181 ; 60% ; Size= 50 ; Map=31.txt 
[lac2];[Thu Aug 23 12:06:00 -03 2018]; Testes = 182 ; 60% ; Size= 50 ; Map=31.txt 
[lac2];[Thu Aug 23 12:13:53 -03 2018]; Testes = 195 ; 65% ; Size= 50 ; Map=33.txt 
[lac2];[Thu Aug 23 12:14:33 -03 2018]; Testes = 196 ; 65% ; Size= 50 ; Map=33.txt 
[lac2];[Thu Aug 23 12:15:09 -03 2018]; Testes = 197 ; 65% ; Size= 50 ; Map=33.txt 
[lac2];[Thu Aug 23 12:23:04 -03 2018]; Testes = 210 ; 70% ; Size= 50 ; Map=35.txt 
[lac2];[Thu Aug 23 12:23:42 -03 2018]; Testes = 211 ; 70% ; Size= 50 ; Map=36.txt 
[lac2];[Thu Aug 23 12:24:26 -03 2018]; Testes = 212 ; 70% ; Size= 50 ; Map=36.txt 
[lac2];[Thu Aug 23 12:32:45 -03 2018]; Testes = 225 ; 75% ; Size= 50 ; Map=38.txt 
[lac2];[Thu Aug 23 12:33:24 -03 2018]; Testes = 226 ; 75% ; Size= 50 ; Map=38.txt 
[lac2];[Thu Aug 23 12:34:00 -03 2018]; Testes = 227 ; 75% ; Size= 50 ; Map=38.txt 
[lac2];[Thu Aug 23 12:43:11 -03 2018]; Testes = 240 ; 80% ; Size= 50 ; Map=40.txt 
[lac2];[Thu Aug 23 12:43:49 -03 2018]; Testes = 241 ; 80% ; Size= 50 ; Map=41.txt 
[lac2];[Thu Aug 23 12:44:39 -03 2018]; Testes = 242 ; 80% ; Size= 50 ; Map=41.txt 
[lac2];[Thu Aug 23 12:52:40 -03 2018]; Testes = 255 ; 85% ; Size= 50 ; Map=43.txt 
[lac2];[Thu Aug 23 12:53:18 -03 2018]; Testes = 256 ; 85% ; Size= 50 ; Map=43.txt 
[lac2];[Thu Aug 23 12:53:57 -03 2018]; Testes = 257 ; 85% ; Size= 50 ; Map=43.txt 
[lac2];[Thu Aug 23 13:02:01 -03 2018]; Testes = 270 ; 90% ; Size= 50 ; Map=45.txt 
[lac2];[Thu Aug 23 13:02:40 -03 2018]; Testes = 271 ; 90% ; Size= 50 ; Map=46.txt 
[lac2];[Thu Aug 23 13:03:25 -03 2018]; Testes = 272 ; 90% ; Size= 50 ; Map=46.txt 
[lac2];[Thu Aug 23 13:11:21 -03 2018]; Testes = 285 ; 95% ; Size= 50 ; Map=48.txt 
[lac2];[Thu Aug 23 13:11:59 -03 2018]; Testes = 286 ; 95% ; Size= 50 ; Map=48.txt 
[lac2];[Thu Aug 23 13:12:36 -03 2018]; Testes = 287 ; 95% ; Size= 50 ; Map=48.txt 
[lac2];[Thu Aug 23 13:20:37 -03 2018]; Testes = 300 ; 100% ; Size= 50 ; Map=50.txt 
[lac2];[Thu Aug 23 13:21:14 -03 2018]; Testes = 301 ; 100% ; Size= 50 ; Map=51.txt 
[lac2];[Thu Aug 23 13:21:55 -03 2018]; Testes = 302 ; 100% ; Size= 50 ; Map=51.txt 
[lac2];[Thu Aug 23 13:29:52 -03 2018]; Testes = 315 ; 105% ; Size= 50 ; Map=53.txt 
[lac2];[Thu Aug 23 13:30:31 -03 2018]; Testes = 316 ; 105% ; Size= 50 ; Map=53.txt 
[lac2];[Thu Aug 23 13:31:12 -03 2018]; Testes = 317 ; 105% ; Size= 50 ; Map=53.txt 
[lac2];[Thu Aug 23 13:39:11 -03 2018]; Testes = 330 ; 110% ; Size= 50 ; Map=55.txt 
[lac2];[Thu Aug 23 13:39:48 -03 2018]; Testes = 331 ; 110% ; Size= 50 ; Map=56.txt 
[lac2];[Thu Aug 23 13:40:35 -03 2018]; Testes = 332 ; 110% ; Size= 50 ; Map=56.txt 
[lac2];[Thu Aug 23 13:48:36 -03 2018]; Testes = 345 ; 115% ; Size= 50 ; Map=58.txt 
[lac2];[Thu Aug 23 13:49:16 -03 2018]; Testes = 346 ; 115% ; Size= 50 ; Map=58.txt 
[lac2];[Thu Aug 23 13:49:52 -03 2018]; Testes = 347 ; 115% ; Size= 50 ; Map=58.txt 
[lac2];[Thu Aug 23 13:57:55 -03 2018]; Testes = 360 ; 120% ; Size= 50 ; Map=60.txt 
[lac2];[Thu Aug 23 13:58:34 -03 2018]; Testes = 361 ; 120% ; Size= 50 ; Map=61.txt 
[lac2];[Thu Aug 23 13:59:16 -03 2018]; Testes = 362 ; 120% ; Size= 50 ; Map=61.txt 
[lac2];[Thu Aug 23 14:07:16 -03 2018]; Testes = 375 ; 125% ; Size= 50 ; Map=63.txt 
[lac2];[Thu Aug 23 14:07:55 -03 2018]; Testes = 376 ; 125% ; Size= 50 ; Map=63.txt 
[lac2];[Thu Aug 23 14:08:36 -03 2018]; Testes = 377 ; 125% ; Size= 50 ; Map=63.txt 
[lac2];[Thu Aug 23 14:16:33 -03 2018]; Testes = 390 ; 130% ; Size= 50 ; Map=65.txt 
[lac2];[Thu Aug 23 14:17:10 -03 2018]; Testes = 391 ; 130% ; Size= 50 ; Map=66.txt 
[lac2];[Thu Aug 23 14:17:54 -03 2018]; Testes = 392 ; 130% ; Size= 50 ; Map=66.txt 
[lac2];[Thu Aug 23 14:26:04 -03 2018]; Testes = 405 ; 135% ; Size= 50 ; Map=68.txt 
[lac2];[Thu Aug 23 14:26:44 -03 2018]; Testes = 406 ; 135% ; Size= 50 ; Map=68.txt 
[lac2];[Thu Aug 23 14:27:22 -03 2018]; Testes = 407 ; 135% ; Size= 50 ; Map=68.txt 
[lac2];[Thu Aug 23 14:35:24 -03 2018]; Testes = 420 ; 140% ; Size= 50 ; Map=70.txt 
[lac2];[Thu Aug 23 14:35:59 -03 2018]; Testes = 421 ; 140% ; Size= 50 ; Map=71.txt 
[lac2];[Thu Aug 23 14:36:39 -03 2018]; Testes = 422 ; 140% ; Size= 50 ; Map=71.txt 
[lac2];[Thu Aug 23 14:44:43 -03 2018]; Testes = 435 ; 145% ; Size= 50 ; Map=73.txt 
[lac2];[Thu Aug 23 14:45:21 -03 2018]; Testes = 436 ; 145% ; Size= 50 ; Map=73.txt 
[lac2];[Thu Aug 23 14:46:00 -03 2018]; Testes = 437 ; 145% ; Size= 50 ; Map=73.txt 
[lac2];[Thu Aug 23 14:53:55 -03 2018]; Testes = 450 ; 150% ; Size= 50 ; Map=75.txt 
[lac2];[Thu Aug 23 14:54:37 -03 2018]; Testes = 451 ; 150% ; Size= 50 ; Map=76.txt 
[lac2];[Thu Aug 23 14:55:23 -03 2018]; Testes = 452 ; 150% ; Size= 50 ; Map=76.txt 
[lac2];[Thu Aug 23 15:03:18 -03 2018]; Testes = 465 ; 155% ; Size= 50 ; Map=78.txt 
[lac2];[Thu Aug 23 15:03:55 -03 2018]; Testes = 466 ; 155% ; Size= 50 ; Map=78.txt 
[lac2];[Thu Aug 23 15:04:42 -03 2018]; Testes = 467 ; 155% ; Size= 50 ; Map=78.txt 
[lac2];[Thu Aug 23 15:12:36 -03 2018]; Testes = 480 ; 160% ; Size= 50 ; Map=80.txt 
[lac2];[Thu Aug 23 15:13:13 -03 2018]; Testes = 481 ; 160% ; Size= 50 ; Map=81.txt 
[lac2];[Thu Aug 23 15:13:57 -03 2018]; Testes = 482 ; 160% ; Size= 50 ; Map=81.txt 
[lac2];[Thu Aug 23 15:22:01 -03 2018]; Testes = 495 ; 165% ; Size= 50 ; Map=83.txt 
[lac2];[Thu Aug 23 15:22:39 -03 2018]; Testes = 496 ; 165% ; Size= 50 ; Map=83.txt 
[lac2];[Thu Aug 23 15:23:18 -03 2018]; Testes = 497 ; 165% ; Size= 50 ; Map=83.txt 
[lac2];[Thu Aug 23 15:30:53 -03 2018]; Testes = 510 ; 170% ; Size= 50 ; Map=85.txt 
[lac2];[Thu Aug 23 15:31:28 -03 2018]; Testes = 511 ; 170% ; Size= 50 ; Map=86.txt 
[lac2];[Thu Aug 23 15:32:15 -03 2018]; Testes = 512 ; 170% ; Size= 50 ; Map=86.txt 
[lac2];[Thu Aug 23 15:40:09 -03 2018]; Testes = 525 ; 175% ; Size= 50 ; Map=88.txt 
[lac2];[Thu Aug 23 15:40:47 -03 2018]; Testes = 526 ; 175% ; Size= 50 ; Map=88.txt 
[lac2];[Thu Aug 23 15:41:29 -03 2018]; Testes = 527 ; 175% ; Size= 50 ; Map=88.txt 
[lac2];[Thu Aug 23 15:49:25 -03 2018]; Testes = 540 ; 180% ; Size= 50 ; Map=90.txt 
[lac2];[Thu Aug 23 15:50:03 -03 2018]; Testes = 541 ; 180% ; Size= 50 ; Map=91.txt 
[lac2];[Thu Aug 23 15:50:44 -03 2018]; Testes = 542 ; 180% ; Size= 50 ; Map=91.txt 
[lac2];[Thu Aug 23 15:58:36 -03 2018]; Testes = 555 ; 185% ; Size= 50 ; Map=93.txt 
[lac2];[Thu Aug 23 15:59:14 -03 2018]; Testes = 556 ; 185% ; Size= 50 ; Map=93.txt 
[lac2];[Thu Aug 23 15:59:53 -03 2018]; Testes = 557 ; 185% ; Size= 50 ; Map=93.txt 
[lac2];[Thu Aug 23 16:07:51 -03 2018]; Testes = 570 ; 190% ; Size= 50 ; Map=95.txt 
[lac2];[Thu Aug 23 16:08:39 -03 2018]; Testes = 571 ; 190% ; Size= 50 ; Map=96.txt 
[lac2];[Thu Aug 23 16:09:24 -03 2018]; Testes = 572 ; 190% ; Size= 50 ; Map=96.txt 
[lac2];[Thu Aug 23 16:17:36 -03 2018]; Testes = 585 ; 195% ; Size= 50 ; Map=98.txt 
[lac2];[Thu Aug 23 16:18:12 -03 2018]; Testes = 586 ; 195% ; Size= 50 ; Map=98.txt 
[lac2];[Thu Aug 23 16:18:51 -03 2018]; Testes = 587 ; 195% ; Size= 50 ; Map=98.txt 
[lac2];[Thu Aug 23 16:26:40 -03 2018]; Testes = 600 ; 200% ; Size= 50 ; Map=100.txt 
[lac2];[Thu Aug 23 16:27:37 -03 2018]; Testes = 601 ; 200% ; Size= 100 ; Map=1.txt 
[lac2];[Thu Aug 23 16:28:43 -03 2018]; Testes = 602 ; 200% ; Size= 100 ; Map=1.txt 
[lac2];[Thu Aug 23 16:41:13 -03 2018]; Testes = 615 ; 205% ; Size= 100 ; Map=3.txt 
[lac2];[Thu Aug 23 16:42:14 -03 2018]; Testes = 616 ; 205% ; Size= 100 ; Map=3.txt 
[lac2];[Thu Aug 23 16:43:13 -03 2018]; Testes = 617 ; 205% ; Size= 100 ; Map=3.txt 
[lac2];[Thu Aug 23 16:55:56 -03 2018]; Testes = 630 ; 210% ; Size= 100 ; Map=5.txt 
[lac2];[Thu Aug 23 16:56:56 -03 2018]; Testes = 631 ; 210% ; Size= 100 ; Map=6.txt 
[lac2];[Thu Aug 23 16:58:03 -03 2018]; Testes = 632 ; 210% ; Size= 100 ; Map=6.txt 
[lac2];[Thu Aug 23 17:10:53 -03 2018]; Testes = 645 ; 215% ; Size= 100 ; Map=8.txt 
[lac2];[Thu Aug 23 17:11:58 -03 2018]; Testes = 646 ; 215% ; Size= 100 ; Map=8.txt 
[lac2];[Thu Aug 23 17:12:55 -03 2018]; Testes = 647 ; 215% ; Size= 100 ; Map=8.txt 
[lac2];[Thu Aug 23 17:25:56 -03 2018]; Testes = 660 ; 220% ; Size= 100 ; Map=10.txt 
[lac2];[Thu Aug 23 17:26:47 -03 2018]; Testes = 661 ; 220% ; Size= 100 ; Map=11.txt 
[lac2];[Thu Aug 23 17:27:56 -03 2018]; Testes = 662 ; 220% ; Size= 100 ; Map=11.txt 
[lac2];[Thu Aug 23 17:40:50 -03 2018]; Testes = 675 ; 225% ; Size= 100 ; Map=13.txt 
[lac2];[Thu Aug 23 17:41:52 -03 2018]; Testes = 676 ; 225% ; Size= 100 ; Map=13.txt 
[lac2];[Thu Aug 23 17:42:51 -03 2018]; Testes = 677 ; 225% ; Size= 100 ; Map=13.txt 
[lac2];[Thu Aug 23 17:55:43 -03 2018]; Testes = 690 ; 230% ; Size= 100 ; Map=15.txt 
[lac2];[Thu Aug 23 17:56:44 -03 2018]; Testes = 691 ; 230% ; Size= 100 ; Map=16.txt 
[lac2];[Thu Aug 23 17:57:51 -03 2018]; Testes = 692 ; 230% ; Size= 100 ; Map=16.txt 
[lac2];[Thu Aug 23 18:10:32 -03 2018]; Testes = 705 ; 235% ; Size= 100 ; Map=18.txt 
[lac2];[Thu Aug 23 18:11:34 -03 2018]; Testes = 706 ; 235% ; Size= 100 ; Map=18.txt 
[lac2];[Thu Aug 23 18:12:32 -03 2018]; Testes = 707 ; 235% ; Size= 100 ; Map=18.txt 
[lac2];[Thu Aug 23 18:25:10 -03 2018]; Testes = 720 ; 240% ; Size= 100 ; Map=20.txt 
[lac2];[Thu Aug 23 18:26:08 -03 2018]; Testes = 721 ; 240% ; Size= 100 ; Map=21.txt 
[lac2];[Thu Aug 23 18:27:15 -03 2018]; Testes = 722 ; 240% ; Size= 100 ; Map=21.txt 
[lac2];[Thu Aug 23 18:41:54 -03 2018]; Testes = 735 ; 245% ; Size= 100 ; Map=23.txt 
[lac2];[Thu Aug 23 18:42:57 -03 2018]; Testes = 736 ; 245% ; Size= 100 ; Map=23.txt 
[lac2];[Thu Aug 23 18:44:00 -03 2018]; Testes = 737 ; 245% ; Size= 100 ; Map=23.txt 
[lac2];[Thu Aug 23 18:56:47 -03 2018]; Testes = 750 ; 250% ; Size= 100 ; Map=25.txt 
[lac2];[Thu Aug 23 18:57:48 -03 2018]; Testes = 751 ; 250% ; Size= 100 ; Map=26.txt 
[lac2];[Thu Aug 23 18:58:52 -03 2018]; Testes = 752 ; 250% ; Size= 100 ; Map=26.txt 
[lac2];[Thu Aug 23 19:11:34 -03 2018]; Testes = 765 ; 255% ; Size= 100 ; Map=28.txt 
[lac2];[Thu Aug 23 19:12:35 -03 2018]; Testes = 766 ; 255% ; Size= 100 ; Map=28.txt 
[lac2];[Thu Aug 23 19:13:36 -03 2018]; Testes = 767 ; 255% ; Size= 100 ; Map=28.txt 
[lac2];[Thu Aug 23 19:26:23 -03 2018]; Testes = 780 ; 260% ; Size= 100 ; Map=30.txt 
[lac2];[Thu Aug 23 19:27:22 -03 2018]; Testes = 781 ; 260% ; Size= 100 ; Map=31.txt 
[lac2];[Thu Aug 23 19:28:28 -03 2018]; Testes = 782 ; 260% ; Size= 100 ; Map=31.txt 
[lac2];[Thu Aug 23 19:41:27 -03 2018]; Testes = 795 ; 265% ; Size= 100 ; Map=33.txt 
[lac2];[Thu Aug 23 19:42:29 -03 2018]; Testes = 796 ; 265% ; Size= 100 ; Map=33.txt 
[lac2];[Thu Aug 23 19:43:25 -03 2018]; Testes = 797 ; 265% ; Size= 100 ; Map=33.txt 
[lac2];[Thu Aug 23 19:56:01 -03 2018]; Testes = 810 ; 270% ; Size= 100 ; Map=35.txt 
[lac2];[Thu Aug 23 19:57:00 -03 2018]; Testes = 811 ; 270% ; Size= 100 ; Map=36.txt 
[lac2];[Thu Aug 23 19:58:04 -03 2018]; Testes = 812 ; 270% ; Size= 100 ; Map=36.txt 
[lac2];[Thu Aug 23 20:10:45 -03 2018]; Testes = 825 ; 275% ; Size= 100 ; Map=38.txt 
[lac2];[Thu Aug 23 20:11:45 -03 2018]; Testes = 826 ; 275% ; Size= 100 ; Map=38.txt 
[lac2];[Thu Aug 23 20:12:40 -03 2018]; Testes = 827 ; 275% ; Size= 100 ; Map=38.txt 
[lac2];[Thu Aug 23 20:26:51 -03 2018]; Testes = 840 ; 280% ; Size= 100 ; Map=40.txt 
[lac2];[Thu Aug 23 20:27:56 -03 2018]; Testes = 841 ; 280% ; Size= 100 ; Map=41.txt 
[lac2];[Thu Aug 23 20:29:06 -03 2018]; Testes = 842 ; 280% ; Size= 100 ; Map=41.txt 
[lac2];[Thu Aug 23 20:43:13 -03 2018]; Testes = 855 ; 285% ; Size= 100 ; Map=43.txt 
[lac2];[Thu Aug 23 20:44:22 -03 2018]; Testes = 856 ; 285% ; Size= 100 ; Map=43.txt 
[lac2];[Thu Aug 23 20:45:27 -03 2018]; Testes = 857 ; 285% ; Size= 100 ; Map=43.txt 
[lac2];[Thu Aug 23 20:59:41 -03 2018]; Testes = 870 ; 290% ; Size= 100 ; Map=45.txt 
[lac2];[Thu Aug 23 21:00:45 -03 2018]; Testes = 871 ; 290% ; Size= 100 ; Map=46.txt 
[lac2];[Thu Aug 23 21:01:58 -03 2018]; Testes = 872 ; 290% ; Size= 100 ; Map=46.txt 
[lac2];[Thu Aug 23 21:16:08 -03 2018]; Testes = 885 ; 295% ; Size= 100 ; Map=48.txt 
[lac2];[Thu Aug 23 21:17:10 -03 2018]; Testes = 886 ; 295% ; Size= 100 ; Map=48.txt 
[lac2];[Thu Aug 23 21:18:08 -03 2018]; Testes = 887 ; 295% ; Size= 100 ; Map=48.txt 
[lac2];[Thu Aug 23 21:30:52 -03 2018]; Testes = 900 ; 300% ; Size= 100 ; Map=50.txt 
[lac2];[Thu Aug 23 21:31:52 -03 2018]; Testes = 901 ; 300% ; Size= 100 ; Map=51.txt 
[lac2];[Thu Aug 23 21:32:58 -03 2018]; Testes = 902 ; 300% ; Size= 100 ; Map=51.txt 
[lac2];[Thu Aug 23 21:45:32 -03 2018]; Testes = 915 ; 305% ; Size= 100 ; Map=53.txt 
[lac2];[Thu Aug 23 21:46:34 -03 2018]; Testes = 916 ; 305% ; Size= 100 ; Map=53.txt 
[lac2];[Thu Aug 23 21:47:33 -03 2018]; Testes = 917 ; 305% ; Size= 100 ; Map=53.txt 
