[raspberrypi];[Fri Aug 31 08:15:57 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=1.txt 
[raspberrypi];[Fri Aug 31 08:16:02 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=1.txt 
[raspberrypi];[Fri Aug 31 08:16:07 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=1.txt 
[raspberrypi];[Fri Aug 31 08:16:13 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=1.txt 
[raspberrypi];[Fri Aug 31 08:16:18 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=1.txt 
[raspberrypi];[Fri Aug 31 08:16:24 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=1.txt 
[raspberrypi];[Fri Aug 31 08:16:32 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=2.txt 
[raspberrypi];[Fri Aug 31 08:16:37 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=2.txt 
[raspberrypi];[Fri Aug 31 08:16:42 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=2.txt 
[raspberrypi];[Fri Aug 31 08:16:47 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=2.txt 
[raspberrypi];[Fri Aug 31 08:16:52 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=2.txt 
[raspberrypi];[Fri Aug 31 08:16:58 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=2.txt 
[raspberrypi];[Fri Aug 31 08:17:07 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=3.txt 
[raspberrypi];[Fri Aug 31 08:17:12 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=3.txt 
[raspberrypi];[Fri Aug 31 08:17:17 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=3.txt 
[raspberrypi];[Fri Aug 31 08:17:22 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=3.txt 
[raspberrypi];[Fri Aug 31 08:17:28 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=3.txt 
[raspberrypi];[Fri Aug 31 08:17:33 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=3.txt 
[raspberrypi];[Fri Aug 31 08:17:40 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=4.txt 
[raspberrypi];[Fri Aug 31 08:17:45 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=4.txt 
[raspberrypi];[Fri Aug 31 08:17:50 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=4.txt 
[raspberrypi];[Fri Aug 31 08:17:59 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=4.txt 
[raspberrypi];[Fri Aug 31 08:18:04 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=4.txt 
[raspberrypi];[Fri Aug 31 08:18:09 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=4.txt 
[raspberrypi];[Fri Aug 31 08:18:16 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=5.txt 
[raspberrypi];[Fri Aug 31 08:18:21 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=5.txt 
[raspberrypi];[Fri Aug 31 08:18:26 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=5.txt 
[raspberrypi];[Fri Aug 31 08:18:31 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=5.txt 
[raspberrypi];[Fri Aug 31 08:18:36 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=5.txt 
[raspberrypi];[Fri Aug 31 08:18:42 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=5.txt 
[raspberrypi];[Fri Aug 31 08:18:50 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=6.txt 
[raspberrypi];[Fri Aug 31 08:18:55 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=6.txt 
[raspberrypi];[Fri Aug 31 08:19:00 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=6.txt 
[raspberrypi];[Fri Aug 31 08:19:05 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=6.txt 
[raspberrypi];[Fri Aug 31 08:19:12 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=6.txt 
[raspberrypi];[Fri Aug 31 08:19:17 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=6.txt 
[raspberrypi];[Fri Aug 31 08:19:37 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=7.txt 
[raspberrypi];[Fri Aug 31 08:19:42 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=7.txt 
[raspberrypi];[Fri Aug 31 08:19:47 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=7.txt 
[raspberrypi];[Fri Aug 31 08:19:59 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=7.txt 
[raspberrypi];[Fri Aug 31 08:20:04 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=7.txt 
[raspberrypi];[Fri Aug 31 08:20:10 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=7.txt 
[raspberrypi];[Fri Aug 31 08:20:18 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=8.txt 
[raspberrypi];[Fri Aug 31 08:20:23 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=8.txt 
[raspberrypi];[Fri Aug 31 08:20:29 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=8.txt 
[raspberrypi];[Fri Aug 31 08:20:33 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=8.txt 
[raspberrypi];[Fri Aug 31 08:20:39 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=8.txt 
[raspberrypi];[Fri Aug 31 08:20:45 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=8.txt 
[raspberrypi];[Fri Aug 31 08:20:54 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=9.txt 
[raspberrypi];[Fri Aug 31 08:20:59 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=9.txt 
[raspberrypi];[Fri Aug 31 08:21:05 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=9.txt 
[raspberrypi];[Fri Aug 31 08:21:09 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=9.txt 
[raspberrypi];[Fri Aug 31 08:21:15 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=9.txt 
[raspberrypi];[Fri Aug 31 08:21:27 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=9.txt 
[raspberrypi];[Fri Aug 31 08:21:35 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=10.txt 
[raspberrypi];[Fri Aug 31 08:21:40 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=10.txt 
[raspberrypi];[Fri Aug 31 08:21:45 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=10.txt 
[raspberrypi];[Fri Aug 31 08:21:50 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=10.txt 
[raspberrypi];[Fri Aug 31 08:21:56 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=10.txt 
[raspberrypi];[Fri Aug 31 08:22:01 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=10.txt 
[raspberrypi];[Fri Aug 31 08:22:09 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=11.txt 
[raspberrypi];[Fri Aug 31 08:22:14 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=11.txt 
[raspberrypi];[Fri Aug 31 08:22:19 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=11.txt 
[raspberrypi];[Fri Aug 31 08:22:24 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=11.txt 
[raspberrypi];[Fri Aug 31 08:22:30 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=11.txt 
[raspberrypi];[Fri Aug 31 08:22:35 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=11.txt 
[raspberrypi];[Fri Aug 31 08:22:45 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=12.txt 
[raspberrypi];[Fri Aug 31 08:22:50 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=12.txt 
[raspberrypi];[Fri Aug 31 08:22:59 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=12.txt 
[raspberrypi];[Fri Aug 31 08:23:03 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=12.txt 
[raspberrypi];[Fri Aug 31 08:23:09 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=12.txt 
[raspberrypi];[Fri Aug 31 08:23:14 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=12.txt 
[raspberrypi];[Fri Aug 31 08:23:21 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=13.txt 
[raspberrypi];[Fri Aug 31 08:23:29 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=13.txt 
[raspberrypi];[Fri Aug 31 08:23:34 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=13.txt 
[raspberrypi];[Fri Aug 31 08:23:39 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=13.txt 
[raspberrypi];[Fri Aug 31 08:23:44 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=13.txt 
[raspberrypi];[Fri Aug 31 08:23:49 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=13.txt 
[raspberrypi];[Fri Aug 31 08:24:01 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=14.txt 
[raspberrypi];[Fri Aug 31 08:24:07 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=14.txt 
[raspberrypi];[Fri Aug 31 08:24:12 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=14.txt 
[raspberrypi];[Fri Aug 31 08:24:17 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=14.txt 
[raspberrypi];[Fri Aug 31 08:24:29 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=14.txt 
[raspberrypi];[Fri Aug 31 08:24:34 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=14.txt 
[raspberrypi];[Fri Aug 31 08:24:44 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=15.txt 
[raspberrypi];[Fri Aug 31 08:24:49 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=15.txt 
[raspberrypi];[Fri Aug 31 08:24:54 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=15.txt 
[raspberrypi];[Fri Aug 31 08:24:59 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=15.txt 
[raspberrypi];[Fri Aug 31 08:25:04 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=15.txt 
[raspberrypi];[Fri Aug 31 08:25:10 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=15.txt 
[raspberrypi];[Fri Aug 31 08:25:19 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=16.txt 
[raspberrypi];[Fri Aug 31 08:25:24 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=16.txt 
[raspberrypi];[Fri Aug 31 08:25:29 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=16.txt 
[raspberrypi];[Fri Aug 31 08:25:34 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=16.txt 
[raspberrypi];[Fri Aug 31 08:25:40 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=16.txt 
[raspberrypi];[Fri Aug 31 08:25:45 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=16.txt 
[raspberrypi];[Fri Aug 31 08:25:52 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=17.txt 
[raspberrypi];[Fri Aug 31 08:25:59 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=17.txt 
[raspberrypi];[Fri Aug 31 08:26:04 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=17.txt 
[raspberrypi];[Fri Aug 31 08:26:09 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=17.txt 
[raspberrypi];[Fri Aug 31 08:26:14 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=17.txt 
[raspberrypi];[Fri Aug 31 08:26:19 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=17.txt 
[raspberrypi];[Fri Aug 31 08:26:33 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=18.txt 
[raspberrypi];[Fri Aug 31 08:26:38 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=18.txt 
[raspberrypi];[Fri Aug 31 08:26:43 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=18.txt 
[raspberrypi];[Fri Aug 31 08:26:48 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=18.txt 
[raspberrypi];[Fri Aug 31 08:27:00 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=18.txt 
[raspberrypi];[Fri Aug 31 08:27:06 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=18.txt 
[raspberrypi];[Fri Aug 31 08:27:14 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=19.txt 
[raspberrypi];[Fri Aug 31 08:27:19 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=19.txt 
[raspberrypi];[Fri Aug 31 08:27:24 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=19.txt 
[raspberrypi];[Fri Aug 31 08:27:29 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=19.txt 
[raspberrypi];[Fri Aug 31 08:27:34 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=19.txt 
[raspberrypi];[Fri Aug 31 08:27:40 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=19.txt 
[raspberrypi];[Fri Aug 31 08:28:02 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=20.txt 
[raspberrypi];[Fri Aug 31 08:28:07 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=20.txt 
[raspberrypi];[Fri Aug 31 08:28:12 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=20.txt 
[raspberrypi];[Fri Aug 31 08:28:17 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=20.txt 
[raspberrypi];[Fri Aug 31 08:28:35 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=20.txt 
[raspberrypi];[Fri Aug 31 08:28:40 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=20.txt 
[raspberrypi];[Fri Aug 31 08:28:55 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=21.txt 
[raspberrypi];[Fri Aug 31 08:29:00 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=21.txt 
[raspberrypi];[Fri Aug 31 08:29:05 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=21.txt 
[raspberrypi];[Fri Aug 31 08:29:10 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=21.txt 
[raspberrypi];[Fri Aug 31 08:29:15 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=21.txt 
[raspberrypi];[Fri Aug 31 08:29:21 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=21.txt 
[raspberrypi];[Fri Aug 31 08:29:36 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=22.txt 
[raspberrypi];[Fri Aug 31 08:29:41 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=22.txt 
[raspberrypi];[Fri Aug 31 08:29:46 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=22.txt 
[raspberrypi];[Fri Aug 31 08:29:51 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=22.txt 
[raspberrypi];[Fri Aug 31 08:29:57 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=22.txt 
[raspberrypi];[Fri Aug 31 08:30:02 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=22.txt 
[raspberrypi];[Fri Aug 31 08:30:10 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=23.txt 
[raspberrypi];[Fri Aug 31 08:30:15 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=23.txt 
[raspberrypi];[Fri Aug 31 08:30:20 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=23.txt 
[raspberrypi];[Fri Aug 31 08:30:25 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=23.txt 
[raspberrypi];[Fri Aug 31 08:30:30 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=23.txt 
[raspberrypi];[Fri Aug 31 08:30:36 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=23.txt 
[raspberrypi];[Fri Aug 31 08:30:47 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=24.txt 
[raspberrypi];[Fri Aug 31 08:30:52 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=24.txt 
[raspberrypi];[Fri Aug 31 08:30:57 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=24.txt 
[raspberrypi];[Fri Aug 31 08:31:03 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=24.txt 
[raspberrypi];[Fri Aug 31 08:31:08 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=24.txt 
[raspberrypi];[Fri Aug 31 08:31:14 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=24.txt 
[raspberrypi];[Fri Aug 31 08:31:24 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=25.txt 
[raspberrypi];[Fri Aug 31 08:31:30 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=25.txt 
[raspberrypi];[Fri Aug 31 08:31:35 EDT 2018]; Testes =  ; % ; Size= 50 ; Map=25.txt 
